Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
B1,26/10/18,Gent,Charleroi,,,,,,,1.66,3.8,5,1.67,4,5,1.65,3.8,4.75,1.71,3.99,4.96,1.7,3.9,4.5,1.7,3.8,4.75,37,1.75,1.69,4.05,3.85,5,4.76,35,1.84,1.78,2.13,2.01,19,-1,2.35,2.23,1.75,1.66
B1,27/10/18,Cercle Brugge,Kortrijk,,,,,,,2.7,3.4,2.5,2.75,3.7,2.4,2.65,3.4,2.45,2.77,3.57,2.53,2.7,3.4,2.45,2.75,3.5,2.45,37,2.84,2.71,3.7,3.45,2.6,2.47,35,1.81,1.74,2.17,2.05,18,0.25,1.76,1.71,2.23,2.15
B1,27/10/18,Lokeren,Oostende,,,,,,,3,3.4,2.3,3.1,3.4,2.3,2.85,3.4,2.25,2.96,3.59,2.38,2.8,3.5,2.35,2.9,3.6,2.3,36,3.1,2.95,3.65,3.46,2.4,2.3,35,1.8,1.75,2.15,2.05,16,0.25,1.87,1.82,2.06,2.01
B1,27/10/18,St Truiden,Club Brugge,,,,,,,4.33,4,1.72,4.6,3.9,1.75,4.15,3.75,1.75,4.46,3.74,1.82,4,3.9,1.78,4.1,4,1.75,35,4.6,4.3,4.1,3.83,1.83,1.77,31,1.65,1.59,2.38,2.28,17,0.75,1.92,1.84,2.05,1.98
B1,27/10/18,Waregem,Mouscron,,,,,,,1.61,4,5,1.62,4.1,5.25,1.63,4,4.65,1.67,4.1,4.96,1.62,4.2,4.8,1.6,4.2,5,37,1.7,1.64,4.3,4.08,5.25,4.9,32,1.62,1.58,2.45,2.31,20,-1,2.19,2.1,1.82,1.74
B1,28/10/18,Eupen,Anderlecht,,,,,,,4.5,4,1.7,4.1,4.2,1.75,4.15,3.9,1.7,4.3,4.08,1.77,4.2,4,1.73,4.4,4.1,1.7,34,4.5,4.22,4.2,3.99,1.8,1.74,30,1.61,1.53,2.5,2.41,15,0.75,1.97,1.91,1.97,1.92
B1,28/10/18,Standard,Genk,,,,,,,3,3.25,2.37,3,3.6,2.3,2.8,3.5,2.25,2.88,3.72,2.37,2.75,3.6,2.35,2.8,3.7,2.3,35,3,2.86,3.72,3.53,2.4,2.32,31,1.67,1.63,2.32,2.21,17,0.25,1.85,1.8,2.08,2.03
B1,28/10/18,Waasland-Beveren,Antwerp,,,,,,,4.75,3.75,1.72,4.33,3.8,1.8,4.35,3.65,1.73,4.36,3.95,1.79,4.2,3.8,1.75,4.6,3.6,1.75,33,4.75,4.36,3.95,3.74,1.81,1.77,31,2.03,1.95,1.9,1.82,15,0.75,1.85,1.82,2.07,2.01
D1,26/10/18,Freiburg,M'gladbach,,,,,,,3.5,3.6,2,3.4,3.6,2.1,3.4,3.3,2.2,3.62,3.66,2.1,3.3,3.6,2.1,3.5,3.7,2.1,34,3.7,3.5,3.8,3.59,2.2,2.07,32,1.78,1.71,2.23,2.12,13,0.25,2.16,2.1,1.84,1.8
D1,27/10/18,Dortmund,Hertha,,,,,,,1.4,4.75,8,1.42,4.75,7.25,1.45,4.5,7,1.43,4.96,7.49,1.42,4.8,6.5,1.44,5,7.5,37,1.45,1.43,5.25,4.86,8,7.14,34,1.57,1.51,2.65,2.52,20,-1,1.7,1.65,2.38,2.28
D1,27/10/18,Fortuna Dusseldorf,Wolfsburg,,,,,,,3,3.4,2.37,2.95,3.4,2.4,3.1,3.4,2.3,3.18,3.52,2.34,2.9,3.4,2.35,3.1,3.4,2.38,37,3.2,3.07,3.55,3.39,2.45,2.34,35,1.96,1.88,2,1.91,18,0,2.3,2.24,1.74,1.68
D1,27/10/18,Hannover,Augsburg,,,,,,,2.6,3.3,2.75,2.55,3.3,2.8,2.6,3.25,2.75,2.63,3.53,2.77,2.55,3.4,2.7,2.63,3.4,2.7,37,2.65,2.58,3.6,3.39,2.85,2.75,34,1.83,1.77,2.15,2.04,17,-0.25,2.26,2.2,1.75,1.71
D1,27/10/18,Hoffenheim,Stuttgart,,,,,,,1.57,4.33,5.5,1.57,4.6,5,1.65,3.9,5.3,1.59,4.57,5.51,1.57,4.5,5,1.57,4.5,5.5,37,1.65,1.58,4.7,4.42,5.55,5.27,34,1.55,1.49,2.75,2.57,20,-1,2.05,1.94,2,1.91
D1,27/10/18,Mainz,Bayern Munich,,,,,,,11,6.5,1.25,10,6.25,1.26,9.5,5.6,1.3,12.18,6.38,1.26,11,6.5,1.22,13,6.5,1.22,37,13,11.87,6.75,6.16,1.3,1.25,32,1.56,1.5,2.7,2.57,19,2,1.8,1.72,2.23,2.17
D1,28/10/18,Nurnberg,Ein Frankfurt,,,,,,,3.3,3.5,2.14,3.3,3.5,2.15,3.5,3.4,2.1,3.46,3.57,2.19,3.3,3.5,2.1,3.4,3.5,2.15,37,3.5,3.35,3.6,3.48,2.25,2.15,35,1.92,1.84,2.07,1.95,17,0.25,2.05,2.01,1.9,1.86
