,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,5,15,0,9,3,4,-1.0,0.9299,0.5151995701629253,0.75,-1.0,1.5191,-1.0,0,0.0,0.579746835443038,1.3457300541095072,2.0,3.8819908164277495,-10,0.6105705440070764,0.6,-0.8000000000000002,1.3999999999999997,7.8,2.0,4.2,15.800000000000002,1.0215066464540559,0.3117,0.2819,0.2542,0.579746835443038,0.3367208018851552,0.7571999999999999,0.7347139870809003,0.7122279741618007,0,7,West Brom,3.0,3.0,2.79,,,,2.95,3.0,2.65,36.0,19.0,-0.25,1.44,2.75,2.93,1.66,2.29,2.96,2.73,1.49,2.96,3.04,1.7,2.4,3.1,2.85,32.0,-1.0,0.3615,0.3486,0.3346,0.33556764845404163,04/11/17,E0,0,0,1,H,0.7418701188603856,,,,1,0.75,3,8,0.312,1,7,3,0,1,H,1,1.29,0.7619,1.2570696890233108,-1.0,-3.0,1.4009,1.9900000000000002,3,1.0,0.420253164556962,1.3187022974364515,3.0,2.386502535377232,1,0.6714959613734336,0.8000000000000002,-0.4000000000000001,1.2,9.8,3.2000000000000006,3.7999999999999994,10.4,1.0232419283502874,0.3267,0.3695,0.4112,0.420253164556962,0.32771154966080324,0.7830000000000001,0.8888047510172634,0.9946095020345266,0.25,1,16,Huddersfield,3.0,3.1,2.5,2.8,2.9,2.75,1.14,11.050000000000002,3.5,1.45,13.800000000000002,4.49,0.2013,0.2227,0.2446,-1.0,0.3436754176610979,3.04,2.91,2.92,2.99,3.01,2.78,R East,1,,,,,,,0.7987,0.7773,0.7554,0.43999999999999995,0.6563245823389022,3.0,3.0,2.75,3.0,3.0,2.7,11,0.2826763294408303,0.275276065,0.23849893000000005,0.20565154,18,0.025800000000000267,1.0845789,1.2524987,0.16791987,-0.4179198741912842,1.100752888908527,0.9037582065458201,-0.1969946823627069,-0.0530053176372931,1.1093339,0.86645925,-0.24287462,-0.007125377655029297,-0.15935018982786886,0.29993256286804937,0.31662966337565845,0.3834377737562922,0.30273768,0.3194764,0.37778595,0.42562252,0.27574906,0.29862845,0.23505426054959677,0.23940020479856594,0.2095442096471829,0.39561541582879317,0.3039517055841428,0.30043289845527893,0.227770320059956
1,9,12,0,16,6,2,0.9099999999999999,1.0334,1.1211287463636042,0.0,-1.0,1.2924,4.0,3,1.0,0.5089974293059126,0.8566946253855741,4.0,3.5678328764417584,1,0.6069366118198544,0.6,-1.0,1.6000000000000003,7.0,2.2,5.2,14.199999999999998,1.1002037727061016,0.1217,0.1529,0.1711,0.5089974293059126,0.19570808622716387,0.29910000000000003,0.47422085042758827,0.6493417008551765,1,10,Bournemouth,4.2,3.5,2.0,,,,4.0,3.5,1.95,36.0,19.0,-0.5,1.8,2.01,4.05,1.91,1.98,3.42,1.98,1.89,2.1,4.36,1.95,2.02,3.5,2.06,35.0,-1.0,0.3952,0.3211,0.2734,0.26957036670408246,04/11/17,E0,0,1,0,A,-0.1179657151749709,,,,-1,-1.5,11,11,0.312,0,16,4,0,0,D,2,-1.0,0.9933,1.0031630311886333,-1.0,-1.0,1.5972,-1.0,0,0.0,0.4910025706940874,1.8737350079103434,5.0,4.984234710160295,-10,0.8893507825509949,1.3999999999999997,0.6,0.8000000000000002,10.2,4.4,3.0,13.199999999999998,0.9478649859552581,0.4831,0.526,0.5555,0.4910025706940874,0.5347215470687536,0.8757999999999999,1.1451088841008532,1.4144177682017065,0.5,0,9,Newcastle,4.1,3.5,1.9,3.9,3.4,1.95,1.1287128712871286,11.029702970297029,3.495049504950495,1.4455445544554457,13.732673267326733,4.475247524752476,0.1151,0.2216,0.3406,-1.0,0.47244094488188976,4.36,5.0,3.63,1.83,3.47,1.99,P Tierney,-1,,,,,,,0.8849,0.7784,0.6594,0.8,0.5275590551181102,4.2,3.5,2.0,4.0,3.4,2.0,11,0.46640630772998626,0.5023982499999999,0.49712720499999996,0.49782772999999997,18,0.5766999999999999,1.6650544,0.8159416,-0.84911287,0.349112868309021,1.1026845498129763,0.9012379953754763,-0.20144655443749993,-0.2985534455625001,1.4967746,0.6552641,-0.8415105,0.34151047468185425,0.13068996580945838,0.1838780607235169,0.2596114235204383,0.5565105157560448,0.31954348,0.20981003,0.47064644,0.6341719,0.23883013,0.12699793,0.4878794869577333,0.3422645429972643,0.5821532800193997,0.5537762866240853,0.23608386374453452,0.21013982479611157,0.46527361638374987
2,1,4,0,5,1,0,1.0499999999999998,1.3384,2.031070689595905,1.0,1.0,1.5409,5.58,3,1.0,0.4730077120822623,0.7112271641100747,7.0,3.446458085312972,1,0.8284421960021049,1.2,-0.20000000000000004,1.3999999999999997,7.8,2.7999999999999994,6.8,24.0,1.4692274729555217,0.3676,0.2598,0.187,0.4730077120822623,0.14884278886918986,0.6709999999999999,0.8152872364964394,0.9595744729928788,1,11,Burnley,6.5,3.75,1.66,,,,6.5,3.6,1.62,36.0,19.0,-0.75,1.63,2.28,6.2,2.05,1.84,3.64,1.64,1.67,2.4,7.0,2.1,1.87,3.8,1.75,34.0,-1.0,0.4404,0.306,0.2218,0.2646987975025052,04/11/17,E0,0,1,0,A,-1.2795790372235074,,,,-1,-1.75,9,4,0.312,0,13,3,0,0,D,0,-1.0,0.8699,0.7514916523723977,-0.25,0.0,1.4296,-1.0,0,0.0,0.5269922879177378,2.0240740383874205,5.0,6.653433852811816,-10,0.8995585921300581,1.0,-0.16666666666666666,1.1666666666666667,16.333333333333332,3.3333333333333335,3.6666666666666665,11.166666666666666,1.0273509015145101,0.192,0.4342,0.5913,0.5269922879177378,0.5864584136283051,0.40319999999999995,1.1474911998786184,1.8917823997572367,0.75,0,5,Southampton,4.8,3.6,1.75,6.0,3.5,1.61,1.1274509803921569,11.07843137254902,3.519607843137255,1.4313725490196079,13.754901960784315,4.470588235294118,0.0944,0.3132,0.5427,-1.0,0.41687979539641945,6.91,6.58,3.7,1.67,3.76,1.64,L Probert,-1,,,,,,,0.9056,0.6868,0.4573,0.6299999999999999,0.5831202046035805,6.5,3.75,1.65,6.5,3.5,1.67,11,0.5342010344877035,0.21839688000000004,0.36821283999999993,0.5053836500000001,18,-0.2678,2.0752575,0.8289244,-1.2463331,0.49633312225341797,1.105131274226115,0.902856053834049,-0.20227522039206602,-0.547724779607934,2.0174942,0.7543016,-1.2631927,0.5131926536560059,0.15393366543382994,0.2123181953214944,0.2574470544269495,0.5302347502515561,0.2476632,0.24141878,0.510918,0.5716714,0.2509126,0.177416,0.45079575789795867,0.4135239425856927,0.5017263555052498,0.5376080659166259,0.24992614667981242,0.21246579733766915,0.4546162842742536
3,10,8,0,14,4,0,0.0,0.6446,1.2956113872040587,1.75,2.0,2.1938,-1.0,1,0.5,0.4935400516795866,1.2900079032670655,8.0,6.1746910215601565,0,0.9013380107853561,1.2,-0.4000000000000001,1.6000000000000003,9.2,3.0,5.599999999999999,20.4,1.309895475294057,0.4526,0.3968,0.3388,0.4935400516795866,0.3298373148745595,1.8782999999999999,1.6486062514408524,1.418912502881705,0,12,Leicester,2.87,3.29,2.7,,,,2.8,3.3,2.55,36.0,19.0,0.0,1.81,2.0,2.77,1.96,1.91,3.25,2.65,1.85,2.07,2.95,2.0,1.97,3.35,2.75,35.0,2.26,0.2231,0.2333,0.2412,0.3004959586433871,04/11/17,E0,1,2,2,D,0.14515539349135764,,,,0,0.0,4,12,0.312,0,11,7,1,1,D,0,0.0,0.3155,1.4407667806954163,1.25,1.0,1.8981,-1.0,1,0.5,0.5064599483204134,1.4094961380895477,6.0,4.164449153320966,0,0.8642010943956562,1.2,-0.6,1.8,12.199999999999998,3.7999999999999994,4.8,14.199999999999998,1.3978068509797965,0.3243,0.3699,0.42,0.5064599483204134,0.3696667264820535,1.5655,1.5850505489358455,1.6046010978716911,-0.0,0,14,Stoke,2.95,3.3,2.4,2.65,3.2,2.62,1.1262135922330097,11.019417475728156,3.495145631067961,1.4174757281553398,13.74757281553398,4.456310679611651,0.6686,0.6271,0.5821,1.0,0.4750656167979003,2.82,2.97,3.26,2.65,3.33,2.74,R Madley,0,,,,,,,0.3314,0.3729,0.4179,-1.0,0.5249343832020998,2.8,3.3,2.75,2.8,3.2,2.7,11,0.12272307147580831,0.155008625,0.14713812499999995,0.14559272,18,-0.31279999999999997,1.6381932,1.4454923,-0.19270098,0.19270098209381104,1.101589103218714,0.9050298522578647,-0.19655925096084925,0.19655925096084925,1.3256093,1.0739045,-0.2517048,0.2517048120498657,0.213655015034842,0.36384491049051676,0.30398986756983937,0.3321652219396437,0.4077533,0.28690037,0.30534637,0.42667875,0.27807134,0.29525,0.12135842677803252,0.12974956284726646,0.13461363097483048,0.35473011287389883,0.2896538609272359,0.35561606593529516,0.1261481055345005
4,7,12,0,5,2,1,0.8600000000000001,1.0979,1.4065803607407155,0.25,0.0,1.5815,2.14,3,1.0,0.5218508997429305,1.2638687447721222,5.0,3.5547204692712784,1,0.745685584053509,0.8000000000000002,-0.4000000000000001,1.2,9.2,2.4,4.2,15.6,0.988661940615828,0.3261,0.378,0.4117,0.5218508997429305,0.31205347207833567,0.6296999999999999,0.9058833293370488,1.1820666586740978,1,1,Brighton,3.39,3.2,2.39,,,,3.3,3.1,2.35,36.0,20.0,-0.25,1.56,2.42,3.29,1.86,2.03,3.1,2.38,1.61,2.55,3.44,1.9,2.08,3.35,2.47,32.0,-1.0,0.4337,0.3471,0.2942,0.32770832853711507,04/11/17,E0,0,1,0,A,-0.6918078540221163,,,,-1,-1.25,8,13,0.312,0,12,2,1,0,A,2,-1.0,0.9518,0.7147725067185992,1.0,-1.0,1.283,-1.0,0,0.0,0.47814910025706947,1.408422926690763,3.0,4.197139609877411,-10,0.6758461578354448,0.8000000000000002,-1.0,1.8,10.4,3.0,5.599999999999999,11.800000000000002,1.3971323627030134,0.2402,0.2748,0.2941,0.47814910025706947,0.36023819938454926,0.4970999999999998,0.7239881699354549,0.9508763398709099,0.25,0,15,Swansea,3.3,3.35,2.2,3.2,3.0,2.35,1.1346153846153846,11.048076923076925,3.5,1.4230769230769231,13.721153846153847,4.480769230769231,0.105,0.2244,0.3593,-1.0,0.3919597989949749,3.38,3.14,2.99,2.72,3.13,2.47,M Dean,-1,,,,,,,0.895,0.7756,0.6407,0.56,0.6080402010050251,3.4,3.2,2.4,3.3,3.1,2.4,11,0.30152099278764777,0.25591862499999996,0.231137325,0.21629585,18,-0.1326000000000001,1.1855391,1.0306075,-0.15493166,-0.09506833553314209,1.0995040382377377,0.9050598081380913,-0.1944442300996464,-0.0555557699003536,1.0955102,0.9329775,-0.16253275,-0.0874672532081604,-0.07936378621388536,0.3132775121417149,0.30761211393144694,0.37911037392683816,0.23245974,0.34312817,0.4244121,0.41001174,0.28005046,0.3099378,0.30765622547460986,0.38462185363276413,0.32214772939711356,0.40451140465758906,0.31026358166624096,0.2852250186432237,0.3372663787861435
5,3,13,0,15,7,0,1.08,0.7881,0.7193489369246346,1.0,3.0,2.4518,0.54,3,1.0,0.46253229974160204,2.115175584381947,5.0,6.950729671438778,1,1.3664490748710199,1.6000000000000003,-1.3999999999999997,3.0,15.199999999999998,4.6,5.8,11.199999999999998,1.3265381852291163,0.6048,0.4929,0.3691,0.46253229974160204,0.6353672487103666,2.4518,2.003835694539764,1.5558713890795275,1,13,Liverpool,1.66,4.33,5.25,,,,1.65,4.1,5.0,36.0,20.0,1.0,2.28,1.63,1.64,2.08,1.79,4.13,5.17,2.38,1.68,1.75,2.16,1.84,4.33,5.55,34.0,-1.0,0.1901,0.2172,0.2358,0.2090738382508472,04/11/17,E0,0,4,1,A,0.05186682262041353,,,,-3,-2.0,2,9,0.312,0,6,1,2,0,A,3,-1.0,0.0,0.7712157595450482,0.25,0.0,1.8632,-1.0,0,0.0,0.537467700258398,0.6757505773672057,5.0,6.483270003389941,-10,0.8645407318802472,1.25,-0.25,1.5,13.5,3.25,3.25,9.5,1.0046680271463642,0.2051,0.2899,0.3951,0.537467700258398,0.15555891303878613,1.3871,1.5018035782938624,1.6165071565877247,-1.0,0,19,West Ham,1.75,3.6,4.8,1.61,4.0,5.2,1.1333333333333333,10.990476190476192,3.4857142857142858,1.4095238095238096,13.704761904761904,4.457142857142857,0.7373,0.6802,0.6143,0.6299999999999999,0.5831202046035805,1.65,1.54,4.68,6.29,4.29,5.53,N Swarbrick,-3,,,,,,,0.2627,0.3198,0.3857,-1.0,0.41687979539641945,1.65,4.3,5.5,1.67,4.2,5.0,11,0.07857780936942813,0.09912452499999999,0.17059621,0.27706941,18,-1.0647,0.9661014,2.1116726,1.1455712,-0.14557123184204102,1.1004079111875786,0.90996399718163,-0.19044391400594862,1.1904439140059486,0.7637868,1.7574575,0.9936707,0.00632929801940918,0.3504006600611056,0.6402848069986935,0.18375281468671412,0.17596237831459244,0.7271927,0.17490031,0.097907,0.07371466,0.24774432,0.678541,0.08017888932904749,0.04200480377897092,0.054384863500695824,0.11586134540751841,0.20213248158707173,0.6820061705218831,0.0572719626831528
6,7,20,0,10,2,3,-1.0,1.555,0.886231298319906,0.75,1.0,2.7523,-1.0,0,0.0,0.541025641025641,1.246133174537737,7.0,7.898615195909258,-10,1.2574839736785968,1.6000000000000003,0.8000000000000002,0.8000000000000002,11.800000000000002,4.8,3.6,10.800000000000002,0.7444925755890798,0.4415,0.4504,0.4592,0.541025641025641,0.31003313331195703,1.4649999999999999,1.5036817430237428,1.542363486047486,0,8,Man United,3.2,3.2,2.5,,,,3.0,3.2,2.45,36.0,20.0,-0.25,1.62,2.28,3.07,1.79,2.11,3.15,2.47,1.67,2.41,3.2,1.83,2.17,3.25,2.6,34.0,-1.0,0.2591,0.2558,0.2526,0.3160337746018659,05/11/17,E0,0,0,1,H,-0.13077774665501207,,,,1,0.75,4,16,0.312,0,18,8,0,0,D,1,1.1099999999999999,1.2873,0.7554535516648939,-0.0,1.0,2.402,1.62,3,1.0,0.45897435897435895,1.4378330508603976,6.0,7.942248715062624,1,1.1163573116314542,1.6000000000000003,0.4000000000000001,1.2,13.6,5.400000000000001,3.6,12.199999999999998,1.0570244430476556,0.2994,0.2938,0.2882,0.45897435897435895,0.3739330920861772,1.1590000000000003,1.1636360368014915,1.1682720736029826,0.25,1,2,Chelsea,3.0,3.1,2.5,3.0,3.1,2.45,1.1603773584905661,11.028301886792454,3.5188679245283025,1.4056603773584906,13.632075471698114,4.4245283018867925,0.4876,0.4983,0.509,-1.0,0.41538461538461535,3.17,3.16,3.1,2.62,3.22,2.54,A Taylor,1,,,,,,,0.5124,0.5017,0.491,0.6200000000000001,0.5846153846153845,3.13,3.2,2.5,3.1,3.2,2.5,11,0.24404015846800237,0.34288130499999997,0.3507892999999999,0.35876193999999995,18,-0.3059999999999996,1.1159737,0.99390775,-0.12206596,-0.1279340386390686,1.0985878065681085,0.9091374103987201,-0.1894503961693884,-0.06054960383061159,1.1421844,1.0097787,-0.13240564,-0.11759436130523682,-0.10202600125830567,0.3448794618262926,0.30879383516696046,0.3463267030067471,0.32637724,0.425296,0.24832672,0.42637745,0.27326068,0.3003619,0.2731153111958112,0.3357674228663914,0.20963004453024014,0.3403436224244445,0.33578350885837266,0.32387286871718296,0.2700200857836007
7,5,12,0,11,3,2,-1.0,0.4141,0.9767427252685527,-1.25,-1.0,2.2676,-1.0,0,0.0,0.47680412371134023,1.1112008898969878,4.0,4.0952442199149335,-10,1.3822224539191956,2.0,0.6,1.3999999999999997,14.0,4.4,3.6,9.6,0.8157914554826172,0.4507,0.5715,0.6883,0.47680412371134023,0.27142582802813175,1.8087999999999997,2.071297518758046,2.3337950375160923,0,6,Watford,3.6,3.39,2.2,,,,3.6,3.4,2.1,35.0,19.0,-0.25,1.8,2.02,3.52,2.03,1.85,3.34,2.16,1.87,2.1,3.8,2.08,1.89,3.45,2.25,31.0,-1.0,0.2279,0.2114,0.1807,0.29692340581259263,05/11/17,E0,0,2,3,H,-0.7892049988092367,,,,1,0.75,2,14,0.312,0,10,5,0,0,D,0,0.8500000000000001,0.4588,0.18753772645931596,-1.75,-2.0,1.6017,1.27,3,1.0,0.5231958762886597,1.5918757042904195,1.0,5.332260441031516,1,0.7985751901193809,1.0,-1.0,2.0,12.800000000000002,3.2000000000000006,5.400000000000001,13.4,1.4688026065909514,0.3214,0.2171,0.131,0.5231958762886597,0.43165076615927556,1.4995999999999998,1.2064384228923815,0.9132768457847629,0.25,1,4,Everton,3.5,3.4,2.1,3.4,3.25,2.15,1.1495327102803738,11.018691588785046,3.5046728971962615,1.4018691588785046,13.672897196261681,4.457943925233645,0.6423,0.6361,0.6298,1.02,0.4712041884816754,3.67,3.61,3.3,2.27,3.38,2.21,G Scott,1,,,,,,,0.3577,0.3639,0.3702,-1.0,0.5287958115183247,3.7,3.4,2.15,3.6,3.3,2.15,11,0.19834641586404772,0.331814225,0.46977233000000007,0.614458945,18,-0.3091999999999999,1.553981,1.4686065,-0.085374475,-0.16462552547454834,1.1000871487954094,0.9097215997210125,-0.19036554907439684,-0.059634450925603155,1.0907855,1.2607263,0.16994083,-0.4199408292770386,-0.21473360189239668,0.32612971915142225,0.30167415645501655,0.3721961243935612,0.21541935,0.42231533,0.3622653,0.3908199,0.28311592,0.32606414,0.2502491499701252,0.2265555359554754,0.23870911402446815,0.3750937734705934,0.3357018030576628,0.2892044036035289,0.23707349525542282
8,5,15,0,6,3,6,-1.0,0.7121,1.0149538284045392,-1.0,1.0,2.525,-1.0,0,0.0,0.4832041343669251,0.5659304129423062,9.0,8.86739844525498,-10,1.3765109243697475,1.2,-0.6,1.8,15.199999999999998,5.599999999999999,4.6,12.199999999999998,1.039599463518833,0.0763,0.0742,0.0702,0.4832041343669251,0.1307773755878949,1.1892999999999998,0.9792392479344677,0.7691784958689356,0,0,Arsenal,7.5,5.5,1.39,,,,7.5,5.0,1.4,36.0,19.0,-1.25,3.1,1.36,7.0,2.0,1.87,5.02,1.42,3.65,1.42,7.7,2.04,1.93,5.5,1.55,27.0,-1.0,0.1361,0.1306,0.133,0.17359828617862155,05/11/17,E0,0,1,3,H,0.2926806659797183,,,,2,0.75,5,15,0.312,0,9,5,0,1,H,1,0.8700000000000001,1.3357,1.3076344943842575,-0.75,1.0,4.0985,0.4099999999999999,3,1.0,0.5167958656330749,2.260471300879072,12.0,9.176876299558458,1,1.9696968921176738,4.2,3.6,0.6,18.4,8.6,1.2,6.599999999999999,0.4827932773109243,0.7877,0.7952,0.7968,0.5167958656330749,0.6956243382334836,3.6983999999999995,3.2996512145743413,2.9009024291486827,1.25,1,18,Man City,5.3,4.5,1.55,6.5,4.8,1.4,1.1574074074074074,11.018518518518519,3.5,1.4166666666666667,13.638888888888891,4.462962962962963,0.8656,0.8,0.7095,0.3600000000000001,0.695067264573991,7.69,7.5,5.65,1.41,5.2,1.43,M Oliver,2,,,,,,,0.1344,0.2,0.2905,-1.0,0.30493273542600896,7.5,5.5,1.4,7.0,4.8,1.44,11,0.054873632720731064,0.025438865000000015,0.023724339999999997,0.023109140000000014,18,2.5090999999999997,2.8822377,1.1652553,-1.7169824,0.466982364654541,1.1084609656721227,0.9028414845756862,-0.20561948109643646,-1.0443805189035635,2.0802422,0.83942366,-1.2408185,-0.009181499481201172,-0.1955265512434079,0.09923954283801006,0.13902989700934662,0.7617305601526434,0.10581727,0.09564763,0.7985351,0.7607812,0.19346653,0.045752212,0.03331040641393515,0.025892697323401492,0.029659444142367097,0.7736822990870852,0.14271468644506857,0.08360300950079258,0.029104582887309237
9,9,7,0,11,3,2,1.04,0.1505,1.2296630387013416,-0.25,0.0,1.2339,-1.0,0,1.0,0.4742268041237113,0.45464105966897866,4.0,3.2529236661650303,1,0.4782904958786505,0.0,-2.4,2.4,9.6,1.3999999999999997,6.8,15.4,1.4147169525060477,0.0,0.0153,0.0365,0.4742268041237113,0.09227032576307685,0.0,0.20619066687280682,0.41238133374561364,0,3,Crystal Palace,12.0,6.0,1.28,,,,11.0,6.0,1.26,36.0,19.0,-1.5,2.63,1.47,10.96,2.04,1.84,5.87,1.28,2.75,1.5,12.0,2.1,1.88,6.5,1.31,27.0,-1.0,0.0685,0.0927,0.1156,0.17783008237974812,05/11/17,E0,0,0,1,H,-0.0060282461339093985,,,,1,-0.5,10,6,0.312,0,12,2,0,0,D,0,-1.0,1.2759,1.2236347925674322,-0.75,-1.0,2.6484,0.3400000000000001,3,0.0,0.5257731958762887,2.367528857951273,9.0,7.355135743661054,-10,1.3386153693743126,1.3999999999999997,0.6,0.8000000000000002,20.8,6.2,2.6,8.6,0.7458701049701564,0.9315,0.8919,0.8479,0.5257731958762887,0.729899591857175,2.8099,2.760119034525145,2.7103380690502905,1.5,1,17,Tottenham,10.0,6.0,1.27,11.0,5.5,1.28,1.1559633027522935,10.972477064220184,3.495412844036698,1.4311926605504588,13.596330275229358,4.467889908256881,0.5329,0.5692,0.6037,-1.0,0.6414634146341464,10.98,10.6,5.5,1.34,6.11,1.31,K Friend,1,,,,,,,0.4671,0.4308,0.3963,1.63,0.3585365853658537,11.5,6.0,1.3,12.0,5.5,1.29,11,0.04073402174767248,0.0023461250000000006,0.005961384999999996,0.012233330000000002,18,2.8099,2.346467,0.6782318,-1.6682353,0.16823530197143555,1.1103973965271916,0.9010059963811549,-0.20939140014603674,-1.2906085998539631,2.1139927,0.72460425,-1.3893884,-0.11061155796051025,-0.41099495194767927,0.08473438239944135,0.17368440976416713,0.7415812078363915,0.12299806,0.19136696,0.685635,0.77469903,0.18647596,0.038824968,0.036980093851956525,0.05697694890100202,0.02613395353977177,0.7339717369360136,0.18384244260084512,0.08218580307845326,0.03876277291702063
