,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,7,21,0,16,7,4,0.81,1.1687,0.9205382004908318,-0.5,0.0,1.6613,2.84,3,1.0,0.5322997416020672,1.0481576573450837,6.0,6.517926140165389,1,0.8297966739143209,0.6,-0.20000000000000004,0.8000000000000002,11.199999999999998,4.4,3.4,12.4,0.7570763798969272,0.3538,0.3494,0.3447,0.5322997416020672,0.2552355839289432,1.2547,1.2001321539568675,1.145564307913735,1,19,Liverpool,3.75,3.5,2.1,,,,3.4,3.3,2.1,46.0,28.0,-0.5,1.77,2.04,3.73,1.81,2.06,3.36,2.07,1.92,2.13,4.0,1.86,2.13,3.56,2.13,40.0,-1.0,0.266,0.2726,0.2797,0.28245090555825414,31/10/15,E0,0,3,1,A,-0.4265416144008439,,,,-2,-2.5,1,9,0.1228,0,8,2,1,1,D,1,-1.0,0.4066,0.49399658608998787,-1.5,-1.0,2.3569,-1.0,0,0.0,0.4677002583979328,1.6693914370966625,4.0,8.097221949771427,-10,1.116702001056883,1.6000000000000003,0.20000000000000004,1.3999999999999997,15.6,5.0,4.8,12.199999999999998,1.045860721911142,0.3803,0.3781,0.3757,0.4677002583979328,0.46231351051280273,1.311,1.2599815264944167,1.2089630529888336,0.5,0,1,Chelsea,3.4,3.2,2.1,3.75,3.4,2.1,1.32,12.25,4.42,1.43,13.979999999999999,4.48,0.4729,0.4459,0.4184,1.04,0.4645669291338583,3.92,3.84,3.47,2.12,3.54,2.07,M Clattenburg,-2,,,,,,,0.5271,0.5541,0.5816,-1.0,0.5354330708661418,3.9,3.4,2.1,3.75,3.2,2.1,11,0.3842039087241669,0.2811658900000001,0.28318505000000005,0.285349825,16,0.05630000000000002,red,1.347433,1.0085518,-0.33888113,-0.16111886501312256,1.0997248801086812,0.9044088998670917,-0.19531598024158947,-0.30468401975841053,1.3058454,0.9706618,-0.33518356,-0.16481643915176392,-0.21020644130776567,0.2619968168909812,0.3090223371311405,0.42898084597787844,0.19493744,0.36934036,0.43572217,0.42777675,0.2955266,0.2766966,0.36433663224747026,0.4189897462568286,0.35308034207780503,0.43082659071353274,0.32462976373978386,0.2445436157443611,0.3781629273748705
1,3,15,0,5,1,3,-1.0,1.4469,1.074993197870399,0.0,0.0,2.3153,-1.0,1,0.0,0.4715025906735752,1.7904467432657682,7.0,6.5116691099694926,-10,0.9526400373873944,1.6000000000000003,0.20000000000000004,1.3999999999999997,9.8,4.2,4.2,10.6,0.8845302078394184,0.4444,0.4436,0.4409,0.4715025906735752,0.5050705551526256,1.0691000000000002,1.2601178600577456,1.4511357201154909,0,4,Man United,2.1,3.5,3.8,,,,2.1,3.4,3.4,47.0,28.0,0.5,1.7,2.15,2.06,2.04,1.82,3.35,3.77,1.8,2.28,2.1,2.1,1.88,3.5,4.07,40.0,2.56,0.3254,0.2877,0.2606,0.27523507780789147,31/10/15,E0,1,0,0,D,-0.07888779463203344,,,,0,0.5,7,12,0.1228,0,10,5,0,0,D,3,0.8200000000000001,1.2462,0.9961054032383656,-0.75,-1.0,2.0028,-1.0,1,1.0,0.5284974093264249,0.9343181789263401,6.0,6.023458943695956,1,0.9087246325272642,1.2,-0.20000000000000004,1.3999999999999997,12.800000000000002,4.2,4.4,16.6,1.1396377006087814,0.2302,0.2687,0.2985,0.5284974093264249,0.21969436703948286,0.6787000000000001,0.9123519400161,1.1460038800321999,-0.5,0,17,Crystal Palace,2.1,3.2,3.4,2.05,3.4,3.8,1.3366336633663367,12.287128712871286,4.445544554455446,1.425742574257426,13.92079207920792,4.455445544554456,0.2554,0.3699,0.4809,-1.0,0.44155844155844154,2.08,1.94,3.56,4.46,3.46,4.02,M Jones,0,,,,,,,0.7446,0.6301,0.5191,0.7,0.5584415584415584,2.1,3.4,4.0,2.1,3.0,4.0,11,0.15168094029553025,0.1252417,0.13449032499999997,0.14174753,16,-0.3904000000000001,yellow,0.8841693,1.2166612,0.33249193,0.167508065700531,1.098462406853876,0.9074149162898835,-0.1910474905639925,0.6910474905639925,0.7797128,1.4165872,0.63687444,-0.13687443733215332,0.24056037297745672,0.40705240556164585,0.30312622401845624,0.289821370419898,0.50056535,0.26003417,0.23940049,0.18681033,0.32598868,0.48720098,0.12484404381279515,0.15393912495305817,0.1361314520985275,0.23867739703159807,0.29638302595659155,0.4649395770118104,0.1365678550628501
2,4,13,1,5,3,2,1.0299999999999998,0.0,0.17581107532193277,-1.5,-1.0,2.0425,-1.0,0,1.0,0.47409326424870474,0.3843853786321988,1.0,5.687923802120378,1,1.0814389156411628,1.6000000000000003,-1.0,2.6,13.199999999999998,4.4,6.0,16.4,1.407820745638542,0.0403,0.04,0.0395,0.47409326424870474,0.07849704509408709,0.6505000000000001,0.71661415107835,0.7827283021567,0,5,Norwich,12.0,6.0,1.29,,,,9.0,5.75,1.28,46.0,28.0,-1.5,2.68,1.45,10.45,2.03,1.83,5.81,1.28,2.83,1.52,12.56,2.1,1.89,6.36,1.31,38.0,-1.0,0.1077,0.1089,0.1122,0.14889424334993756,31/10/15,E0,0,1,2,H,0.7223061138211966,,,,1,-0.5,12,4,0.1228,0,21,5,0,0,D,2,-1.0,1.392,0.8981171891431293,-0.0,0.0,3.2115,0.27,3,0.0,0.5259067357512953,2.4667203780178633,7.0,7.794083093631157,-10,1.8707071459613833,3.4,2.6,0.8000000000000002,20.2,8.6,2.2,6.8,0.5468591046905654,0.852,0.8511,0.8484,0.5259067357512953,0.7726087115559752,3.3343,3.5261761146579085,3.7180522293158167,1.5,1,18,Man City,12.0,5.5,1.22,11.0,6.0,1.29,1.3235294117647058,12.215686274509801,4.411764705882353,1.411764705882353,13.882352941176471,4.46078431372549,0.7597,0.7954,0.8265,0.44999999999999996,0.648910411622276,11.03,12.5,6.59,1.27,6.22,1.3,R Madley,1,,,,,,,0.2403,0.2046,0.1735,-1.0,0.3510895883777239,11.5,6.25,1.29,12.0,5.0,1.29,11,0.02893429207436842,0.011764045000000004,0.011885605000000007,0.012267459999999992,16,2.6837999999999997,green,3.5719216,0.8174207,-2.7545009,1.2545008659362793,1.107726793258871,0.9013550510189533,-0.20637174223991772,-1.2936282577600822,2.3111832,0.62932545,-1.6818578,0.18185782432556152,0.04757681083391955,0.08509968766741746,0.1528910908851602,0.7620092214474221,0.093051255,0.10900751,0.79794127,0.7613432,0.18783498,0.05082182,0.031940783758577104,0.024743130923762013,0.029769968345068065,0.7737645566903598,0.14991119218381174,0.07632425360935527,0.028503933559713972
3,4,16,0,9,2,3,0.43000000000000005,0.8687,1.6706336899155623,-2.5,-2.0,1.6359,-1.0,1,0.75,0.5181347150259067,1.1821587788635783,9.0,5.387177365287588,1,0.834447975316669,1.0,-0.0,1.0,10.4,3.7999999999999994,6.0,18.0,1.1639946701299735,0.4177,0.3829,0.3506,0.5181347150259067,0.2977353833839176,1.4709999999999999,1.4720487291392468,1.4730974582784935,0,8,Stoke,3.2,3.4,2.4,,,,3.0,3.3,2.4,46.0,27.0,-0.25,1.77,2.04,3.12,1.86,2.0,3.31,2.35,1.85,2.1,3.28,1.91,2.06,3.43,2.5,40.0,2.39,0.2545,0.2473,0.239,0.28895262871182564,31/10/15,E0,1,0,0,D,-0.626766823189973,,,,0,-0.25,11,6,0.1228,0,15,6,0,0,D,1,-0.5,0.1649,1.0438668667255893,-3.0,-3.0,2.02,-1.0,1,0.25,0.48186528497409326,1.5288885924245963,4.0,3.831906277998108,-10,0.9765450592546264,2.2,0.4000000000000001,1.8,9.4,4.0,5.599999999999999,16.8,1.3369973032092437,0.3278,0.3698,0.4104,0.48186528497409326,0.4133119879042569,1.2741,1.4426675419449762,1.611235083889952,0.25,0,7,Newcastle,2.65,3.3,2.5,3.1,3.4,2.4,1.3203883495145632,12.145631067961167,4.398058252427185,1.4174757281553398,13.951456310679612,4.466019417475728,0.5174,0.5574,0.5954,-1.0,0.4645669291338583,3.24,3.29,3.39,2.37,3.43,2.39,R East,0,,,,,,,0.4826,0.4426,0.4046,0.77,0.5354330708661418,3.25,3.4,2.38,3.1,3.1,2.4,11,0.12973657893206847,0.14096306500000003,0.14168222500000002,0.14567426,16,-0.19689999999999985,yellow,1.3988137,0.98292494,-0.4158888,0.16588878631591797,1.1007975583046496,0.9045338860122488,-0.19626367229240083,-0.053736327707599174,1.3203175,1.044615,-0.27570248,0.025702476501464844,0.045951645036594546,0.2970560403955881,0.32486677069480757,0.3780771889096044,0.33122504,0.29231825,0.37645668,0.39241105,0.3092972,0.29829174,0.11559232595464694,0.1257148378023758,0.12148219924101866,0.3823149733346549,0.30882740980723017,0.3088576069240075,0.12077888316357602
4,4,7,0,15,5,0,0.94,1.4031,1.4913122870038653,-0.5,1.0,2.6221,0.79,3,1.0,0.49740932642487046,1.8886163429340779,12.0,8.046604393040113,1,1.6196358543417368,2.2,1.2,1.0,18.8,7.2,3.7999999999999994,11.6,0.8076781907876676,0.6328,0.609,0.5869,0.49740932642487046,0.5479993874938967,1.7192,1.7961410841259582,1.8730821682519165,1,6,Arsenal,1.75,4.0,5.0,,,,1.75,3.6,4.5,46.0,26.0,0.75,2.05,1.76,1.73,1.94,1.92,3.82,4.8,2.16,1.83,1.77,2.0,1.99,4.0,5.3,39.0,-1.0,0.2315,0.2276,0.2236,0.2446181804523878,31/10/15,E0,0,3,0,A,-0.7651675968295789,,,,-3,-2.25,4,12,0.1228,0,8,3,0,0,D,2,-1.0,0.9029,0.7261446901742864,1.0,1.0,1.9264,-1.0,0,0.0,0.5025906735751295,0.8667654766135348,4.0,5.508544032787647,-10,0.8474215400791705,1.2,0.4000000000000001,0.8000000000000002,13.0,3.4,4.2,12.0,0.8843697478991598,0.1357,0.1634,0.1896,0.5025906735751295,0.20738243205371565,0.6460999999999999,0.8034769656901151,0.9608539313802301,-0.75,0,13,Swansea,1.7,3.6,4.7,1.73,3.8,4.75,1.3076923076923077,12.115384615384615,4.375,1.403846153846154,13.961538461538462,4.480769230769231,0.4212,0.4815,0.5386,0.76,0.5380577427821522,1.76,1.79,4.01,4.73,3.93,5.05,K Friend,-3,,,,,,,0.5788,0.5185,0.4614,-1.0,0.46194225721784776,1.73,4.0,5.0,1.75,3.5,5.0,11,0.12365601341520335,0.076625165,0.08979028,0.10334120000000001,16,-1.0731000000000002,red,1.1489595,2.0010085,0.852049,-0.10204899311065674,1.1000819382004814,0.9087384490282235,-0.19134348917225785,0.9413434891722579,0.97315073,1.5053165,0.53216577,0.2178342342376709,0.35237624343309065,0.5067690619256021,0.2656935740302333,0.22753736404416458,0.43902078,0.32884157,0.23213768,0.26555485,0.3202624,0.41418275,0.14752500515495862,0.1842928090849867,0.20685061174984876,0.24174329647699164,0.3049325144552631,0.4533241990018528,0.17864713182500047
5,2,12,1,8,3,0,-1.0,0.9912,1.6011294195302554,1.5,1.0,2.7827,-1.0,0,0.0,0.46632124352331605,1.2506577463729984,8.0,4.996473053594297,-10,1.2622207860310217,2.4,1.6000000000000003,0.8000000000000002,14.0,4.4,3.7999999999999994,16.0,0.8943723164996932,0.5681,0.5359,0.5025,0.46632124352331605,0.3213560850935879,1.5663000000000002,1.467296666855158,1.3682933337103154,0,16,West Ham,2.9,3.4,2.6,,,,2.7,3.2,2.6,46.0,28.0,0.0,1.79,2.01,2.87,2.06,1.8,3.28,2.52,1.85,2.12,3.0,2.14,1.84,3.45,2.7,41.0,-1.0,0.2536,0.2661,0.2784,0.28658949109223475,31/10/15,E0,0,0,2,H,-0.645918749466347,,,,2,2.0,7,16,0.1228,0,20,5,0,1,H,3,0.8,1.2164,0.9552106700639085,2.5,2.0,1.6187,1.5,3,1.0,0.533678756476684,1.4627527625347665,4.0,4.1875579129914655,1,0.6432081885095072,0.20000000000000004,-0.6,0.8000000000000002,13.800000000000002,2.7999999999999994,3.4,12.199999999999998,0.8188764512686525,0.1784,0.198,0.2191,0.533678756476684,0.3920544238141772,0.7503000000000001,0.7750979487720362,0.7998958975440724,-0.0,1,15,Watford,2.6,3.2,2.6,2.9,3.4,2.5,1.3238095238095238,12.142857142857144,4.380952380952381,1.3904761904761902,13.904761904761905,4.466666666666667,0.4084,0.3886,0.3687,-1.0,0.4710526315789474,2.94,3.05,3.42,2.5,3.38,2.6,K Stroud,2,,,,,,,0.5916,0.6114,0.6313,0.79,0.5289473684210526,3.0,3.3,2.55,2.8,3.1,2.62,11,0.23643377851529473,0.49882528000000004,0.4651964050000001,0.43115553000000006,16,-0.8160000000000002,green,2.3196099,0.90185285,-1.417757,1.4177570343017578,1.1005842760883489,0.9058603805302989,-0.19472389555804992,0.19472389555804992,1.3347802,1.0588503,-0.27592993,0.27592992782592773,0.6294702858952451,0.3289154921954834,0.3054372480590581,0.3656472597454586,0.14684361,0.12197075,0.7311857,0.41735455,0.29006013,0.29258534,0.2552944000373214,0.046912088502771426,0.21254094069377283,0.5047291627835763,0.2391560437308232,0.2561148158373423,0.15544399481961454
6,4,11,0,13,5,2,0.8400000000000001,0.481,1.5698736194515828,0.75,1.0,2.665,1.58,3,1.0,0.5208333333333334,1.4298301389772006,7.0,4.4589576595633025,1,1.1999837374410094,1.8,0.4000000000000001,1.3999999999999997,13.800000000000002,5.0,3.4,11.4,0.8419846903865891,0.4843,0.5484,0.6134,0.5208333333333334,0.3799391407030611,1.6122,1.7096967446414024,1.8071934892828045,1,3,Leicester,2.6,3.4,2.9,,,,2.6,3.3,2.6,46.0,28.0,0.0,1.77,2.04,2.58,1.84,2.0,3.25,2.82,1.84,2.14,2.7,1.92,2.08,3.4,2.9,41.0,-1.0,0.2476,0.2395,0.2261,0.2900127168680171,31/10/15,E0,0,3,2,A,-0.31312222634335596,,,,-1,-1.0,6,3,0.1228,0,14,6,0,1,H,0,-1.0,1.0528,1.2567513931082268,1.5,1.0,1.4928,-1.0,0,0.0,0.4791666666666667,1.2801571441547823,6.0,4.774213924012975,-10,0.677073640095792,1.0,-0.8000000000000002,1.8,9.8,2.7999999999999994,4.4,13.800000000000002,1.1484718583913334,0.2681,0.2121,0.1605,0.4791666666666667,0.3300481424289218,1.1346,0.9652843141759269,0.7959686283518536,-0.0,0,9,West Brom,2.5,3.3,2.65,2.6,3.3,2.88,1.3113207547169812,12.10377358490566,4.367924528301887,1.3962264150943395,13.962264150943396,4.471698113207547,0.5178,0.5002,0.4824,1.04,0.4645669291338583,2.7,2.58,3.38,2.97,3.36,2.84,A Taylor,-1,,,,,,,0.4822,0.4998,0.5176,-1.0,0.5354330708661418,2.63,3.3,2.9,2.62,3.0,2.9,11,0.24670362277642002,0.16891205000000004,0.124464485,0.087609905,16,-0.4776,red,1.1002326,1.2293396,0.129107,-0.12910699844360352,1.0991413550419462,0.9075208160299904,-0.19162053901195586,0.19162053901195586,0.9258226,1.1952182,0.2693956,-0.2693955898284912,-0.06896068308671295,0.4004836635393351,0.32945297958807507,0.2700633568725899,0.48598057,0.24347351,0.27054593,0.32665756,0.34440348,0.328939,0.2161770272042546,0.16870554473624966,0.2785140408912601,0.28908894999695867,0.3057766566751942,0.4051344082290083,0.21871875550588632
7,1,5,0,17,9,2,-1.0,0.296,0.9896773863108903,3.0,3.0,1.7166,-1.0,0,0.0,0.4599483204134367,0.5997073500168837,4.0,4.041721125820963,-10,0.6975169034147908,0.8000000000000002,-1.6000000000000003,2.4,8.8,3.2000000000000006,5.400000000000001,15.0,1.2822676957831327,0.1164,0.1807,0.2612,0.4599483204134367,0.13049187708700707,0.7577999999999999,0.9364136107773733,1.1150272215547465,0,12,Sunderland,7.5,4.5,1.5,,,,6.5,4.0,1.5,46.0,29.0,-1.0,2.09,1.73,7.06,2.09,1.78,4.31,1.49,2.17,1.8,8.0,2.16,1.84,4.61,1.53,40.0,-1.0,0.1861,0.2203,0.2468,0.20823171875586238,01/11/15,E0,0,2,6,H,-0.07069910643095412,,,,4,3.0,6,6,0.1228,0,15,8,1,2,H,3,0.78,0.9588,0.9189782798799362,0.5,-1.0,2.3507,0.48,3,1.0,0.5400516795865633,2.192060931227254,4.0,4.352660000324052,1,0.9041016566265061,1.2,-0.6,1.8,12.0,4.4,5.400000000000001,13.0,1.204553702198949,0.6974,0.599,0.492,0.5400516795865633,0.6612764041571305,2.1774999999999998,1.9013437018664834,1.6251874037329668,1.0,1,2,Everton,6.1,4.0,1.5,7.0,4.2,1.5,1.3271028037383177,12.112149532710282,4.373831775700935,1.4018691588785046,13.962616822429906,4.485981308411215,0.5622,0.5395,0.5162,0.73,0.5471204188481674,7.5,7.5,4.7,1.48,4.61,1.49,A Marriner,4,,,,,,,0.4378,0.4605,0.4838,-1.0,0.4528795811518324,7.5,4.6,1.5,7.0,3.8,1.53,11,0.06588090218320708,0.05256950499999999,0.09672674500000002,0.16314472000000002,16,1.4196999999999997,green,2.0172539,0.6452451,-1.3720088,0.3720088005065918,1.103463045711989,0.9013942075518773,-0.20206883816011167,-0.7979311618398883,1.7238116,0.70454186,-1.0192697,0.019269704818725586,-0.13555088550485697,0.11456038422810319,0.20171428700392335,0.6837253287679733,0.12333927,0.17796527,0.6986954,0.58567,0.25090393,0.16342603,0.056576874648708614,0.05299851732844918,0.09918871719670763,0.6560302481136978,0.21019449657898773,0.1337752279885189,0.06810550457263073
8,6,5,0,16,2,2,-1.0,0.0127,0.22658983089000684,-3.75,-4.0,1.9504,-1.0,0,0.0,0.49350649350649356,0.63038314384667,1.0,4.413260719036542,-10,0.8827833781201051,1.3999999999999997,-1.3999999999999997,2.7999999999999994,10.2,3.6,5.2,12.6,1.2543437358196345,0.1628,0.1692,0.1756,0.49350649350649356,0.13594081488331614,1.1372999999999998,1.185888284073772,1.234476568147544,0,0,Bournemouth,6.5,4.33,1.55,,,,5.75,4.0,1.55,46.0,28.0,-1.0,2.05,1.76,6.29,1.95,1.9,4.17,1.54,2.15,1.83,7.0,1.99,1.95,4.38,1.58,40.0,-1.0,0.1842,0.1845,0.1847,0.2225606991967216,01/11/15,E0,0,0,2,H,1.1778437076989654,,,,2,1.0,4,5,0.1228,1,11,2,0,2,H,0,0.8999999999999999,0.8131,1.4044335385889721,0.5,0.0,2.3102,0.53,3,1.0,0.5064935064935064,2.1470561569566087,8.0,5.6962467643983805,1,1.3608977597216199,2.0,0.20000000000000004,1.8,17.4,6.599999999999999,3.7999999999999994,12.6,1.048793451551251,0.653,0.6463,0.6397,0.5064935064935064,0.6414984859199624,2.4202999999999997,2.443007585553958,2.465715171107916,1.0,1,11,Southampton,5.5,4.0,1.55,6.0,4.2,1.57,1.3333333333333333,12.157407407407407,4.416666666666667,1.4444444444444444,13.972222222222221,4.518518518518518,0.6897,0.7023,0.7146,-1.0,0.5380577427821522,6.88,7.22,4.41,1.53,4.37,1.55,C Pawson,2,,,,,,,0.3103,0.2977,0.2854,1.0499999999999998,0.46194225721784776,7.0,4.33,1.53,6.0,3.8,1.57,11,0.07350162037440969,0.07345642,0.07686616500000001,0.08032572499999997,16,1.283,green,2.4010592,1.0394638,-1.3615954,0.36159539222717285,1.1051462524029343,0.9012140259950925,-0.2039322264078418,-0.7960677735921582,1.8087296,0.7992952,-1.0094345,0.00943446159362793,-0.14167930659045247,0.12220048248128063,0.22111645522531592,0.6566830622934035,0.11175047,0.17142628,0.7168233,0.69212425,0.20685263,0.10102322,0.06639973881744643,0.04633860770233966,0.05249657512985373,0.6885435299006678,0.19979845544635166,0.1116580568729373,0.054736322501490714
9,3,15,0,13,2,3,-1.0,0.3451,0.0,-1.0,-1.0,1.6254,-1.0,0,0.0,0.4249363867684478,0.5091639452884661,0.0,3.71959694826082,-10,0.7551269673149635,1.2,-0.8000000000000002,2.0,9.4,2.7999999999999994,5.8,15.6,1.2482698184203729,0.0277,0.0868,0.1561,0.4249363867684478,0.10539424487670973,0.21960000000000002,0.5940338819438951,0.9684677638877901,0,10,Aston Villa,8.0,4.75,1.44,,,,7.25,4.33,1.42,43.0,25.0,-1.0,2.02,1.77,8.11,2.26,1.67,4.52,1.42,2.12,1.82,9.0,2.36,1.71,4.84,1.45,38.0,-1.0,0.1411,0.1751,0.196,0.19298121065833687,02/11/15,E0,0,1,3,H,1.4185457583668721,,,,2,1.0,4,6,0.1228,0,17,6,0,2,H,0,0.6699999999999999,1.4058,1.4185457583668721,3.75,4.0,2.4067,0.3999999999999999,3,1.0,0.5750636132315522,2.297854844053197,8.0,5.639578387101275,1,1.2050476000693415,1.3999999999999997,0.8000000000000002,0.6,16.6,6.2,5.0,14.0,0.9707987202536636,0.8312,0.7381,0.6479,0.5750636132315522,0.7016245444649534,2.1843999999999997,2.182417792341198,2.180435584682396,1.0,1,14,Tottenham,7.3,4.4,1.4,7.5,4.5,1.44,1.3211009174311927,12.192660550458717,4.394495412844036,1.4495412844036697,13.944954128440367,4.495412844036697,0.4313,0.5249,0.6093,0.77,0.5329815303430079,9.0,9.32,5.09,1.4,4.8,1.43,M Dean,2,,,,,,,0.5687,0.4751,0.3907,-1.0,0.467018469656992,9.0,4.8,1.4,8.0,4.2,1.44,11,0.05006792965943923,0.01463036499999999,0.038062925000000004,0.07417080999999998,16,1.9647999999999997,green,2.0935597,0.87004066,-1.2235191,0.22351908683776855,1.106214150330497,0.9011483688313178,-0.2050657814991792,-0.7949342185008208,2.0292244,0.6883683,-1.3408561,0.34085607528686523,-0.07685301879206234,0.08043281262116336,0.2056085714401066,0.7139586159387299,0.122063935,0.20934457,0.6685915,0.71776634,0.20093045,0.081303254,0.04414455537091912,0.062365599248424886,0.04313302403735131,0.7001054866048717,0.20529452789827385,0.09460000039801565,0.04944293821025293
