,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,2.0,12.0,0.0,12.0,5.0,0.0,0.99,0.4469,0.9241273370620086,0.5,2.0,2.7449,1.85,3,1.0,0.4831168831168831,1.3064906144208384,7.0,7.574713699363601,1,1.4804891232940882,2.2,0.6,1.6000000000000003,15.0,5.2,4.4,13.199999999999998,0.9834401441601215,0.5307,0.4031,0.2601,0.4831168831168831,0.34396544937185786,2.5206,1.8907421511067346,1.2608843022134693,1,0,Monaco,2.79,3.39,2.5,,,,2.65,3.5,2.6,32.0,18.0,0.0,2.1,1.71,2.69,1.99,1.86,3.41,2.53,2.23,1.78,2.83,2.06,1.9,3.7,2.7,32.0,-1.0,0.1934,0.2166,0.2279,0.2745942663052647,28/10/17,F1,0,2,0,A,-0.2826897356244342,,,,-2,-2.0,6.0,22.0,0.3296,0.0,12.0,4.0,0.0,0.0,D,2.0,-1.0,0.2243,0.6414376014375743,-1.75,-1.0,1.9315,-1.0,0,0.0,0.5168831168831169,1.418915119273897,4.0,6.235992388090903,-10,1.247560207727316,2.0,1.25,0.75,15.75,6.0,2.75,8.75,0.7217520223637032,0.2759,0.3803,0.512,0.5168831168831169,0.3814402843228774,1.8142,1.833410096854516,1.8526201937090319,-0.0,0,13,Bordeaux,2.6,3.2,2.6,2.65,3.4,2.5,1.18,11.61,3.68,1.51,13.31,4.76,0.807,0.7186,0.6018,-1.0,0.5511811023622047,2.83,2.85,3.57,2.57,3.55,2.58,-2,,,,,,,0.193,0.2814,0.3982,1.1,0.4488188976377953,2.75,3.5,2.55,2.7,3.3,2.6,11,0.28793901106109293,0.14818164999999994,0.25045885,0.40479800499999996,18,-0.7063999999999999,1.2582719,1.0913529,-0.166919,0.16691899299621582,1.100620949638137,0.9012772325653227,-0.19934371707281429,0.19934371707281429,1.4406918,1.148016,-0.29267585,0.29267585277557373,0.21964618761486795,0.34512570519153263,0.2896825733433985,0.36519172146506884,0.32432747,0.23457828,0.44109422,0.41643712,0.31512803,0.26843488,0.2811126677137539,0.32554871984338485,0.3543037197622967,0.40757435346506626,0.27979629445906556,0.3126293520758681,0.3192976306150538
1,6.0,13.0,0.0,8.0,3.0,3.0,-0.5,0.1794,1.943256465450903,-4.0,-5.0,1.1316,-1.0,0,0.25,0.4883116883116883,0.7561692537382947,7.0,3.602200802854788,-10,0.8439354091385942,1.5,0.25,1.25,8.5,2.5,6.75,15.75,1.1858185122498681,0.1305,0.1511,0.1656,0.4883116883116883,0.16415377012106924,0.4089999999999999,0.5544638573980694,0.6999277147961388,0,6,Troyes,5.75,3.6,1.66,,,,5.25,3.7,1.7,35.0,17.0,-0.75,1.7,2.12,5.68,1.97,1.88,3.52,1.67,1.75,2.25,6.67,2.02,1.92,3.75,1.75,33.0,-1.0,0.3197,0.281,0.2528,0.26370794337508696,28/10/17,F1,0,0,1,H,-0.6653352129248415,,,,1,0.25,6.0,12.0,0.3296,0.0,16.0,3.0,0.0,1.0,H,1.0,0.43999999999999995,0.7226,1.2779212525260615,-0.5,-2.0,1.0087,0.71,3,0.75,0.5116883116883117,1.9801228028866182,6.0,4.6951249837498406,1,0.8837073549136312,0.8000000000000002,0.0,0.8000000000000002,15.4,4.0,2.7999999999999994,7.599999999999999,0.6980461066580729,0.5499,0.5679,0.5816,0.5116883116883117,0.5721382865038437,1.1589,1.3627935528270305,1.566687105654061,0.75,1,14,Caen,4.65,3.4,1.75,5.5,3.5,1.67,1.188118811881188,11.613861386138614,3.6930693069306932,1.4950495049504948,13.297029702970297,4.752475247524752,0.2084,0.3009,0.3951,-1.0,0.4450261780104712,6.67,5.96,3.71,1.71,3.53,1.68,1,,,,,,,0.7916,0.6991,0.6049,0.7,0.5549738219895288,6.0,3.6,1.67,5.5,3.6,1.67,11,0.10500605306041393,0.10979708499999997,0.10477081000000002,0.10124095999999999,18,0.7499000000000001,2.4958298,0.7603922,-1.7354376,0.9854376316070557,1.1015288217921282,0.9001488150963226,-0.20138000669580558,-0.5486199933041944,1.5116165,0.6618115,-0.849805,0.09980499744415283,0.17887421191567135,0.19386918883450424,0.2601598051487625,0.5459710060167332,0.13770655,0.33750707,0.52478635,0.62188894,0.27216434,0.105946705,0.12186379487840299,0.12239555587628992,0.07709634222564787,0.5642154315646496,0.2899437396824102,0.14584081385177902,0.10558886870886451
2,5.0,19.0,0.0,10.0,0.0,2.0,-1.0,0.9295,1.769208905230303,0.75,1.0,1.0852,-1.0,0,0.0,0.4779220779220779,1.3159606126411822,10.0,5.652243762981891,-10,1.0154591988397859,1.0,-0.0,1.0,11.6,4.2,3.6,14.4,0.8581543388416334,0.3701,0.4173,0.4587,0.4779220779220779,0.3368607309870969,1.0852,1.3137076402820667,1.5422152805641334,0,15,Nantes,2.89,3.1,2.6,,,,2.85,3.1,2.65,35.0,17.0,0.0,1.61,2.27,2.84,2.01,1.84,3.09,2.59,1.65,2.36,3.0,2.08,1.89,3.2,2.72,30.0,-1.0,0.2999,0.2744,0.2526,0.30537841967989154,28/10/17,F1,0,0,1,H,-0.38896341397800427,,,,1,1.0,1.0,15.0,0.3296,0.0,6.0,1.0,0.0,1.0,H,3.0,0.8400000000000001,0.0,1.3802454912522988,1.0,1.0,1.607,1.7400000000000002,3,1.0,0.522077922077922,1.3786609676789263,5.0,3.6225439834355067,1,0.9148303291340935,1.0,-0.8000000000000002,1.8,13.6,4.6,4.6,13.6,1.290926302088025,0.33,0.3084,0.2886,0.522077922077922,0.35776084933301167,1.0070999999999999,1.0885008513237842,1.1699017026475682,-0.0,1,17,Dijon,2.6,3.2,2.6,2.8,3.0,2.6,1.1764705882352942,11.57843137254902,3.6862745098039214,1.4901960784313726,13.323529411764705,4.735294117647059,0.3483,0.4309,0.5093,-1.0,0.41494845360824745,3.0,2.91,3.21,2.74,3.17,2.66,1,,,,,,,0.6517,0.5691,0.4907,0.6100000000000001,0.5850515463917526,2.9,3.2,2.63,2.9,3.0,2.62,11,0.26297313936530786,0.2929370049999999,0.3261832,0.35829370000000005,18,-0.07810000000000006,1.2133976,1.1747324,-0.038665175,0.038665175437927246,1.0994502246815656,0.9010743192724574,-0.1983759054091082,0.1983759054091082,1.1237241,0.9223579,-0.20136619,0.20136618614196777,0.14613575566300108,0.35029073452681425,0.29494893539608386,0.3547603300771018,0.4400379,0.24220288,0.31775916,0.42621055,0.32014063,0.2536489,0.2695189151687728,0.3295429901174671,0.19678602637709597,0.36624334625273613,0.2857641478004087,0.34799251588096264,0.26137314018205066
3,5.0,20.0,1.0,7.0,2.0,5.0,0.69,0.7445,0.8344819829297017,1.75,1.0,0.8232,-1.0,1,1.0,0.5666666666666667,0.9073846539618856,3.0,3.595044664077218,1,0.44617899985708415,0.20000000000000004,-1.2,1.3999999999999997,8.0,1.3999999999999997,4.6,14.4,1.0101905499432235,0.1517,0.1455,0.1387,0.5666666666666667,0.2039618856569709,0.40630000000000005,0.4585216589018022,0.5107433178036043,0,12,Amiens,6.0,3.5,1.66,,,,6.0,3.6,1.65,35.0,18.0,-1.0,1.69,2.13,5.67,1.69,2.21,3.59,1.65,1.75,2.2,6.24,1.74,2.31,3.78,1.75,33.0,2.32,0.363,0.3175,0.2806,0.29549899699097293,28/10/17,F1,1,1,1,D,-0.08505509915234921,,,,0,-1.0,5.0,16.0,0.3296,0.0,12.0,4.0,1.0,1.0,D,1.0,-1.0,0.4169,0.7494268837773524,-0.75,-1.0,1.3818,-1.0,1,0.0,0.4333333333333333,1.7971163490471413,4.0,5.337411943162105,-10,0.9086183313121814,1.2,0.4000000000000001,0.8000000000000002,12.0,4.6,3.6,13.6,0.9825384309627169,0.4852,0.537,0.5807,0.4333333333333333,0.5005391173520561,0.9668999999999999,1.1651746637131177,1.3634493274262354,1.0,0,18,Guingamp,4.65,3.4,1.75,5.5,3.6,1.67,1.1650485436893203,11.563106796116505,3.650485436893204,1.4854368932038835,13.25242718446602,4.699029126213592,0.1601,0.2228,0.2893,-1.0,0.4424083769633508,6.24,4.81,3.32,1.96,3.78,1.67,0,,,,,,,0.8399,0.7772,0.7107,0.69,0.5575916230366492,6.0,3.7,1.65,5.5,3.6,1.67,11,0.14606992940016134,0.12923114000000002,0.15476962500000002,0.17822509,18,0.5605999999999998,1.269516,1.0836914,-0.18582463,-0.8141753673553467,1.100072421940119,0.8999850685076467,-0.2000873534324723,-0.7999126465675277,1.3291508,0.80622786,-0.52292293,-0.47707706689834595,-0.6970550269404067,0.21845248511501922,0.2998008423830178,0.4817466725019628,0.20776072,0.22143067,0.5708086,0.48789415,0.27969107,0.23241486,0.13990067235982057,0.18449348468334847,0.1460286651050411,0.5134831365316449,0.2669741956321765,0.21954268770439353,0.15593195725150125
4,1.0,17.0,0.0,7.0,2.0,2.0,0.8799999999999999,0.2242,0.6960754387646986,0.75,1.0,1.3474,3.34,3,1.0,0.5129533678756476,0.9827134149419909,4.0,5.7465035788343055,1,1.0895525074914967,1.6000000000000003,-0.20000000000000004,1.8,13.4,3.0,5.599999999999999,11.4,1.0743129044961253,0.0319,0.1655,0.2987,0.5129533678756476,0.22580601732024275,0.10309999999999997,0.5168028443466615,0.930505688693323,1,11,Rennes,4.09,3.1,2.04,,,,4.0,3.2,2.05,35.0,17.0,-0.5,1.55,2.39,4.14,1.88,1.98,3.16,1.99,1.65,2.53,4.72,1.92,2.05,3.35,2.08,30.0,-1.0,0.3117,0.3182,0.3014,0.30529536298126275,28/10/17,F1,0,1,0,A,1.7766443431828167,,,,-1,-1.5,4.0,15.0,0.3296,0.0,9.0,4.0,0.0,0.0,D,4.0,-1.0,1.2443,2.4727197819475153,1.25,1.0,1.0757,-1.0,0,0.0,0.4870466321243523,1.7119912220767464,8.0,3.2353039185455925,-10,0.7080139689590027,0.8000000000000002,0.4000000000000001,0.4000000000000001,11.199999999999998,3.2000000000000006,3.0,10.4,0.7340384965365996,0.6564,0.5163,0.3999,0.4870466321243523,0.46889861969849456,1.1811000000000003,1.1537076715677457,1.126315343135491,0.5,0,3,Montpellier,3.9,3.35,1.9,4.0,3.1,2.0,1.1634615384615385,11.519230769230768,3.6346153846153846,1.4807692307692308,13.240384615384615,4.6923076923076925,0.1393,0.235,0.3387,-1.0,0.3934010152284264,4.72,4.34,3.21,2.09,3.19,2.0,-1,,,,,,,0.8607,0.765,0.6613,0.55,0.6065989847715737,4.3,3.25,2.0,4.2,3.1,2.0,11,0.40962111918634886,0.6840392849999999,0.48147797,0.32587085,18,1.0780000000000003,1.14106,1.0085603,-0.1324997,-0.36750030517578125,1.1001703234278795,0.9001743125399424,-0.19999601088793706,-0.30000398911206294,1.1584024,0.8323972,-0.32600522,-0.173994779586792,-0.2804996912915454,0.23675786589014702,0.3018447018748786,0.4613974322349741,0.20675452,0.31695002,0.4762955,0.43714952,0.31624353,0.24660704,0.39771307287679497,0.42804793293972754,0.3793504003819024,0.45828081930580783,0.3116794181229759,0.23003980727469978,0.40143003828249574
5,2.0,12.0,0.0,5.0,2.0,2.0,0.0,0.4681,1.0286297979661694,-1.25,-1.0,1.583,-1.0,1,0.5,0.48186528497409326,1.4202561294063696,5.0,4.860835268321135,0,1.3078706156759834,1.6000000000000003,0.8000000000000002,0.8000000000000002,13.0,5.2,3.0,13.800000000000002,0.7685005543237253,0.4396,0.4427,0.4453,0.48186528497409326,0.3758181701035812,1.5688,1.686991655882168,1.8051833117643359,0,7,Angers,2.79,3.1,2.7,,,,2.95,3.1,2.6,35.0,17.0,0.0,1.68,2.15,2.81,2.0,1.86,3.1,2.61,1.73,2.25,2.95,2.05,1.93,3.2,2.76,33.0,2.35,0.2475,0.2369,0.2277,0.2928016190956259,28/10/17,F1,1,2,2,D,0.1278462589789786,,,,0,0.0,4.0,10.0,0.3296,0.0,14.0,6.0,0.0,1.0,H,3.0,0.0,0.0142,1.156476056945148,2.0,1.0,1.4244,-1.0,1,0.5,0.5181347150259067,1.2869422514980047,5.0,4.32347904651618,0,1.349864883592018,1.75,0.25,1.5,18.0,6.75,4.25,13.0,1.1879167222333604,0.3129,0.3204,0.327,0.5181347150259067,0.3313802108007929,1.2859000000000003,1.4036894016219044,1.5214788032438085,-0.0,0,19,Strasbourg,2.9,3.15,2.4,2.8,3.1,2.6,1.161904761904762,11.476190476190476,3.619047619047619,1.4666666666666666,13.199999999999998,4.685714285714286,0.5435,0.5968,0.6459,1.15,0.4386422976501305,2.89,2.61,3.35,2.96,3.16,2.76,0,,,,,,,0.4565,0.4032,0.3541,-1.0,0.5613577023498694,2.9,3.13,2.7,2.8,3.1,2.6,11,0.1255260705451911,0.14557728499999997,0.149319725,0.152610545,18,-0.2828999999999997,0.9755049,1.3435289,0.368024,-0.36802399158477783,1.1002067317157302,0.9014214531010699,-0.19878527861466033,0.19878527861466033,1.2260814,1.0463922,-0.17968917,0.1796891689300537,0.0034834853199787372,0.35726723363110074,0.2984889700312827,0.3442437963376165,0.29814157,0.28238884,0.41946957,0.39084062,0.3046343,0.3045251,0.12307183377167696,0.1324215644830109,0.12274595640916752,0.3848513270977378,0.2951707030104072,0.31997796989185495,0.12524822259250143
6,4.0,17.0,0.0,10.0,3.0,3.0,0.9099999999999999,0.1598,1.4094900640831038,1.25,0.0,2.2619,1.3900000000000001,3,1.0,0.5026041666666667,1.5087918321043676,8.0,5.675811560405805,1,1.7373247622623498,2.2,-0.0,2.2,16.4,7.0,6.599999999999999,14.800000000000002,1.320739463347897,0.6205,0.5622,0.5079,0.5026041666666667,0.40989623302525774,2.1456999999999997,2.1737452901919987,2.2017905803839977,1,9,Marseille,2.25,3.25,3.39,,,,2.2,3.4,3.3,34.0,17.0,0.25,2.02,1.78,2.22,1.91,1.93,3.39,3.2,2.11,1.83,2.27,1.96,1.99,3.62,3.45,32.0,-1.0,0.2021,0.2063,0.2066,0.27910313302859435,29/10/17,F1,0,1,0,A,-1.2020815555460425,,,,-1,-0.75,11.0,18.0,0.3296,0.0,18.0,7.0,1.0,0.0,A,2.0,-1.0,0.1162,0.20740850853706133,-0.75,-1.0,0.8877,-1.0,0,0.0,0.4973958333333334,1.2121050348670384,1.0,4.821402974513519,-10,0.8366136193124145,1.0,-0.6,1.6000000000000003,12.800000000000002,3.7999999999999994,3.4,11.800000000000002,1.0833759234884661,0.1774,0.2315,0.2855,0.4973958333333334,0.31100063394614796,1.0575,1.3418254015360112,1.626150803072022,-0.25,0,8,Lille,2.2,3.2,3.2,2.2,3.4,3.2,1.169811320754717,11.415094339622641,3.6037735849056602,1.471698113207547,13.20754716981132,4.69811320754717,0.6208,0.682,0.7356,-1.0,0.531578947368421,2.22,2.39,3.51,3.15,3.62,3.36,-1,,,,,,,0.3792,0.318,0.2644,1.02,0.4684210526315789,2.25,3.5,3.25,2.25,3.3,3.2,11,0.22247192505634344,0.087745505,0.12263054500000001,0.16183633,18,-1.0881999999999996,1.3025525,1.1329557,-0.16959679,0.419596791267395,1.100972599491153,0.9008990832376759,-0.20007351625347713,0.45007351625347713,1.2651207,1.1217654,-0.14335537,0.3933553695678711,0.42100855902958106,0.39291553636930543,0.2807770933890172,0.32630737024167744,0.37566033,0.26742727,0.35691234,0.45734462,0.32860655,0.21404876,0.23751402292790372,0.25859318541616805,0.4134416700963799,0.3801881121185739,0.2922703016527437,0.3275415415251989,0.29837165942406096
7,2.0,17.0,0.0,7.0,4.0,3.0,0.0,0.0074,0.0,-1.0,-1.0,0.8293,-1.0,0,0.5,0.3495145631067961,0.3018084007781166,0.0,4.481024301972326,0,0.6043119437939111,0.4000000000000001,-1.0,1.3999999999999997,8.8,2.2,5.0,16.2,1.0957510623038,0.0275,0.072,0.1455,0.3495145631067961,0.0651792790412834,0.40640000000000004,0.6721058463228808,0.9378116926457617,0,2,Metz,15.0,7.5,1.18,,,,15.0,7.5,1.18,34.0,19.0,-2.0,2.02,1.3,12.99,3.35,1.8,7.37,1.18,2.14,1.33,17.0,3.6,1.84,8.14,1.22,27.0,-1.0,0.0984,0.1428,0.1908,0.10627056365426642,29/10/17,F1,0,0,2,H,1.025416219604656,,,,2,0.0,3.0,13.0,0.3296,0.0,12.0,4.0,0.0,2.0,H,0.0,0.0,0.4229,1.025416219604656,4.0,5.0,2.7066,0.17999999999999994,3,0.5,0.6504854368932039,2.591921035567616,8.0,7.801710024719874,0,1.3940587372451034,3.0,1.2,1.8,14.800000000000002,5.8,5.2,12.199999999999998,1.3283980519480518,0.8741,0.7853,0.6637,0.6504854368932039,0.82855015730445,3.0288,2.627934810238475,2.2270696204769505,2.0,1,1,Lyon,12.0,5.5,1.22,15.0,7.0,1.18,1.1682242990654206,11.401869158878505,3.5981308411214954,1.4579439252336448,13.25233644859813,4.719626168224299,0.667,0.6406,0.6127,-1.0,0.608433734939759,13.13,15.0,9.2,1.18,8.14,1.21,2,,,,,,,0.333,0.3594,0.3873,1.02,0.391566265060241,17.0,8.0,1.17,15.0,7.5,1.17,11,0.016821693488335166,0.008303530000000002,0.02563285,0.06713397000000002,18,2.6224,2.647014,0.60880935,-2.0382047,0.03820466995239258,1.1030589784096692,0.8999384506099025,-0.20312052779976664,-1.7968794722002333,2.3688488,0.6860111,-1.6828377,-0.31716227531433105,-0.6919456925207239,0.09078392274873703,0.1152267742563905,0.7939893029948724,0.03764854,0.07916267,0.8831887,0.8283779,0.1433863,0.028235737,0.02534106395509359,0.00753114570586455,0.015125702180194267,0.8351853100068256,0.11259191693231867,0.05222273332442592,0.014945550031855909
8,1.0,19.0,0.0,4.0,2.0,3.0,0.48,0.5547,0.5861803912662268,-1.25,-1.0,1.5662,-1.0,1,0.75,0.49090909090909085,1.148310033031931,4.0,6.823837950907013,1,0.9745404617192853,0.75,-0.5,1.25,12.0,4.0,5.5,13.25,1.0264926224828366,0.326,0.2768,0.2315,0.49090909090909085,0.27910313302859435,1.1062,1.0192905087772337,0.9323810175544675,0,5,St Etienne,3.6,3.1,2.2,,,,3.3,3.2,2.3,34.0,17.0,-0.25,1.56,2.35,3.45,1.96,1.89,3.12,2.22,1.6,2.43,3.7,2.0,1.94,3.25,2.3,29.0,2.15,0.279,0.2708,0.2589,0.31100063394614796,29/10/17,F1,1,0,0,D,1.0092655981510688,,,,0,-0.25,7.0,16.0,0.3296,0.0,11.0,4.0,0.0,0.0,D,2.0,-0.5,0.46,1.5954459894172957,1.25,1.0,1.4724,-1.0,1,0.25,0.5090909090909091,1.5406893330219211,7.0,4.387487916502024,-10,1.0123317833219974,1.25,0.5,0.75,12.75,5.5,2.5,12.25,0.8266226296503479,0.395,0.4524,0.5096,0.5090909090909091,0.40989623302525774,1.2473,1.3837697912936018,1.5202395825872033,0.25,0,16,Toulouse,3.1,3.1,2.3,3.5,3.1,2.2,1.1574074074074074,11.361111111111109,3.6018518518518516,1.462962962962963,13.24074074074074,4.712962962962963,0.4181,0.4311,0.444,-1.0,0.39897698209718674,3.69,3.51,3.15,2.39,3.2,2.26,0,,,,,,,0.5819,0.5689,0.556,0.56,0.6010230179028133,3.6,3.13,2.25,3.4,3.1,2.25,11,0.1229567403573368,0.1311505,0.14064200000000004,0.156642205,18,0.1411,1.4625189,0.8887551,-0.57376385,0.3237638473510742,1.0996571022167179,0.9002125675053338,-0.19944453471138401,-0.050555465288615986,1.1511186,0.81962603,-0.3314926,0.0814926028251648,0.11823366162920768,0.24012722550345422,0.3084909160670216,0.4513818584295241,0.24700533,0.3431358,0.4098588,0.40635598,0.31583086,0.2778132,0.13070333327363887,0.11449794967393823,0.12115266775256872,0.42253220950272774,0.32248585885553144,0.25498191674057963,0.12177462676550518
9,0.0,26.0,0.0,6.0,0.0,5.0,-1.0,0.2243,0.17578082677081083,-2.0,-2.0,1.9315,-1.0,0,0.0,0.4857142857142857,1.5118799295389482,1.0,5.6889025860814435,-10,1.1966485893336603,1.3333333333333333,-0.6666666666666666,2.0,14.166666666666666,4.166666666666667,5.0,10.833333333333334,1.0506238027810797,0.4372,0.4073,0.3754,0.4857142857142857,0.4045701611777709,1.7073,1.542669581353877,1.3780391627077544,0,13,Bordeaux,2.29,3.25,3.25,,,,2.3,3.1,3.4,36.0,19.0,0.25,1.62,2.26,2.33,1.98,1.87,3.17,3.24,1.69,2.38,2.5,2.02,1.91,3.27,3.43,31.0,-1.0,0.2345,0.245,0.2561,0.29816944600563544,03/11/17,F1,0,0,1,H,0.9034558893948285,,,,1,1.25,8.0,14.0,0.3296,0.0,6.0,2.0,0.0,1.0,H,2.0,0.8700000000000001,0.2242,1.0792367161656393,1.5,1.0,1.3474,2.28,3,1.0,0.5142857142857141,1.1899506244554172,6.0,5.559484689621263,1,0.8948583048112115,0.8000000000000002,-0.4000000000000001,1.2,13.199999999999998,4.8,3.7999999999999994,10.4,1.004179640198537,0.3283,0.3477,0.3685,0.5142857142857141,0.2972603928165939,1.4527,1.4077499575864942,1.3627999151729884,-0.25,1,11,Rennes,2.5,3.1,2.8,2.3,3.1,3.25,1.146788990825688,11.293577981651376,3.5871559633027523,1.4495412844036697,13.220183486238533,4.706422018348624,0.6117,0.5656,0.5163,-1.0,0.41752577319587636,2.36,2.41,3.27,3.28,3.27,3.37,1,,,,,,,0.3883,0.4344,0.4837,0.6200000000000001,0.5824742268041238,2.38,3.2,3.3,2.25,3.2,3.3,11,0.32875998540984763,0.32116236499999995,0.29569428999999997,0.269858705,18,-0.25459999999999994,0.9775804,1.2312434,0.25366294,-0.0036629438400268555,1.0995599280734432,0.9013259464890834,-0.1982339815843598,0.4482339815843598,1.000539,1.2625833,0.2620443,-0.012044310569763184,0.1441755757248566,0.3932205958535793,0.2866272886023217,0.32015211554409895,0.25872904,0.21261217,0.5286588,0.28681943,0.29104322,0.42213735,0.3084077915013041,0.1445516143538611,0.34341323505922094,0.3785434503424228,0.2634275591845411,0.35802899544008976,0.2571965005657211
