,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,4.0,17.0,0.0,17.0,7.0,1.0,0.0,1.5032,0.7541462641234246,-1.5,0.0,2.5324,0.5700000000000001,3,0.5,0.4727272727272727,2.103986714569472,7.0,9.282019063154003,0,1.3084772420818127,2.0,0.8000000000000002,1.2,11.0,4.2,1.8,9.8,0.6569848538013392,0.6818,0.5577,0.4199,0.4727272727272727,0.6247582247017833,1.9232,1.5695878728582484,1.2159757457164968,1,18,Paris SG,1.55,4.0,6.5,,,,1.57,4.1,6.75,57.0,37.0,1.0,1.74,2.06,1.58,2.03,1.82,3.86,6.23,1.9,2.14,1.64,2.12,1.85,4.15,7.2,49.0,-1.0,0.2056,0.2536,0.2902,0.22971204046412178,28/10/16,F1,0,1,0,A,0.19846423854526296,,,,-1,0.0,2.0,21.0,0.395,0.0,10.0,1.0,0.0,0.0,D,2.0,0.0,0.6092,0.9526105026686875,0.25,1.0,1.7355,-1.0,0,0.5,0.5272727272727271,0.6663012449664065,6.0,6.298481890753167,0,1.006002317989941,1.2,-0.20000000000000004,1.3999999999999997,13.199999999999998,4.6,2.7999999999999994,6.599999999999999,0.860468514121561,0.1126,0.1887,0.29,0.5272727272727271,0.14552973483409493,0.6273,0.7928230072111115,0.9583460144222231,-1.0,0,12,Lille,1.6,3.6,5.6,1.6,3.8,6.0,1.08,10.08,3.61,1.45,12.65,4.23,0.4691,0.4204,0.3704,-1.0,0.4578947368421053,1.59,1.57,4.27,6.74,4.03,6.94,-1,,,,,,,0.5309,0.5796,0.6296,0.74,0.5421052631578948,1.57,3.9,6.5,1.57,3.75,6.5,11,0.08099264682491966,0.05696500000000001,0.11561849,0.21036602000000004,17,-1.2959,red,0.6686851,2.3957624,1.7270774,-0.7270773649215698,1.0999636867510563,0.9019475696740168,-0.19801611707703948,1.1980161170770396,0.8826277,1.4902087,0.607581,0.3924189805984497,0.2877859109179732,0.6418466414870295,0.18419919978610025,0.17395415872687006,0.797395,0.096850164,0.105754875,0.124909915,0.22784609,0.64724404,0.07926693877624669,0.026116447645812696,0.0700196415766437,0.13487298280117876,0.16963181668199215,0.6954952228685708,0.055456947198986584
1,5.0,25.0,0.0,8.0,2.0,1.0,0.46499999999999997,0.5871,1.5148803793981211,0.75,1.0,1.8718,-1.0,1,0.75,0.4960835509138382,1.0979555710326614,8.0,5.28094502298491,1,0.7037065370924825,0.5,-1.5,2.0,8.25,2.75,4.25,12.0,1.0843897286061466,0.2474,0.2186,0.1846,0.4960835509138382,0.26197420159897844,0.9299,0.7551914245524325,0.580482849104865,0,4,Dijon,3.4,3.1,2.3,,,,3.5,3.0,2.3,56.0,31.0,-0.25,1.5,2.5,3.5,1.93,1.9,3.05,2.26,1.59,2.66,3.83,1.99,1.95,3.2,2.36,42.0,2.14,0.2702,0.2899,0.3148,0.31203296623572596,29/10/16,F1,1,0,0,D,-0.8701412970928036,,,,0,-0.25,13.0,11.0,0.395,0.0,19.0,11.0,0.0,0.0,D,1.0,-0.5,0.9419,0.6447390823053175,-0.25,-1.0,1.6069,-1.0,1,0.25,0.5039164490861618,1.5900114627316126,3.0,4.653045057038041,-10,0.7460670040950668,0.8000000000000002,0.0,0.8000000000000002,9.6,3.6,3.4,6.2,0.7643507271104322,0.4824,0.4915,0.5006,0.5039164490861618,0.42599283216529554,1.4148,1.288137487294229,1.161474974588458,0.25,0,0,Bastia,3.3,3.1,2.2,3.6,2.9,2.25,1.0792079207920793,10.148514851485148,3.6435643564356437,1.4356435643564354,12.623762376237623,4.198019801980198,0.4158,0.335,0.2539,-1.0,0.375,3.83,3.74,3.14,2.3,3.07,2.28,0,,,,,,,0.5842,0.665,0.7461,0.5,0.625,3.7,3.1,2.25,3.4,3.0,2.3,11,0.12505018767981596,0.14695826,0.14467910499999997,0.14233876,17,0.4849000000000001,yellow,1.2864666,1.0531545,-0.23331213,-0.016687870025634766,1.1001375025711355,0.9003141880228619,-0.19982331454827362,-0.05017668545172638,1.1015893,0.90394366,-0.19764566,-0.05235433578491211,-0.03973963042075775,0.24395795681573876,0.3176323262747862,0.4384097169094753,0.30808184,0.3083494,0.3835688,0.4217574,0.29835182,0.2798908,0.125859282287178,0.12101970919057914,0.12810907539803118,0.41457863682685536,0.30811118377237645,0.2773101992689832,0.12438819085624993
2,5.0,12.0,0.0,15.0,3.0,3.0,-1.0,1.3415,1.0450676011364792,0.0,0.0,1.5799,-1.0,0,0.0,0.5143603133159269,1.1340714674833257,5.0,4.784379493309956,-10,1.050870805928534,0.8000000000000002,-0.4000000000000001,1.2,11.6,4.2,3.2000000000000006,11.199999999999998,0.8234802536907745,0.0961,0.1945,0.2824,0.5143603133159269,0.2739218775305879,0.258,0.5518221912589114,0.8456443825178229,0,11,Angers,3.3,3.2,2.3,,,,3.4,3.1,2.3,56.0,31.0,-0.25,1.51,2.48,3.35,1.86,1.97,3.06,2.32,1.61,2.67,3.6,1.97,2.06,3.25,2.5,43.0,-1.0,0.3681,0.3406,0.3131,0.312305834891562,29/10/16,F1,0,0,1,H,0.3931321733050559,,,,1,0.75,7.0,9.0,0.395,0.0,13.0,5.0,0.0,0.0,D,1.0,0.97,1.3219,1.4381997744415351,3.0,2.0,1.9262,1.37,3,1.0,0.4856396866840731,1.5536226976251122,6.0,4.171882172857279,1,0.9188759127005277,1.25,0.75,0.5,11.75,4.0,2.75,9.5,0.7530297165399011,0.5357,0.4649,0.4045,0.4856396866840731,0.41377228757785006,0.9797,1.0276835519933383,1.0756671039866768,0.25,1,17,Guingamp,3.3,3.1,2.2,3.3,2.9,2.3,1.0686274509803921,10.127450980392156,3.627450980392157,1.4215686274509804,12.686274509803921,4.264705882352941,0.1288,0.2114,0.302,-1.0,0.37844611528822053,3.44,3.58,3.14,2.37,3.09,2.44,1,,,,,,,0.8712,0.7886,0.698,0.51,0.6215538847117794,3.4,3.13,2.38,3.2,3.0,2.4,11,0.20934806290079472,0.11241446500000002,0.16208113000000002,0.21718500499999993,17,0.7217,green,1.0700414,0.7912111,-0.2788303,0.028830289840698242,1.099203348886408,0.8999511128882072,-0.19925223599820074,-0.050747764001799256,0.95597905,0.745604,-0.21037507,-0.039624929428100586,-0.020514134529733868,0.24980859366860503,0.30357141826718903,0.4466199880642062,0.25132206,0.36438784,0.38429013,0.41485104,0.3032377,0.2819113,0.18431688554037268,0.22113070429476922,0.21093663044642996,0.41525371888618884,0.3237323215741908,0.2610139893419428,0.20502825017549137
3,5.0,9.0,0.0,8.0,4.0,1.0,0.43500000000000005,0.0,0.7065251095241027,-3.0,-4.0,2.0838,-1.0,1,0.75,0.5130208333333333,1.0314576871953924,4.0,5.661511453845282,1,1.0779081039066916,1.6000000000000003,-2.0,3.6,10.0,3.2000000000000006,6.400000000000001,12.800000000000002,1.5750205379406417,0.388,0.3578,0.326,0.5130208333333333,0.251661497563137,1.6788,1.511522458536108,1.3442449170722162,0,6,Montpellier,3.4,3.1,2.3,,,,3.4,3.1,2.3,56.0,31.0,-0.25,1.76,2.02,3.19,1.87,1.97,3.22,2.31,1.85,2.11,3.42,1.92,2.02,3.4,2.4,48.0,2.55,0.2292,0.2372,0.2453,0.27647319450598146,29/10/16,F1,1,2,2,D,-0.0021865230785956813,,,,0,-0.25,5.0,13.0,0.395,0.0,17.0,3.0,1.0,2.0,H,2.0,-0.5,0.405,0.7043385864455071,-0.75,-1.0,1.2716,-1.0,1,0.25,0.4869791666666667,1.6920691182986267,3.0,4.259315132995489,-10,0.705897037791526,0.6,-0.8000000000000002,1.3999999999999997,10.800000000000002,3.2000000000000006,4.2,11.199999999999998,1.1784397755416893,0.3829,0.405,0.4288,0.4869791666666667,0.4718653079308817,1.6666,1.6212764101951203,1.5759528203902404,0.25,0,13,Lorient,3.0,3.05,2.4,3.2,3.25,2.25,1.058252427184466,10.174757281553399,3.621359223300971,1.4174757281553398,12.689320388349515,4.271844660194175,0.6496,0.6059,0.5587,1.02,0.4656084656084655,3.31,3.9,3.55,2.08,3.37,2.34,0,,,,,,,0.3504,0.3941,0.4413,-1.0,0.5343915343915343,3.3,3.3,2.3,3.4,3.0,2.3,11,0.14299518909221326,0.14853941000000004,0.14602292,0.14504012500000002,17,-0.012199999999999989,yellow,1.4530253,0.5911394,-0.86188596,0.6118859648704529,1.1006584737307779,0.900163967443242,-0.20049450628753585,-0.049505493712464155,1.377575,0.87397057,-0.5036045,0.2536044716835022,0.2719949809471636,0.2683065378990826,0.2987632156338662,0.43293024646705125,0.10890934,0.16458437,0.7265063,0.5033902,0.30084744,0.19576241,0.12970849829270678,0.2698363187829309,0.14586229517901517,0.5542755774241875,0.2547316750197401,0.19099276245723354,0.17184982267396706
4,3.0,10.0,0.0,14.0,5.0,3.0,-1.0,0.2345,0.8631203027946407,-2.0,-2.0,1.6533,-1.0,0,0.0,0.47135416666666663,0.9900278355808989,4.0,4.634348174928411,-10,0.7906580953994747,0.6,-1.2,1.8,9.2,3.0,5.0,12.4,1.1216536007067468,0.2252,0.3095,0.4066,0.47135416666666663,0.23046779990811556,0.8603,1.0039371021172154,1.147574204234431,0,3,Caen,3.8,3.1,2.15,,,,4.0,3.1,2.1,55.0,30.0,-0.25,1.54,2.41,3.75,2.03,1.81,3.08,2.15,1.61,2.54,4.16,2.11,1.86,3.21,2.23,41.0,-1.0,0.2691,0.2909,0.2991,0.2986244358565522,29/10/16,F1,0,0,2,H,-0.5888270196830679,,,,2,1.75,4.0,17.0,0.395,0.0,11.0,3.0,0.0,2.0,H,3.0,0.81,0.793,0.27429328311157275,0.5,0.0,1.276,1.08,3,1.0,0.5286458333333333,1.711347728562549,1.0,3.6457327305139864,1,0.5822096017986438,0.4000000000000001,-1.3999999999999997,1.8,12.0,1.8,5.0,11.4,1.3598857282046937,0.5057,0.3997,0.2943,0.5286458333333333,0.47090776423533226,1.4365,1.1829112953897911,0.929322590779582,0.25,1,8,Nancy,3.4,3.0,2.2,3.8,3.0,2.1,1.0673076923076923,10.153846153846153,3.625,1.4230769230769231,12.730769230769232,4.259615384615385,0.4031,0.3738,0.3441,-1.0,0.389873417721519,4.16,4.25,3.28,2.08,3.14,2.15,2,,,,,,,0.5969,0.6262,0.6559,0.54,0.610126582278481,3.9,3.13,2.15,3.6,3.0,2.2,11,0.16652700037047094,0.14752376499999997,0.22804422500000004,0.331668025,17,0.5762000000000002,green,1.4063745,1.0245762,-0.38179827,0.13179826736450195,1.1002996853156368,0.9001254715322515,-0.2001742137833853,-0.04982578621661471,1.2496405,0.8963983,-0.35324216,0.10324215888977051,0.06173821334588592,0.2288694301043956,0.34350481780376846,0.4276257520918359,0.21504441,0.3206694,0.4642862,0.46151325,0.30487335,0.23361345,0.1899967478523737,0.16661667590780382,0.1722716001042075,0.4511417371036049,0.32301585923303106,0.22584242849863267,0.17612509202104717
5,9.0,15.0,0.0,13.0,6.0,4.0,0.0,0.7498,1.252789352282484,3.0,4.0,3.6969,-1.0,1,0.5,0.49868766404199477,1.2657511529893664,9.0,7.18396910350707,0,1.5335699096366024,2.6,1.0,1.6000000000000003,10.4,5.2,4.0,10.800000000000002,0.9516783392956115,0.5761,0.4845,0.3704,0.49868766404199477,0.3216334047861955,2.471,1.9066246203022845,1.3422492406045687,0,1,Monaco,2.8,3.0,2.75,,,,2.65,3.2,2.75,54.0,31.0,0.0,1.63,2.2,2.71,1.91,1.9,3.14,2.7,1.69,2.32,2.8,1.98,1.96,3.25,2.86,42.0,2.25,0.1923,0.2232,0.2592,0.3008509386307798,29/10/16,F1,1,1,1,D,-0.01375118389848251,,,,0,0.0,4.0,11.0,0.395,0.0,8.0,2.0,1.0,1.0,D,0.0,0.0,1.2259,1.2390381683840015,2.0,2.0,1.8964,-1.0,1,0.5,0.5013123359580053,1.4333979083798543,7.0,5.649543475427923,0,0.98719063334509,1.6000000000000003,1.0,0.6,13.800000000000002,3.4,2.7999999999999994,10.800000000000002,0.8279343638789742,0.2316,0.2922,0.3704,0.5013123359580053,0.37751565658302483,1.5416,1.441862816078599,1.3421256321571975,-0.0,0,19,St Etienne,2.65,3.1,2.65,2.7,3.1,2.7,1.0571428571428572,10.19047619047619,3.638095238095238,1.4285714285714286,12.714285714285714,4.247619047619048,0.7637,0.6502,0.5025,-1.0,0.42558746736292424,2.79,3.04,3.25,2.59,3.25,2.78,0,,,,,,,0.2363,0.3498,0.4975,0.6299999999999999,0.5744125326370757,2.75,3.2,2.75,2.7,3.1,2.7,11,0.12298305901983646,0.19276488499999997,0.16010899999999997,0.13719616,17,-0.9294,yellow,1.3556437,1.0655761,-0.29006767,0.2900676727294922,1.1000848506915912,0.901133818178373,-0.19895103251321822,0.19895103251321822,1.2401062,1.119414,-0.12069225,0.12069225311279297,0.20323698611850113,0.24632347294755774,0.3289042166944597,0.4247723103579827,0.20933166,0.3181438,0.47252458,0.4012061,0.31433606,0.28445786,0.12055338448590226,0.1335496006984216,0.12094129898136519,0.43283433321505616,0.3204613643247635,0.24670433226250277,0.1241042864310432
6,2.0,16.0,1.0,7.0,3.0,2.0,0.8600000000000001,0.6515,0.417357228425266,-3.0,-2.0,2.1855,1.7599999999999998,3,1.0,0.5130890052356021,1.3553459119496856,3.0,7.188086837070786,1,1.3241688985757936,1.0,-0.4000000000000001,1.3999999999999997,14.0,5.599999999999999,3.2000000000000006,11.800000000000002,0.8788793340288585,0.1007,0.1567,0.2235,0.5130890052356021,0.35534591194968557,0.5847000000000002,0.7703189777804824,0.9559379555609646,1,10,Lyon,2.6,3.25,2.8,,,,2.6,3.3,2.75,56.0,32.0,0.0,1.81,1.96,2.6,1.86,1.96,3.25,2.74,1.9,2.05,2.7,1.93,2.02,3.38,2.83,48.0,-1.0,0.1982,0.2274,0.2491,0.2893081761006289,29/10/16,F1,0,2,1,A,1.1189945752100987,,,,-1,-1.0,3.0,16.0,0.395,0.0,12.0,1.0,1.0,1.0,D,2.0,-1.0,1.6008,1.5363518036353647,-0.0,0.0,2.2208,-1.0,0,0.0,0.486910994764398,1.3553459119496856,7.0,4.556248108952895,-10,1.2888452637543932,2.75,2.0,0.75,13.0,4.75,2.25,7.5,0.6832413860716633,0.7011,0.6159,0.5273,0.486910994764398,0.35534591194968557,1.9643000000000002,1.7889597147560434,1.6136194295120865,-0.0,0,16,Toulouse,2.6,3.2,2.6,2.62,3.2,2.75,1.0566037735849056,10.216981132075471,3.660377358490566,1.4245283018867925,12.669811320754716,4.226415094339623,0.4687,0.4713,0.4739,0.96,0.48010610079575594,2.68,2.76,3.39,2.76,3.34,2.83,-1,,,,,,,0.5313,0.5287,0.5261,-1.0,0.519893899204244,2.63,3.3,2.75,2.7,3.1,2.7,11,0.2709248051896681,0.65014085,0.54524385,0.44042112499999997,17,1.3796,red,1.2096776,0.9615747,-0.2481029,0.24810290336608887,1.1002640452981196,0.9002031669346385,-0.20006087836348108,0.20006087836348108,0.9785327,0.9838667,0.0053340197,-0.005334019660949707,0.14760992068954007,0.3005866109712021,0.28625549840420283,0.41315789062459524,0.3585151,0.2140016,0.4274833,0.30789492,0.29258266,0.3995224,0.32993926566905696,0.29712241154493757,0.22768629923984962,0.3828453654669366,0.26427991843054627,0.3528747061684097,0.282670853459455
7,0.0,8.0,0.0,5.0,1.0,1.0,0.5149999999999999,0.8301,0.5491871444707145,-0.5,0.0,2.0707,-1.0,1,0.75,0.47135416666666663,1.108854589764419,3.0,5.462618763393096,1,1.1277199733419285,1.6000000000000003,-0.0,1.6000000000000003,10.4,3.6,4.8,12.6,1.0836502579478966,0.2382,0.2259,0.2135,0.47135416666666663,0.27213647441104794,0.9606999999999999,0.9076707729343376,0.8546415458686755,0,2,Bordeaux,3.8,3.2,2.1,,,,3.75,3.4,2.05,56.0,30.0,-0.25,1.75,2.04,3.63,2.03,1.81,3.32,2.08,1.84,2.16,4.05,2.14,1.87,3.5,2.2,47.0,2.35,0.2582,0.2598,0.2612,0.29244516653127534,30/10/16,F1,1,0,0,D,0.8662477930705031,,,,0,-0.25,3.0,13.0,0.395,0.0,10.0,3.0,0.0,0.0,D,1.0,-0.5,1.11,1.4154349375412176,1.5,0.0,1.959,-1.0,1,0.25,0.5286458333333333,1.5987002437043052,8.0,5.651972964505858,-10,0.977952629135071,1.0,0.8000000000000002,0.20000000000000004,13.199999999999998,4.6,2.6,10.800000000000002,0.7113144886783467,0.5035,0.5143,0.5253,0.5286458333333333,0.4354183590576766,1.5239000000000003,1.5146757479490776,1.5054514958981549,0.25,0,7,Marseille,3.45,3.15,2.1,3.6,3.25,2.1,1.0654205607476634,10.186915887850468,3.6542056074766354,1.4205607476635513,12.663551401869158,4.196261682242991,0.4522,0.4361,0.4198,-1.0,0.4617414248021108,3.8,3.6,3.35,2.25,3.42,2.13,0,,,,,,,0.5478,0.5639,0.5802,0.75,0.5382585751978891,3.6,3.4,2.15,3.75,3.3,2.05,11,0.13182370405467742,0.15514957,0.15776764999999998,0.16076116999999998,17,0.5632000000000004,yellow,1.1684164,0.97116566,-0.19725072,-0.05274927616119385,1.0996570710154203,0.9002516838600418,-0.19940538715537848,-0.05059461284462152,1.2679869,0.9358114,-0.3321755,0.08217549324035645,-0.007056131921819642,0.22775595468060625,0.3131984343279452,0.45904561099144864,0.23795384,0.34630203,0.41574407,0.40718347,0.30862972,0.2841869,0.13129782393149336,0.1147325938759991,0.12328026000691006,0.4273243818572265,0.32271006273392344,0.24996556534295764,0.1225444531102578
8,4.0,19.0,0.0,16.0,4.0,3.0,-1.0,1.0281,1.0670836298905853,-1.25,-1.0,1.3048,-1.0,0,0.0,0.5052356020942408,0.9360877985797289,6.0,5.622802029692103,-10,1.0998117725821404,1.0,-0.0,1.0,11.6,4.2,4.2,10.6,0.8684645070811814,0.0,0.1426,0.3343,0.5052356020942408,0.21304067140090382,0.0,0.6341978213808467,1.2683956427616934,0,14,Nantes,4.5,3.3,1.91,,,,4.5,3.4,1.87,54.0,28.0,-0.5,1.67,2.15,4.24,1.89,1.93,3.27,1.94,1.74,2.3,4.75,1.97,2.02,3.4,2.02,44.0,-1.0,0.1622,0.2434,0.2575,0.2969657843770174,30/10/16,F1,0,1,4,H,0.9309539210917315,,,,3,2.5,2.0,12.0,0.395,0.0,12.0,7.0,0.0,2.0,H,1.0,0.9299999999999999,1.3988,1.9980375509823167,1.75,2.0,2.4555,1.0,3,1.0,0.4947643979057591,1.7669464170432538,12.0,6.005893129536185,1,1.1690425433904705,2.1666666666666665,1.5,0.6666666666666666,11.833333333333334,4.833333333333333,4.333333333333333,13.166666666666666,1.0925851198446213,0.8378,0.614,0.4082,0.4947643979057591,0.48999354422207875,1.8223999999999998,1.6256506358462288,1.4289012716924576,0.5,1,9,Nice,4.5,3.3,1.8,4.2,3.2,1.95,1.0555555555555556,10.13888888888889,3.6296296296296298,1.4074074074074074,12.638888888888891,4.185185185185185,0.2754,0.3933,0.5057,1.15,0.43717277486910994,4.4,4.6,3.3,2.0,3.3,2.02,3,,,,,,,0.7246,0.6067,0.4943,-1.0,0.5628272251308901,4.4,3.3,1.95,4.5,3.2,1.91,11,0.1527464563030523,0.013154420000000002,0.08466538000000001,0.230991865,17,1.8223999999999998,green,1.13845,0.9812428,-0.15720725,-0.3427927494049072,1.1002063483566384,0.9000243169623683,-0.20018203139427015,-0.29981796860572985,1.1183194,0.78768355,-0.33063585,-0.16936415433883667,-0.2706582907831579,0.19649667181184557,0.281161474890612,0.5223418532975423,0.2540797,0.2704145,0.4755058,0.45063818,0.3070959,0.242266,0.13338412357217938,0.16982533026556057,0.18024560015019375,0.48282860912110764,0.28622395386533683,0.2309474568817704,0.16040148310336919
9,4.0,17.0,0.0,8.0,2.0,3.0,0.0,0.3373,0.894954681681194,-1.75,-2.0,1.8143,-1.0,0,0.5,0.5221932114882506,0.6930787512327615,3.0,3.3521250420908775,0,0.8569163275023155,0.8000000000000002,-0.0,0.8000000000000002,8.6,3.4,5.0,18.0,1.1193187531422824,0.1516,0.1443,0.1352,0.5221932114882506,0.14757570368454237,0.7832000000000001,0.6815910070691789,0.5799820141383575,0,5,Metz,6.0,4.0,1.57,,,,6.25,4.1,1.55,56.0,35.0,-1.0,1.89,1.87,5.98,1.83,2.0,3.83,1.59,1.98,1.95,6.81,1.91,2.08,4.1,1.65,48.0,-1.0,0.2197,0.2333,0.2497,0.2503516401791344,30/10/16,F1,0,0,1,H,0.378010652718463,,,,1,0.0,3.0,9.0,0.395,0.0,10.0,4.0,0.0,0.0,D,0.0,0.0,1.0311,1.272965334399657,1.25,1.0,1.804,0.6299999999999999,3,0.5,0.47780678851174935,2.056569608588104,7.0,5.4989714258803986,0,0.9793468241997653,1.8,1.2,0.6,11.0,3.7999999999999994,2.2,7.400000000000001,0.6415119718493589,0.6287,0.6224,0.6151,0.47780678851174935,0.6020726561363232,1.8617000000000001,1.7152876033051059,1.5688752066102118,1.0,1,15,Rennes,5.6,3.6,1.6,6.5,3.75,1.57,1.055045871559633,10.192660550458715,3.63302752293578,1.4311926605504588,12.633027522935782,4.2110091743119265,0.4928,0.4295,0.3635,-1.0,0.502659574468085,6.81,6.65,3.92,1.63,3.89,1.61,1,,,,,,,0.5072,0.5705,0.6365,0.8899999999999999,0.49734042553191493,5.75,3.6,1.62,6.0,3.8,1.57,11,0.09006237965619436,0.08042312499999998,0.08170212500000001,0.08321352500000001,17,1.0785,green,1.9139159,0.65230703,-1.2616088,0.2616088390350342,1.101918235904182,0.8997598927055827,-0.20215834319859927,-0.7978416568014007,1.7130919,0.57513,-1.1379619,0.13796186447143555,-0.13275698443164366,0.1506050060483741,0.27880285835416907,0.5705921355974569,0.12953442,0.29297128,0.57749426,0.63954544,0.26566812,0.09478641,0.1035364909287918,0.09764513590165835,0.0694559788341782,0.5958772799734239,0.2791474218373557,0.12497528080453235,0.08946699899958149
