,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,8,13,0,13,7,0,-0.5,0.5484,0.35726845366260124,-3.25,-3.0,0.5333,-1.0,0,0.25,0.5155440414507771,0.8817375329778523,2.0,5.598031338889967,-10,0.7482715707964603,0.4000000000000001,-0.20000000000000004,0.6,10.6,3.2000000000000006,5.0,14.0,0.835921567141657,0.0,0.1378,0.2663,0.5155440414507771,0.21193570822780908,0.0,0.4923821194672867,0.9847642389345734,0,15,Werder Bremen,4.75,3.75,1.75,,,,4.5,3.75,1.78,35,19.0,-0.75,2.0,1.81,4.59,1.87,1.99,3.78,1.77,2.12,1.91,5.05,1.92,2.03,4.0,1.85,31,-1.0,0.2843,0.2873,0.2713,0.24593040829442506,03/11/17,D1,0,1,2,H,1.123215937955647,,,,1,0.25,7,11,0.4516,0,16,5,1,1,D,0,0.495,0.8555,1.4804843916182482,-0.0,0.0,1.3548,0.81,3,0.75,0.4844559585492228,1.8723320587277226,8.0,5.403636840274672,1,1.092600518707494,1.25,-0.25,1.5,14.75,6.75,4.5,12.75,1.1964108381938856,0.7157,0.5749,0.4624,0.4844559585492228,0.5421338834777658,1.258,1.3241443460361808,1.3902886920723616,0.75,1,12,Ein Frankfurt,4.3,3.5,1.85,4.33,3.6,1.8,1.1,11.733333333333333,3.766666666666667,1.5222222222222221,14.388888888888891,5.033333333333333,0.1333,0.2738,0.4238,0.81,0.5249343832020998,5.02,4.63,3.99,1.81,3.91,1.77,1,,,,,,,0.8667,0.7262,0.5762,-1.0,0.4750656167979003,,,,4.6,3.8,1.75,4.4,3.6,1.8,11,0.1272790625405876,0.040413245,0.09984942500000002,0.17996472500000005,18,1.258,green,2.4481652,1.0518905,-1.3962747,0.6462746858596802,1.1032877922448272,1.0964002344260542,-0.006887557818773038,-0.743112442181227,1.5846548,0.966754,-0.6179008,-0.1320992112159729,-0.07631232251250657,0.27472620894676253,0.24905280874106592,0.47622098231217164,0.36989942,0.16014859,0.46995202,0.50571114,0.26321024,0.2310787,0.17490947462614326,0.20888821225301202,0.1488594048283023,0.48396137920982607,0.2241372121901423,0.2919014433694078,0.1757511452448538
1,3,15,0,11,3,2,-0.5,0.2216,1.1115450598299286,-0.5,1.0,2.3623,-1.0,1,0.25,0.5259067357512953,1.609068402065502,8.0,7.197189110105924,-10,1.2909445594986402,1.8,-0.20000000000000004,2.0,13.4,4.6,4.8,13.0,1.02336677858257,0.3209,0.3541,0.3898,0.5259067357512953,0.4494871613496499,1.625,1.6313592985316339,1.6377185970632677,0,13,Leverkusen,2.04,3.6,3.5,,,,2.05,3.6,3.5,35,19.0,0.25,2.29,1.61,2.1,1.83,2.03,3.66,3.32,2.4,1.63,2.2,1.88,2.07,3.88,3.5,30,2.76,0.2175,0.2257,0.233,0.26060691801655234,04/11/17,D1,1,1,1,D,-0.21370700722452418,,,,0,0.25,6,13,0.4516,0,14,4,0,0,D,3,0.5149999999999999,0.7373,0.8978380526054044,3.25,3.0,1.7456,-1.0,1,0.75,0.47409326424870474,1.1303246799179458,4.0,4.455146435810492,1,1.028634141141715,1.6000000000000003,0.4000000000000001,1.2,14.0,5.400000000000001,4.6,13.4,1.15444455949864,0.4616,0.4202,0.3772,0.47409326424870474,0.2899059206337979,1.9756,1.791762258368539,1.6079245167370781,-0.25,0,10,Augsburg,2.2,3.35,3.3,2.1,3.6,3.25,1.098901098901099,11.747252747252746,3.8021978021978016,1.5274725274725274,14.406593406593407,5.032967032967033,0.6974,0.6647,0.6295,-1.0,0.5871794871794872,2.15,2.18,3.76,3.38,3.88,3.37,0,,,,,,,0.3026,0.3353,0.3705,1.29,0.41282051282051285,,,,2.1,3.8,3.3,2.1,3.6,3.3,11,0.143042075518348,0.15802568499999997,0.150977425,0.14711194,18,0.3506,yellow,1.4871268,1.6650811,0.17795432,0.07204568386077881,1.0998870032328498,1.0996556747416402,-0.00023132849120965915,0.25023132849120966,1.1161532,1.3730125,0.2568593,-0.006859302520751953,0.10513923661041218,0.36317556197452633,0.29029468078206366,0.34652975724340995,0.28282404,0.3049878,0.41218817,0.37507564,0.3142902,0.31063414,0.12598968073534483,0.12494426335667441,0.11858765976487229,0.3779311892926744,0.30319088822864954,0.31887791254456865,0.1222575566422459
2,3,16,0,10,5,2,1.0299999999999998,0.9667,0.9990482126466358,0.5,2.0,2.5992,0.97,3,1.0,0.47545219638242897,1.7334624820732618,10.0,10.00952694115575,1,1.5522504184515873,1.6000000000000003,0.8000000000000002,0.8000000000000002,18.0,6.2,3.2000000000000006,7.599999999999999,0.5682764028424406,0.325,0.3504,0.3793,0.47545219638242897,0.4973751008634235,2.0324,1.7587303355014754,1.485060671002951,1,0,Bayern Munich,2.04,3.79,3.29,,,,2.05,3.8,3.4,35,18.0,0.5,2.7,1.45,2.04,2.03,1.84,3.8,3.36,2.86,1.5,2.2,2.1,1.88,4.0,3.5,27,-1.0,0.1959,0.2155,0.2451,0.24133717948299127,04/11/17,D1,0,3,1,A,-0.5059850729478634,,,,-2,-1.5,4,12,0.4516,0,15,4,2,0,A,2,-1.0,0.5668,0.4930631396987723,-3.0,-2.0,2.9794,-1.0,0,0.0,0.524547803617571,1.0252003384437467,4.0,8.112551269688757,-10,1.7073315363881403,3.75,2.75,1.0,18.25,8.25,4.25,7.0,0.871462823216419,0.4792,0.4341,0.3755,0.524547803617571,0.26128771965358516,2.4643,1.9703732138811705,1.476446427762341,-0.5,0,11,Dortmund,2.2,3.5,3.15,2.0,3.75,3.3,1.0978260869565217,11.73913043478261,3.793478260869565,1.5217391304347825,14.402173913043478,5.021739130434782,0.8261,0.7195,0.5681,0.44999999999999996,0.6506024096385543,2.1,1.97,4.06,3.75,3.99,3.4,-2,,,,,,,0.1739,0.2805,0.4319,-1.0,0.3493975903614458,,,,2.05,4.0,3.25,2.0,3.6,3.5,11,0.1604515308369121,0.342696325,0.30521148499999995,0.263072305,18,0.4319000000000002,red,1.1762764,1.7757696,0.59949315,-0.09949314594268799,1.101883489513067,1.0982346043487874,-0.003648885164279525,0.5036488851642795,1.2269738,1.3369104,0.109936595,0.39006340503692627,0.26473971475283925,0.4028665081840355,0.24322624662664258,0.3539072451893218,0.5787487,0.18375221,0.2374991,0.3039737,0.27492237,0.4211039,0.2409093726229106,0.11692924583904074,0.21376033964418273,0.2984600175719701,0.2339669421618075,0.46757303529916866,0.1862784247702072
3,1,12,0,8,3,1,1.0499999999999998,0.7945,1.2561936159296079,-0.75,0.0,1.5971,1.0,3,1.0,0.47028423772609823,1.7430757056185704,8.0,6.368445037893178,1,0.9363142620480126,1.0,-0.0,1.0,11.5,3.5,2.75,10.25,0.63746874433535,0.6004,0.5099,0.412,0.47028423772609823,0.4902400422052229,1.5971,1.3422514291345415,1.0874028582690831,1,5,Schalke 04,2.04,3.29,3.79,,,,2.05,3.5,3.6,35,19.0,0.5,1.81,2.0,2.06,2.05,1.82,3.39,3.69,1.91,2.08,2.2,2.09,1.87,3.6,3.95,31,-1.0,0.2479,0.2828,0.3128,0.27235557900290164,04/11/17,D1,0,1,0,A,-0.11785601523062161,,,,-1,-0.5,6,14,0.4516,0,13,2,0,0,D,1,-1.0,0.0,1.1383376006989863,-2.25,-3.0,1.0014,-1.0,0,0.0,0.5297157622739017,0.9845687153785282,4.0,3.5138960511748314,-10,0.8585511341566299,1.0,0.20000000000000004,0.8000000000000002,14.0,4.4,3.4,16.4,1.0385285516069998,0.1517,0.2073,0.2752,0.5297157622739017,0.2374043787918755,0.6585000000000001,0.7441383408324247,0.8297766816648492,-0.5,0,7,Freiburg,2.2,3.35,3.3,2.05,3.3,3.6,1.118279569892473,11.720430107526882,3.806451612903226,1.5161290322580647,14.408602150537634,5.010752688172043,0.3922,0.3467,0.3009,-1.0,0.4750656167979003,2.08,2.0,3.6,4.13,3.51,3.92,-1,,,,,,,0.6078,0.6533,0.6991,0.81,0.5249343832020998,,,,2.1,3.5,3.7,2.1,3.3,3.5,11,0.15810802682024463,0.09134652500000001,0.14158565,0.21073952000000007,18,-0.9385999999999999,red,1.2212203,1.8594587,0.63823843,-0.13823843002319336,1.1003429121820854,1.0996156930908083,-0.0007272190912770427,0.500727219091277,1.1433468,1.3333423,0.18999553,0.31000447273254395,0.22416442060020922,0.4610243879229031,0.23497903714486804,0.30399657493222865,0.42023245,0.13452215,0.44524541,0.42192078,0.27313894,0.30494025,0.19145431399220353,0.2671869573305502,0.3305625756557351,0.3903875887572405,0.21421337746881394,0.3953990288068918,0.2589723989085855
4,3,10,1,3,2,2,-1.0,0.5649,1.137491732824241,2.25,3.0,1.1434,-1.0,0,0.0,0.4547803617571059,1.375313168347082,6.0,5.274763610899216,-10,0.7388843734214998,0.4000000000000001,-1.6000000000000003,2.0,11.0,3.0,3.7999999999999994,11.199999999999998,0.9113472909204614,0.3313,0.355,0.3796,0.4547803617571059,0.36009776963030854,0.8917999999999999,0.9182480455645589,0.9446960911291178,0,14,Stuttgart,2.87,3.39,2.45,,,,3.0,3.4,2.35,35,19.0,0.0,1.79,2.02,2.93,2.11,1.76,3.27,2.47,1.85,2.1,3.05,2.18,1.8,3.4,2.6,31,-1.0,0.329,0.3333,0.3366,0.29501985945615644,04/11/17,D1,0,1,3,H,-0.8704141173077639,,,,2,2.0,11,14,0.4516,0,21,12,0,1,H,2,0.76,0.2516,0.26707761551647724,-0.5,-1.0,1.0203,1.8399999999999999,3,1.0,0.545219638242894,1.3296669721967613,1.0,3.74422992382267,1,0.5650193302632327,0.20000000000000004,-1.0,1.2,10.0,3.6,3.7999999999999994,15.6,1.1446011847361892,0.3397,0.3117,0.2838,0.545219638242894,0.344882370913535,0.907,0.839696626964818,0.7723932539296359,-0.0,1,1,Hamburg,2.95,3.3,2.4,2.9,3.2,2.45,1.1170212765957446,11.680851063829786,3.7978723404255326,1.5,14.393617021276595,4.9787234042553195,0.2691,0.2581,0.2473,1.02,0.46981627296587924,3.01,2.72,3.32,2.84,3.36,2.56,2,,,,,,,0.7309,0.7419,0.7527,-1.0,0.5301837270341206,,,,3.0,3.4,2.45,2.9,3.2,2.5,11,0.27942475581629694,0.27287789,0.299890945,0.3285192999999999,18,0.015200000000000102,green,0.70080715,1.3715122,0.670705,-0.6707050204277039,1.1002291798253718,1.0987315083451406,-0.0014976714802312774,0.0014976714802312774,1.169344,1.1243984,-0.044945598,0.044945597648620605,-0.20808725043295065,0.39302044681939613,0.27921846949325035,0.32776108368735346,0.59379625,0.22189973,0.184304,0.429946,0.2853188,0.28473514,0.3031851161116596,0.5089769870748243,0.2030178462651424,0.31400369599296263,0.26214566476896745,0.4238506144028012,0.325120146746918
5,9,14,0,20,7,0,0.77,0.2103,0.9770630735620018,0.0,0.0,1.4444,-1.0,1,1.0,0.5414507772020726,0.7189394795315031,5.0,5.117376897452377,1,0.7355325964436884,0.25,-1.75,2.0,9.5,3.75,6.25,16.25,1.215057447082727,0.2431,0.2126,0.1793,0.5414507772020726,0.16532971792264528,1.3823999999999999,1.1527548968263468,0.923109793652694,0,4,Mainz,5.5,4.0,1.61,,,,5.25,4.0,1.65,34,19.0,-1.0,2.18,1.68,5.24,1.77,2.09,3.99,1.64,2.28,1.74,5.66,1.82,2.17,4.2,1.67,29,3.3899999999999997,0.2083,0.2145,0.2212,0.22295032576356724,04/11/17,D1,1,1,1,D,0.5581407884402947,,,,0,-1.0,9,5,0.4516,0,10,3,1,0,A,1,-1.0,0.062,1.5352038620022965,2.25,2.0,1.9085,-1.0,1,0.0,0.45854922279792754,2.0581101947049296,9.0,5.862413600407251,-10,1.0253422943959243,1.2,-0.20000000000000004,1.3999999999999997,17.6,5.0,4.0,12.800000000000002,1.1247841157603515,0.5486,0.5728,0.5995,0.45854922279792754,0.6117199563137875,2.1498,2.019122999202688,1.8884459984053756,1.0,0,8,M'gladbach,5.3,3.8,1.65,5.0,4.0,1.61,1.1157894736842104,11.589473684210526,3.778947368421053,1.5157894736842106,14.463157894736844,5.052631578947368,0.6851,0.6142,0.5333,-1.0,0.5647668393782384,5.6,5.92,4.39,1.6,4.2,1.66,0,,,,,,,0.3149,0.3858,0.4667,1.1800000000000002,0.4352331606217616,,,,5.25,4.1,1.65,5.0,3.8,1.67,11,0.20076761029046178,0.180029785,0.18667056499999998,0.19577437,18,0.7674000000000001,yellow,1.7946588,1.0788138,-0.715845,-0.284155011177063,1.1046333158752395,1.0951135716656524,-0.009519744209587122,-0.9904802557904129,2.0074954,0.93380094,-1.0736945,0.07369446754455566,-0.4003135998076401,0.20226056995206373,0.24898644791512875,0.5487529821328073,0.2203347,0.1997196,0.57994574,0.6101235,0.22899364,0.16088277,0.17101958677849147,0.192442214537767,0.19906699684820073,0.5796074134486169,0.2258998933979842,0.1944926782522377,0.18688608070732904
6,3,16,0,12,4,4,0.0,0.8451,1.605066094004108,3.0,2.0,1.588,-1.0,0,0.5,0.46253229974160204,0.6290853543008715,6.0,3.738163819180797,0,0.9046511936214451,1.2,0.20000000000000004,1.0,10.6,3.0,6.0,18.4,1.0913349270864154,0.2268,0.1738,0.1307,0.46253229974160204,0.14121115953012503,0.9029,0.8382660759201974,0.7736321518403949,0,16,Hannover,7.5,4.5,1.44,,,,7.0,4.5,1.45,35,20.0,-1.0,2.34,1.58,6.62,2.08,1.79,4.46,1.48,2.5,1.64,7.5,2.12,1.84,4.79,1.53,31,-1.0,0.2613,0.2307,0.1994,0.20545187571049642,04/11/17,D1,0,1,2,H,0.15598245101164987,,,,1,0.0,2,11,0.4516,0,18,6,0,0,D,1,0.0,0.6851,1.7610485450157578,-0.5,-2.0,1.8942,0.5,3,0.5,0.537467700258398,2.165462769988632,9.0,5.1105916560179026,0,1.2440568836143449,2.25,1.25,1.0,17.75,5.5,2.5,9.25,0.7672569045864108,0.5119,0.5955,0.6699,0.537467700258398,0.6533369647593785,1.5007000000000001,1.7756833104882246,2.050666620976449,1.0,1,17,RB Leipzig,6.5,4.2,1.5,6.5,4.33,1.5,1.1145833333333333,11.677083333333334,3.8125,1.5104166666666667,14.416666666666666,5.03125,0.4312,0.4851,0.5363,0.5800000000000001,0.596938775510204,6.9,6.94,4.77,1.5,4.79,1.5,1,,,,,,,0.5688,0.5149,0.4637,-1.0,0.4030612244897959,,,,6.5,4.6,1.5,7.0,4.0,1.5,11,0.0700579257890414,0.144839925,0.09691334499999998,0.06302424999999998,18,0.5978000000000001,green,2.0192428,0.96610415,-1.0531386,0.0531386137008667,1.1058757220650037,1.0940902733615288,-0.011785448703474977,-0.988214551296525,2.3367543,0.6133196,-1.7234347,0.7234346866607666,-0.07054708364496391,0.14810322641833726,0.20151297922144443,0.6503837943602181,0.1413993,0.29400712,0.5645936,0.7450502,0.16479604,0.09015375,0.0720830284607398,0.10478623683320087,0.036563553332075505,0.6533425331290754,0.22010538040005534,0.12655208895439607,0.06809341496374827
7,6,14,0,22,8,0,0.81,0.3707,0.32081740409178194,-2.25,-2.0,1.9068,1.7400000000000002,3,1.0,0.5322997416020672,1.344255911820646,2.0,6.234075753034348,1,1.390597490142393,2.0,-0.0,2.0,13.25,5.25,5.25,16.25,1.1420686388577468,0.6175,0.5109,0.4201,0.5322997416020672,0.3578092941757896,1.8728,1.925628365622289,1.9784567312445778,1,3,Hoffenheim,2.45,3.39,2.87,,,,2.35,3.6,2.85,34,18.0,0.0,2.13,1.7,2.44,1.81,2.06,3.48,2.81,2.22,1.76,2.65,1.85,2.12,3.75,2.95,29,-1.0,0.2203,0.2226,0.2135,0.2708280292932772,05/11/17,D1,0,3,0,A,-0.06818639275140659,,,,-3,-3.0,7,17,0.4516,0,12,4,1,0,A,0,-1.0,0.034,0.25263101134037536,0.5,-1.0,0.756,-1.0,0,0.0,0.4677002583979328,1.3849160588860767,1.0,3.9583422268483015,-10,1.063713657323024,0.5,-1.0,1.5,17.75,7.0,5.0,14.0,1.2778300420897508,0.1622,0.2664,0.3664,0.4677002583979328,0.37136267653093313,0.8369,1.3389685530244089,1.8410371060488178,-0.0,0,9,FC Koln,2.65,3.3,2.65,2.4,3.5,2.75,1.1134020618556701,11.68041237113402,3.814432989690722,1.5154639175257731,14.45360824742268,5.041237113402062,0.5087,0.6334,0.7342,0.7,0.556135770234987,2.52,2.74,3.62,2.64,3.65,2.86,-3,,,,,,,0.4913,0.3666,0.2658,-1.0,0.44386422976501305,,,,2.45,3.6,2.8,2.5,3.3,2.8,11,0.275159570083608,0.086307545,0.15504498,0.23526648499999997,18,-1.0359,red,1.4039162,1.1724088,-0.23150742,0.23150742053985596,1.1013987758037282,1.0992694942292145,-0.0021292815745137528,0.0021292815745137528,1.2296945,1.3431089,0.11341441,-0.11341440677642822,0.0400740984459805,0.3972034285708905,0.26634572597075773,0.3364508454583517,0.5284722,0.13421096,0.3373169,0.44509766,0.28291592,0.27198645,0.23828143896816456,0.16806060685333934,0.3640578440172626,0.3729551336693244,0.22782420168892967,0.39922068947701456,0.2500156707619046
8,2,19,0,10,6,1,0.8500000000000001,0.6434,1.0409299335436766,0.5,1.0,1.2762,-1.0,1,1.0,0.5207253886010362,0.9668512811106998,5.0,4.803397268996112,1,0.6486179361179361,0.5,-0.75,1.25,7.75,3.0,5.25,13.5,0.9505536253422503,0.1877,0.2255,0.2658,0.5207253886010362,0.2286118544089663,0.5959,0.6757313395782145,0.7555626791564289,0,2,Hertha,4.0,3.39,2.0,,,,3.8,3.4,2.05,35,18.0,-0.5,1.63,2.25,3.94,1.85,2.01,3.29,2.02,1.7,2.35,4.3,1.9,2.06,3.4,2.15,31,2.49,0.3122,0.322,0.3288,0.281015717883801,05/11/17,D1,1,3,3,D,-0.17615033819520165,,,,0,-0.5,4,14,0.4516,0,20,8,1,2,H,1,-1.0,0.6803,0.8647795953484749,0.75,0.0,1.3654,-1.0,1,0.0,0.4792746113989638,1.752133001005499,4.0,4.62545603702426,-10,0.7083734996217674,0.8000000000000002,-0.6,1.3999999999999997,11.800000000000002,3.6,3.7999999999999994,11.0,1.0284534534534533,0.5001,0.4525,0.4054,0.4792746113989638,0.4903724277072327,1.1736,1.091810248621386,1.0100204972427722,0.5,0,6,Wolfsburg,3.5,3.3,2.15,3.9,3.2,2.0,1.1326530612244898,11.785714285714286,3.857142857142857,1.5,14.428571428571429,5.030612244897959,0.2612,0.2607,0.2602,1.25,0.42010309278350516,4.29,4.29,3.49,2.0,3.34,2.05,0,,,,,,,0.7388,0.7393,0.7398,-1.0,0.5798969072164949,,,,3.9,3.4,2.05,4.0,3.25,2.0,11,0.1463642489158958,0.14266564999999998,0.12780324999999998,0.1174994,18,0.5777,yellow,1.3579152,0.8448765,-0.51303864,0.01303863525390625,1.1005928200629875,1.0970168382554057,-0.003575981807581785,-0.4964240181924182,1.2637253,1.0155653,-0.24816,-0.2518399953842163,-0.2450751261075761,0.25136739634888006,0.315233728647579,0.433398875003541,0.21111459,0.29590848,0.49297693,0.45336407,0.28375006,0.2628859,0.12551007640077494,0.14379781267309477,0.13732398184277272,0.4599132943171543,0.29829742225022754,0.2417892933667257,0.1349911479362582
9,4,12,0,13,7,0,-1.0,0.5735,0.14064362857196105,-1.5,-2.0,2.9065,-1.0,0,0.0,0.4728682170542636,1.8608200597127988,1.0,7.11016922809514,-10,1.5184891274423988,2.0,0.8333333333333334,1.1666666666666667,16.833333333333332,5.666666666666667,3.8333333333333335,9.5,0.7225035389472102,0.677,0.5364,0.3506,0.4728682170542636,0.5415430047551273,2.4541,1.7631962104203491,1.0722924208406983,0,11,Dortmund,1.8,3.89,4.2,,,,1.8,3.9,4.2,35,19.0,0.75,2.37,1.57,1.81,2.04,1.83,3.92,4.18,2.55,1.63,1.87,2.09,1.87,4.35,4.45,31,-1.0,0.1783,0.235,0.2952,0.2361910454474169,17/11/17,D1,0,1,2,H,0.9309991565307123,,,,1,1.75,5,16,0.3992,0,9,4,1,1,D,2,0.8300000000000001,0.4524,1.0716427851026733,-2.0,-2.0,1.2282,3.41,3,1.0,0.5271317829457364,0.9029888948397844,6.0,5.598880600334695,1,0.986094204895648,1.3999999999999997,1.2,0.20000000000000004,16.0,4.6,2.4,10.6,0.6132420022023942,0.1447,0.2286,0.3542,0.5271317829457364,0.22226594979745584,1.0539,1.0666898127063948,1.0794796254127894,-0.75,1,14,Stuttgart,1.85,3.6,4.2,1.8,3.8,4.0,1.1515151515151516,11.767676767676768,3.878787878787879,1.515151515151515,14.484848484848484,5.0606060606060606,0.6806,0.5376,0.3643,0.5700000000000001,0.6015228426395939,1.85,1.81,4.15,4.41,4.05,4.3,1,,,,,,,0.3194,0.4624,0.6357,-1.0,0.398477157360406,,,,1.83,4.0,4.2,1.75,4.0,4.2,12,0.4490695394218327,0.594933545,0.44139145999999996,0.2699889999999999,18,-1.4002,green,1.6550771,2.7570586,1.1019815,-0.351981520652771,1.1008496059320032,1.0997285059212574,-0.0011211000107458347,0.7511211000107458,1.0911322,1.7210555,0.62992334,0.12007665634155273,0.1730720785665092,0.4655554382353913,0.2339116355196907,0.3005329262449179,0.6097571,0.27332363,0.11691924,0.26552653,0.25210592,0.4823676,0.35299802666902236,0.5758176932287233,0.3860648611816946,0.22765956707245225,0.2531137274509097,0.5192267228613261,0.43305305800741756
