,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,3,11,0,13,4,0,1.02,0.9478,0.8241485257697463,-1.5,-1.0,2.5958,-1.0,0,1.0,0.47532467532467537,0.40058661722466227,6.0,7.280241136627723,1,1.2390360610263524,1.6000000000000003,-0.20000000000000004,1.8,13.199999999999998,5.400000000000001,5.8,11.4,1.062331994091959,0.0653,0.0774,0.0908,0.47532467532467537,0.08037871764866797,0.6441000000000001,0.6975211688130617,0.7509423376261233,0,13,Leverkusen,10.0,6.0,1.29,,,,8.5,6.0,1.3,48,29.0,-1.5,2.51,1.5,10.16,2.02,1.83,5.62,1.3,2.65,1.57,12.0,2.08,1.89,6.1,1.37,37,-1.0,0.1368,0.147,0.1575,0.1594504642786584,26/11/16,D1,0,1,2,H,-0.07784352354884316,,,,1,-0.5,6,8,0.3851,0,13,8,1,1,D,0,-1.0,1.9517,0.7463050022209031,-1.25,-1.0,3.2469,0.29000000000000004,3,0.0,0.5246753246753246,2.439962918496679,7.0,9.379543188333113,-10,1.4827989851028087,2.6666666666666665,2.1666666666666665,0.5,19.666666666666668,6.5,2.3333333333333335,5.333333333333333,0.48485583995292736,0.7979,0.7756,0.7517,0.5246753246753246,0.7601708180726736,2.6842,2.594403718132031,2.504607436264062,1.5,1,0,Bayern Munich,8.5,6.0,1.3,10.0,5.5,1.3,1.25,11.33,4.2,1.59,13.589999999999998,4.68,0.6462,0.6389,0.6316,0.5,0.6259351620947631,10.9,12.2,6.15,1.29,5.85,1.32,1,,,,,,,0.3538,0.3611,0.3684,-1.0,0.374064837905237,,,,10.5,6.0,1.29,11.0,5.0,1.33,11,0.031989387377387456,0.022554249999999984,0.028173060000000014,0.034948764999999986,17,2.0401,green,3.5589314,0.74036026,-2.818571,1.3185710906982422,1.1060395771711378,1.0960106900349835,-0.010028887136154241,-1.4899711128638458,2.4343963,0.8720653,-1.562331,0.06233096122741699,-0.03635635364606219,0.08648753179654714,0.12695013201132435,0.7865623361921285,0.08510022,0.17045754,0.7444422,0.7429552,0.17364974,0.083395034,0.02651786474401038,0.03627591318414325,0.03651337968906987,0.7579865895064662,0.15701913905108975,0.08499426150833644,0.03289725851837176
1,5,13,0,12,5,3,-1.0,1.5449,1.094440326163666,1.25,1.0,3.3657,-1.0,0,0.0,0.43958868894601544,1.9788833886835013,8.0,7.3096721755879965,-10,1.466815481090523,2.6,0.8000000000000002,1.8,12.4,6.0,6.400000000000001,12.4,1.1338523297517766,0.4518,0.3918,0.3372,0.43958868894601544,0.5833072247634563,1.5774,1.536358585409951,1.4953171708199022,0,2,Dortmund,1.65,4.2,4.75,,,,1.7,4.0,4.75,48,30.0,1.0,2.2,1.66,1.68,2.18,1.71,4.02,4.86,2.3,1.74,1.74,2.29,1.75,4.2,5.2,44,-1.0,0.2482,0.2426,0.2331,0.22896171439313237,26/11/16,D1,0,1,2,H,0.9522352772148182,,,,1,2.0,4,18,0.3851,0,12,4,0,0,D,4,0.71,1.7883,2.046675603378484,1.0,1.0,2.3998,4.22,3,1.0,0.5604113110539846,0.792154896923366,10.0,4.8859721508835205,1,0.9477575346908951,1.8,0.6,1.2,12.0,4.2,3.2000000000000006,8.8,0.8171629434150427,0.3001,0.3656,0.4297,0.5604113110539846,0.18773106084341123,1.24,1.4765017390524777,1.7130034781049555,-1.0,1,3,Ein Frankfurt,1.65,4.0,5.0,1.7,4.0,4.5,1.2475247524752475,11.346534653465346,4.198019801980198,1.594059405940594,13.584158415841584,4.712871287128713,0.5347,0.5797,0.6218,0.6599999999999999,0.5699481865284974,1.71,1.68,4.28,5.22,4.15,5.11,1,,,,,,,0.4653,0.4203,0.3782,-1.0,0.43005181347150256,,,,1.7,4.2,4.75,1.67,4.2,5.0,11,0.5000140739899077,0.34694644999999996,0.27798530000000005,0.21947296500000005,17,-0.3373999999999999,green,1.2235008,1.8120596,0.5885588,0.41144120693206787,1.100604336502373,1.0997555108760035,-0.0008488256263694538,1.0008488256263695,1.0510879,1.5481712,0.4970833,0.502916693687439,0.6384022420819587,0.4057832965837351,0.24719514460642894,0.3470215588098358,0.42349887,0.23958322,0.33691785,0.16872656,0.20276436,0.62850904,0.29552046422275025,0.3095146417918664,0.5430195914864773,0.2842219898861511,0.22984757692045554,0.4859304033910709,0.37423327283303004
2,5,15,0,13,2,3,0.5800000000000001,1.4085,0.9993041550747079,0.0,0.0,1.8671,-1.0,1,1.0,0.605,0.8605478181234315,4.0,4.00278531785046,1,0.9675364250616176,1.2,0.20000000000000004,1.0,11.199999999999998,4.0,5.400000000000001,13.4,0.9570938131671337,0.0032,0.0943,0.2029,0.605,0.19356795394807266,0.018799999999999928,0.4644046524215626,0.9100093048431253,0,1,Augsburg,5.25,3.5,1.75,,,,5.0,3.6,1.75,48,29.0,-1.0,1.68,2.17,5.01,1.58,2.42,3.52,1.77,1.74,2.25,5.4,1.62,2.56,3.7,1.82,44,2.5,0.1745,0.2223,0.2421,0.27984395627921355,26/11/16,D1,1,0,0,D,0.05958908987209388,,,,0,-1.0,3,13,0.3851,0,18,5,0,0,D,2,-1.0,1.8483,1.0588932449468018,1.25,1.0,2.786,-1.0,1,0.0,0.395,1.8596082255973547,6.0,5.666293584016051,-10,1.0983011144012198,2.2,1.8,0.4000000000000001,14.6,4.4,3.2000000000000006,11.800000000000002,0.7553964853228451,0.8222,0.6834,0.5549,0.395,0.5265880897727138,1.7626,1.721211195386471,1.6798223907729422,1.0,0,4,FC Koln,4.8,3.6,1.75,5.0,3.4,1.75,1.2450980392156863,11.352941176470589,4.205882352941177,1.5980392156862748,13.568627450980392,4.705882352941177,0.2644,0.3734,0.479,-1.0,0.4363636363636364,5.4,5.06,3.5,1.86,3.63,1.79,0,,,,,,,0.7356,0.6266,0.521,0.6799999999999999,0.5636363636363637,,,,5.0,3.6,1.8,5.0,3.5,1.8,11,0.15738178454305943,0.338011865,0.23796402500000002,0.174561505,17,1.7438,yellow,1.7443035,0.9724462,-0.77185726,-0.22814273834228516,1.1028682217419286,1.0963094114193912,-0.006558810322537356,-0.9934411896774626,1.5954907,0.85959077,-0.7358999,-0.2641000747680664,-0.4952280009292714,0.2195046503737481,0.3002316856618868,0.48026366396436515,0.21326412,0.34920168,0.4375342,0.5400729,0.2671424,0.1927847,0.13941773923008902,0.1184588836191125,0.1644223480086464,0.4859569316562329,0.3055252500453309,0.20851782326548998,0.1398169099863401
3,3,12,0,12,4,3,0.405,0.0,0.0,-1.0,-1.0,2.2942,-1.0,1,0.75,0.5322997416020672,1.2285700608680603,0.0,4.434472506409222,1,0.8741423303455245,1.0,-2.6,3.6,8.4,4.4,7.0,19.4,1.6606544995083237,0.2936,0.3627,0.4451,0.5322997416020672,0.3194634184062363,1.6601,1.6472017667141938,1.6343035334283877,0,17,Werder Bremen,3.0,3.4,2.38,,,,2.95,3.5,2.35,48,26.0,-0.25,2.11,1.72,2.97,1.81,2.06,3.41,2.38,2.2,1.79,3.15,1.86,2.12,3.56,2.5,44,2.63,0.2069,0.2265,0.2419,0.27017980564935135,26/11/16,D1,1,2,2,D,0.28467851928110727,,,,0,-0.25,5,17,0.3851,0,17,7,2,2,D,2,-0.5,0.6341,0.28467851928110727,1.0,0.0,1.8086,-1.0,1,0.25,0.4677002583979328,1.5012501334825883,1.0,3.5127343029789504,-10,0.5075229703836627,0.6,-2.2,2.7999999999999994,9.2,2.0,5.8,13.0,1.516296288593853,0.4995,0.4109,0.313,0.4677002583979328,0.4103567759444123,2.1936999999999998,1.763741794235669,1.3337835884713383,0.25,0,5,Hamburg,3.15,3.3,2.3,2.9,3.4,2.38,1.233009708737864,11.36893203883495,4.184466019417476,1.5825242718446602,13.611650485436892,4.70873786407767,0.7397,0.6624,0.5696,0.72,0.5509138381201044,3.02,3.07,3.63,2.39,3.54,2.46,0,,,,,,,0.2603,0.3376,0.4304,-1.0,0.44908616187989553,,,,2.9,3.5,2.45,3.1,3.3,2.4,11,0.1352247796316453,0.167850605,0.15015878499999996,0.14804150500000002,17,0.5335999999999999,yellow,1.7984453,0.5712644,-1.227181,0.9771809577941895,1.1012228979247196,1.0988374413358155,-0.0023854565889041,-0.2476145434110959,1.1962316,1.231511,0.035279393,-0.28527939319610596,0.14809567372899587,0.3469124555842222,0.28496989617820845,0.3681176482375693,0.29329717,0.40008074,0.30662212,0.37715217,0.2962165,0.3266313,0.1279294273917169,0.09002016824034431,0.12446589673194897,0.350630646902198,0.3270890415048476,0.32228031159295445,0.11340322489375285
4,5,19,0,11,3,1,0.0,1.5112,0.4986007795781384,-1.0,-1.0,1.7921,-1.0,1,0.5,0.5338541666666666,1.4504882240731294,3.0,6.016837764550374,0,1.1410867987932942,1.3999999999999997,0.4000000000000001,1.0,13.0,4.8,3.6,14.0,0.8277196239192837,0.3701,0.5076,0.6035,0.5338541666666666,0.38595198972557454,0.9424,1.57442948889148,2.20645897778296,0,15,Wolfsburg,2.5,3.3,2.9,,,,2.55,3.3,2.8,48,27.0,0.0,1.67,2.19,2.55,1.79,2.05,3.18,2.91,1.74,2.31,2.65,1.85,2.11,3.31,3.15,44,2.35,0.3333,0.2528,0.201,0.29263225489640576,26/11/16,D1,1,1,1,D,0.3483951932460032,,,,0,0.0,4,12,0.3851,0,20,5,0,1,H,2,0.0,0.8497,0.8469959728241416,0.75,1.0,1.9352,-1.0,1,0.5,0.46614583333333337,1.2568795210304644,4.0,4.722572631204828,0,0.901683253407587,0.8000000000000002,-1.3999999999999997,2.2,13.800000000000002,5.0,7.0,14.800000000000002,1.5589091475218182,0.2966,0.2396,0.1956,0.46614583333333337,0.32141575537801953,0.8090999999999999,0.996599290200958,1.1840985804019162,-0.0,0,12,Ingolstadt,2.3,3.3,3.15,2.5,3.1,2.88,1.2403846153846154,11.375,4.1826923076923075,1.5865384615384615,13.644230769230768,4.730769230769231,0.2564,0.4743,0.6584,-1.0,0.43264248704663216,2.63,2.54,3.35,3.05,3.31,2.97,0,,,,,,,0.7436,0.5257,0.3416,0.6699999999999999,0.5673575129533679,,,,2.55,3.3,2.9,2.62,3.2,2.9,11,0.1261335130891765,0.11247278500000002,0.15753295999999997,0.20117545999999997,17,-0.13330000000000009,yellow,1.2730603,1.3804839,0.107423544,-0.10742354393005371,1.1003074168854028,1.1004330413782046,0.00012562449280184573,-0.00012562449280184573,1.034926,1.3528227,0.3178966,-0.31789660453796387,-0.14181525765360647,0.38211684234379406,0.29222629402692063,0.32565686362928525,0.3336225,0.35495538,0.31142217,0.33823457,0.28780347,0.37396193,0.12603283701582743,0.1041438551765328,0.12712508539932532,0.32510453548016277,0.3116617134366266,0.3632337510832107,0.11881585845787612
5,6,17,0,15,4,2,0.56,1.4548,1.6568248180006377,-1.0,0.0,2.8252,-1.0,1,0.75,0.45219638242894056,0.9416041957910735,8.0,4.828512895922181,1,1.4602956828399107,2.2,0.8000000000000002,1.3999999999999997,15.0,5.8,4.0,13.800000000000002,0.9158929269918599,0.5296,0.4099,0.3001,0.45219638242894056,0.22993347907264758,1.6550000000000002,1.4463868290377284,1.2377736580754566,0,8,Hoffenheim,3.75,3.6,2.0,,,,3.7,3.6,2.0,48,26.0,-0.25,2.28,1.61,3.62,2.12,1.75,3.61,2.02,2.38,1.66,3.81,2.22,1.8,3.84,2.2,40,2.89,0.245,0.2558,0.2485,0.25180375857313075,26/11/16,D1,1,1,1,D,-1.4634925987411869,,,,0,-0.25,2,8,0.3851,0,16,8,0,1,H,0,-0.5,1.1702,0.193332219259451,-1.25,-1.0,2.0579,-1.0,1,0.25,0.5478036175710594,1.8065920456357958,1.0,5.172443599056836,-10,1.0869856679111989,1.5,0.8333333333333334,0.6666666666666666,14.166666666666666,5.833333333333333,3.0,8.5,0.6846149543820259,0.2255,0.3342,0.4514,0.5478036175710594,0.5182627623542216,0.9882,1.2810684405090984,1.5739368810181968,0.25,0,6,M'gladbach,3.3,3.35,2.2,3.6,3.6,1.95,1.2380952380952381,11.371428571428572,4.171428571428572,1.5809523809523809,13.704761904761904,4.733333333333333,0.4924,0.5131,0.5333,-1.0,0.5861182519280206,3.81,4.26,3.89,1.89,3.76,2.03,0,,,,,,,0.5076,0.4869,0.4667,1.2799999999999998,0.4138817480719795,,,,3.5,3.75,2.05,3.6,3.6,2.05,11,0.16073284782074004,0.16561025,0.13989481999999998,0.14691098500000002,17,-0.6668000000000003,yellow,2.342636,1.3397402,-1.002896,0.7528959512710571,1.1018189948650439,1.0987632787857455,-0.0030557160792983318,-0.24694428392070167,1.6328342,1.0192525,-0.61358166,0.36358165740966797,0.2898444415866745,0.29432221501095723,0.27035949222587885,0.43531829276316386,0.30329317,0.25594106,0.4407658,0.4321801,0.2919336,0.27588627,0.1380637911315959,0.14313060838791225,0.13144644678614448,0.4360880658316381,0.2727447171752431,0.29116721699311876,0.13747557470614855
6,3,23,1,9,4,0,-1.0,0.8308,1.2265737704992417,1.75,2.0,2.8792,-1.0,0,0.0,0.5156249999999999,0.9429231065221574,6.0,4.891674797152945,-10,0.9669050793275846,1.1666666666666667,-0.5,1.6666666666666667,10.833333333333334,4.166666666666667,5.5,14.5,1.0935258705819961,0.1708,0.1657,0.1587,0.5156249999999999,0.22259988456358623,1.1026,0.9593617114771686,0.8161234229543373,0,16,Mainz,3.8,3.5,2.0,,,,3.8,3.5,2.0,48,25.0,-0.5,1.76,2.04,3.91,1.86,1.98,3.39,2.0,1.82,2.11,4.25,1.93,2.03,3.5,2.06,44,-1.0,0.1928,0.205,0.2207,0.2751234528313987,27/11/16,D1,0,1,2,H,0.19253840707965764,,,,1,0.5,5,12,0.3851,1,16,5,1,1,D,1,0.98,1.7766,1.4191121775788993,-0.0,0.0,2.7297,0.95,3,1.0,0.484375,1.7819534406464443,7.0,4.932661498221001,1,1.0814290394407673,2.2,1.8,0.4000000000000001,12.4,5.0,2.6,11.199999999999998,0.6829777733456194,0.6364,0.6293,0.6206,0.484375,0.5022766626050151,2.284,2.0735532807317383,1.8631065614634768,0.5,1,7,Hertha,3.8,3.4,2.0,4.0,3.3,1.95,1.2358490566037736,11.405660377358492,4.169811320754717,1.5754716981132075,13.726415094339623,4.764150943396227,0.6577,0.5841,0.5013,1.04,0.4631578947368421,4.18,4.4,3.56,1.95,3.5,2.02,1,,,,,,,0.3423,0.4159,0.4987,-1.0,0.536842105263158,,,,3.9,3.5,2.0,4.0,3.4,2.0,11,0.14863961459766192,0.08068880000000003,0.08243749000000003,0.08456502499999997,17,1.1813999999999998,green,1.4574142,0.8603312,-0.597083,0.09708297252655029,1.1031361423180013,1.0961222416021135,-0.007013900715887811,-0.4929860992841122,1.7337046,0.8078819,-0.9258227,0.4258226752281189,0.009973182823519,0.18482727660527268,0.26467791008867436,0.550494813306053,0.14516677,0.2494782,0.605355,0.6299507,0.2327582,0.13729113,0.11810801752104105,0.08840902390922001,0.07789266496874214,0.5952668466114069,0.2489714367784315,0.15576172654426904,0.09403531890660934
7,6,13,0,9,2,2,-1.0,0.8111,0.8651162275674641,-0.75,-1.0,1.9679,-1.0,0,0.0,0.5286458333333333,0.47735778746293794,3.0,3.467742141926302,-10,0.5764750461383368,0.6,-2.2,2.7999999999999994,7.8,2.2,7.400000000000001,17.4,1.500027253315817,0.0406,0.0542,0.0613,0.5286458333333333,0.09465173927836552,0.2795000000000001,0.4877237930509766,0.6959475861019531,0,10,Darmstadt,10.0,5.0,1.33,,,,8.5,5.0,1.36,48,28.0,-1.5,2.05,1.76,9.56,1.81,2.03,4.9,1.35,2.12,1.85,10.52,1.87,2.09,5.35,1.4,44,-1.0,0.1622,0.1393,0.1277,0.19340256962784136,27/11/16,D1,0,1,3,H,0.8359081405483325,,,,2,0.5,5,8,0.3851,0,20,7,1,1,D,0,1.0299999999999998,1.6884,1.7010243681157966,1.0,1.0,2.4817,0.3799999999999999,3,1.0,0.47135416666666663,2.3292396429092204,10.0,5.878810549361427,1,1.224619761496367,2.2,1.0,1.2,15.4,5.8,4.0,11.4,0.9786014762259543,0.7972,0.8065,0.811,0.47135416666666663,0.711945691093793,2.0557,2.4785357472230354,2.901371494446071,1.5,1,9,Schalke 04,8.0,5.3,1.35,10.0,4.75,1.35,1.233644859813084,11.383177570093459,4.168224299065421,1.5794392523364487,13.74766355140187,4.766355140186916,0.4133,0.5692,0.6968,0.76,0.5380577427821522,10.52,10.38,5.08,1.38,5.07,1.37,2,,,,,,,0.5867,0.4308,0.3032,-1.0,0.46194225721784776,,,,10.0,5.25,1.33,10.0,4.8,1.36,11,0.04596711831392611,0.021388099999999993,0.020189945,0.019739344999999988,17,1.7761999999999998,green,2.3632884,0.853878,-1.5094104,0.009410381317138672,1.1049738822518396,1.0957275263809094,-0.009246355870930145,-1.4907536441290699,2.1925967,0.76724017,-1.4253565,-0.07464349269866943,-0.5186622518368669,0.08555721592081073,0.13799080279632464,0.7764519812828645,0.13967265,0.10822682,0.7521005,0.6921688,0.20786598,0.09996525,0.0286468769342385,0.040481299128373505,0.0523765574552173,0.7402404269300019,0.15136120229020403,0.10839837326332093,0.03961262129461069
8,5,13,0,15,6,2,0.77,1.9517,0.7585158983516278,-0.5,1.0,3.2469,0.26,3,1.0,0.5414507772020726,2.4764702126301,7.0,9.228547503370834,1,1.3428230761806719,1.6000000000000003,0.8000000000000002,0.8000000000000002,16.6,5.2,2.7999999999999994,9.4,0.6002557470684391,0.6143,0.6213,0.6285,0.5414507772020726,0.7764510567652129,2.4161,2.382627748330888,2.3491554966617763,1,0,Bayern Munich,1.29,5.75,10.0,,,,1.28,6.25,11.0,45,28.0,1.5,2.55,1.5,1.28,1.77,2.09,5.89,10.65,2.73,1.55,1.33,1.83,2.17,6.5,12.14,34,-1.0,0.1903,0.1907,0.191,0.14711704233446138,02/12/16,D1,0,3,1,A,0.46347198351163543,,,,-2,-0.5,1,12,0.3851,0,9,3,2,1,A,3,-1.0,0.8308,1.2219878818632632,-0.5,-1.0,2.8792,-1.0,0,0.0,0.45854922279792754,0.3764127450354383,6.0,4.910032324421513,-10,1.246375151634018,2.7999999999999994,0.8000000000000002,2.0,12.4,6.0,5.599999999999999,15.4,1.4205779960291929,0.1955,0.188,0.1804,0.45854922279792754,0.07643190090032564,1.3126,1.2520441750773985,1.1914883501547968,-1.5,0,16,Mainz,1.33,5.5,8.3,1.29,5.75,10.0,1.2314814814814814,11.361111111111109,4.148148148148148,1.5925925925925926,13.805555555555555,4.787037037037037,0.7194,0.7033,0.6866,0.5,0.6296296296296295,1.28,1.26,6.65,12.8,6.34,12.14,-2,,,,,,,0.2806,0.2967,0.3134,-1.0,0.3703703703703704,,,,1.29,6.0,11.5,1.3,6.0,9.5,11,0.027907982748313617,0.09353094500000002,0.08937884500000001,0.08524106000000001,17,-1.1035000000000001,red,1.3827012,3.8802636,2.4975624,-0.9975624084472656,1.1005318545558176,1.1003409233803016,-0.0001909311755159404,1.500190931175516,1.0468004,1.8223796,0.7755792,0.7244207859039307,0.409016436210727,0.6789344746851032,0.17472054280966348,0.1463449825052335,0.88775676,0.045279562,0.06696366,0.13474445,0.16393532,0.70132023,0.06224996272509392,0.008541335970307928,0.05368283568016985,0.11601769689731845,0.12797847462405704,0.7560038235115708,0.03649711885522327
9,3,10,0,3,1,1,-1.0,1.1702,0.29892376835682793,-0.25,0.0,2.0579,-1.0,0,0.0,0.464935064935065,0.6269219701506467,2.0,6.690669032422281,-10,0.4659988007205691,0.4000000000000001,-2.2,2.6,6.8,1.8,6.2,14.0,1.2783933414851045,0.0531,0.0456,0.0385,0.464935064935065,0.1425349396091119,0.5130000000000001,0.45705510946527317,0.40111021893054627,0,6,M'gladbach,6.5,4.5,1.5,,,,6.75,4.4,1.48,45,29.0,-1.0,2.56,1.5,6.39,2.06,1.79,4.48,1.5,2.75,1.55,7.0,2.11,1.85,4.85,1.55,33,-1.0,0.1335,0.1277,0.1217,0.19931715132331093,03/12/16,D1,0,1,4,H,0.6639651708033731,,,,3,2.0,9,10,0.3851,0,15,7,1,2,H,1,0.79,1.5449,0.962888939160201,-2.0,-1.0,3.3657,0.49,3,1.0,0.5350649350649351,2.1737608785260423,7.0,7.269789604297627,1,1.2842011820068178,2.1666666666666665,1.6666666666666667,0.5,16.333333333333332,6.333333333333333,2.8333333333333335,10.166666666666666,0.6898688207273375,0.8134,0.8267,0.8398,0.5350649350649351,0.6581479090675771,2.5806,2.593128273190061,2.605656546380122,1.0,1,2,Dortmund,6.0,4.5,1.5,6.0,4.33,1.5,1.2477064220183487,11.394495412844037,4.165137614678899,1.5871559633027523,13.761467889908255,4.770642201834862,0.5974,0.588,0.5783,0.5,0.6305418719211823,6.43,6.88,4.92,1.49,4.7,1.53,3,,,,,,,0.4026,0.412,0.4217,-1.0,0.3694581280788178,,,,6.25,4.6,1.53,6.5,4.5,1.5,11,0.06858953054212134,0.018819584999999996,0.016056125,0.013573145000000002,17,2.0675999999999997,green,2.0070376,0.6101699,-1.3968678,0.3968677520751953,1.1049478724881663,1.0959623781513244,-0.008985494336841926,-0.9910145056631581,2.083938,0.79664564,-1.2872922,0.2872922420501709,-0.10228483717926395,0.19485897394079513,0.20124567133566032,0.6038953547235446,0.3299636,0.30189666,0.36813974,0.7324807,0.18699318,0.08052606,0.09743445486742301,0.2540616785848937,0.03902551413485078,0.5681719344376231,0.23004517152037982,0.20178287665730896,0.11359590726765412
