,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,5.0,13.0,0.0,10.0,2.0,4.0,0.81,1.4025,1.3689196784863296,0.0,-1.0,1.7829,-1.0,0,1.0,0.5322997416020672,0.4451693424859591,6.0,4.383018298512916,1,0.6541880326444425,0.8000000000000002,0.20000000000000004,0.6,8.4,2.7999999999999994,4.2,15.0,0.8176642202133594,0.0,0.1052,0.1952,0.5322997416020672,0.09054291711578828,0.0,0.39734200219350246,0.7946840043870049,0,3,Bologna,10.0,5.75,1.28,,,,11.5,6.25,1.25,36.0,18.0,-1.75,2.57,1.48,10.85,1.81,2.06,5.82,1.27,2.9,1.53,13.0,1.85,2.13,6.43,1.3,28.0,-1.0,0.2885,0.2747,0.259,0.1735405911385942,28/10/17,I1,0,0,1,H,-0.05649616501710608,,,,1,-0.75,7.0,10.0,0.2569,0.0,15.0,3.0,0.0,1.0,H,1.0,-1.0,1.8187,1.3124235134692235,-1.0,1.0,2.3888,0.33000000000000007,3,0.0,0.4677002583979328,2.3812900663754464,9.0,6.857542483530833,-10,1.1801076233452052,1.6000000000000003,0.6,1.0,19.2,5.400000000000001,4.4,11.0,0.913356314086754,0.7115,0.6201,0.5458,0.4677002583979328,0.7359164917456175,1.2431999999999999,1.3838961058922146,1.524592211784429,1.75,1,12,Roma,11.0,6.0,1.25,11.0,5.5,1.28,1.33,12.44,4.19,1.58,14.11,4.86,0.13,0.2644,0.4091,-1.0,0.634567901234568,12.41,10.81,5.64,1.33,6.43,1.27,1,,,,,,,0.87,0.7356,0.5909,1.5699999999999998,0.36543209876543215,,,,13.0,6.0,1.25,11.0,6.0,1.25,11,0.03896905958588952,0.041616125,0.077695525,0.12220034000000002,18,1.2431999999999999,green,2.502323,0.7243776,-1.7779453,0.027945280075073242,1.1063230540770437,0.9019550262543943,-0.2043680278226494,-1.5456319721773506,2.0858362,0.8285185,-1.2573177,-0.4926823377609253,-0.6701230099544008,0.10607672993037542,0.294566485599282,0.5993567844703427,0.07062033,0.25369975,0.6756799,0.72990453,0.19882073,0.071274795,0.08588362939133261,0.05508537183995843,0.03901582525832492,0.6683137463355936,0.24902898679693627,0.08265728425215828,0.05842399731796456
1,6.0,10.0,0.0,12.0,9.0,1.0,1.27,1.2131,1.673112722966694,-0.0,1.0,3.4728,0.32000000000000006,3,1.0,0.42091836734693877,2.389139198482333,12.0,7.172260323693013,1,1.2562072085309364,2.4,1.3999999999999997,1.0,13.4,4.4,4.0,10.4,0.7448481913429434,0.9116,0.8502,0.7431,0.42091836734693877,0.7424709509129712,3.4728,2.977876069960804,2.482952139921608,1,6,Lazio,1.28,5.5,11.0,,,,1.26,5.75,12.0,35.0,17.0,2.0,2.63,1.46,1.26,2.27,1.65,5.76,11.64,2.9,1.51,1.31,2.36,1.71,7.0,15.0,27.0,-1.0,0.0773,0.1103,0.1608,0.16172634574341946,29/10/17,I1,0,5,1,A,-1.673112722966694,,,,-4,-2.0,2.0,12.0,0.2569,0.0,19.0,6.0,3.0,0.0,A,1.0,-1.0,0.0,0.0,-0.0,-1.0,1.225,-1.0,0,0.0,0.5790816326530612,0.44913445577424704,0.0,2.826602523264639,-10,0.6611914350488054,0.20000000000000004,-2.0,2.2,13.199999999999998,3.6,6.2,17.4,1.5009865478314661,0.0111,0.0395,0.0961,0.5790816326530612,0.09580270334360919,0.26880000000000004,0.5220508508904956,0.7753017017809912,-2.0,0,10,Benevento,1.2,7.0,12.0,1.25,5.75,12.0,1.316831683168317,12.415841584158416,4.1683168316831685,1.574257425742574,14.118811881188117,4.841584158415841,0.7215,0.6791,0.6321,0.45999999999999996,0.6430317848410758,1.28,1.32,6.06,10.23,6.14,13.66,-4,,,,,,,0.2785,0.3209,0.3679,-1.0,0.35696821515892424,,,,1.25,6.0,15.0,1.25,6.0,11.0,11,0.037749684545806406,0.003968884999999999,0.012000144999999999,0.03761641,18,-3.2039999999999997,red,0.89010686,2.670089,1.7799821,0.2200179100036621,1.101234092023822,0.9073314169306865,-0.1939026750931354,2.1939026750931356,0.8975768,1.7272915,0.82971466,1.1702853441238403,1.1947353097402127,0.6676023408499041,0.25265709098504724,0.07974056816504856,0.6796228,0.23580289,0.0845743,0.07412731,0.23203814,0.69383454,0.058423381009874,0.05489717649813941,0.04961607015064212,0.07948072475329525,0.24016604005074083,0.6803532376794909,0.05424561992849792
2,5.0,17.0,0.0,17.0,3.0,3.0,-1.0,1.3497,1.1952501846647245,2.5,3.0,2.5376,-1.0,0,0.0,0.4384615384615385,2.009241271992571,9.0,7.529804316679154,-10,1.2429977621131019,1.8,0.6,1.2,16.0,4.8,4.0,12.800000000000002,0.839164438502674,0.8346,0.7201,0.5927,0.4384615384615385,0.5904475064628668,2.2965999999999998,2.0703548631377826,1.8441097262755657,0,14,Fiorentina,1.64,3.75,5.5,,,,1.65,3.8,5.5,35.0,18.0,1.0,2.01,1.79,1.66,2.19,1.71,3.82,5.26,2.11,1.88,1.7,2.29,1.75,4.2,5.75,30.0,-1.0,0.1344,0.1865,0.2253,0.2378987526039706,29/10/17,I1,0,1,2,H,-0.5149184355030711,,,,1,2.0,3.0,19.0,0.2569,0.0,11.0,5.0,1.0,2.0,H,3.0,0.71,0.241,0.6803317491616534,1.0,-1.0,1.358,4.71,3,1.0,0.5615384615384615,0.7528599754034586,2.0,2.9397422690687636,1,0.6919919786096258,0.8000000000000002,-0.6,1.3999999999999997,11.4,3.4,4.8,13.6,1.0965728702936088,0.031,0.0934,0.182,0.5615384615384615,0.17165374093316266,0.2652000000000002,0.588047106022197,0.9108942120443937,-1.0,1,4,Crotone,1.6,4.2,5.2,1.67,3.8,5.0,1.352941176470588,12.411764705882353,4.215686274509804,1.5686274509803921,14.166666666666666,4.852941176470588,0.4719,0.4961,0.5198,0.79,0.5289473684210526,1.7,1.66,4.12,5.71,3.95,5.6,1,,,,,,,0.5281,0.5039,0.4802,-1.0,0.4710526315789474,,,,1.67,3.8,5.75,1.67,3.6,5.5,11,0.5173928913991205,0.81775908,0.670233785,0.5102086450000001,18,-2.0313999999999997,green,0.8792057,1.8417821,0.9625764,0.03742361068725586,1.098567392113778,0.9134080586448411,-0.18515933346893687,1.185159333468937,0.791184,1.7163361,0.9251521,0.07484787702560425,0.43247694039393236,0.6508469903030283,0.2073475112141353,0.14180549848283636,0.60310507,0.24103518,0.15585977,0.059673674,0.22498012,0.7153463,0.5800498036104017,0.5381542179721298,0.6979668991734194,0.11911298042603767,0.22445426846945227,0.6564327784233056,0.6034329489882669
3,5.0,13.0,0.0,8.0,1.0,2.0,0.0,0.9134,0.721963156289574,-1.5,-1.0,1.3249,-1.0,0,0.5,0.43958868894601544,0.24190357180047906,4.0,5.540448934482233,0,0.9026257906946059,0.8000000000000002,-1.3999999999999997,2.2,13.800000000000002,3.7999999999999994,5.2,15.0,1.1493137481345816,0.0,0.0163,0.0454,0.43958868894601544,0.04790169738623347,0.0,0.24297383106403572,0.48594766212807144,0,8,Sassuolo,15.0,9.0,1.14,,,,15.5,9.75,1.13,35.0,18.0,-2.0,3.39,1.3,16.14,2.18,1.71,8.47,1.14,3.6,1.33,21.0,2.25,1.78,10.0,1.17,27.0,-1.0,0.0589,0.0891,0.1234,0.09819847964177862,29/10/17,I1,0,1,3,H,0.4242336323856607,,,,2,0.0,6.0,14.0,0.2569,0.0,26.0,9.0,1.0,2.0,H,2.0,0.0,1.568,1.1461967886752347,-0.5,1.0,3.7726,0.1499999999999999,3,0.5,0.5604113110539846,2.6598979485577425,10.0,8.724505336956948,0,1.4890602996540496,3.0,2.75,0.25,18.5,6.75,1.0,8.75,0.3989368765833106,0.9411,0.8946,0.8312,0.5604113110539846,0.853899822971988,3.1161000000000003,2.9039062661135704,2.6917125322271405,2.0,1,16,Napoli,20.0,9.0,1.12,19.0,7.5,1.17,1.3495145631067962,12.456310679611653,4.203883495145631,1.5728155339805825,14.135922330097088,4.854368932038835,0.6023,0.6089,0.6154,0.30000000000000004,0.7228144989339019,18.0,20.5,10.0,1.15,9.9,1.16,2,,,,,,,0.3977,0.3911,0.3846,-1.0,0.27718550106609813,,,,21.0,9.5,1.13,17.0,8.0,1.14,11,0.011819917170049368,0.0017346049999999971,0.005687425000000006,0.01527729999999999,18,3.1161000000000003,green,2.3915763,0.9979474,-1.3936288,-0.6063711643218994,1.1044325445423628,0.9029122477765932,-0.20152029676576966,-1.7984797032342303,2.0630255,0.77601165,-1.2870138,-0.7129862308502197,-1.0392790328021164,0.045139543658947685,0.11847658278408249,0.8363838735569696,0.016741825,0.05768713,0.9255711,0.76319075,0.18351026,0.05329907,0.014403907616979881,0.0029099754685729742,0.02945970274584042,0.8417152346289548,0.11989132380108898,0.038393479443740754,0.013264061652076234
4,6.0,11.0,0.0,13.0,6.0,3.0,-1.0,0.9967,1.3598553413970293,-2.75,-3.0,2.1193,-1.0,0,0.0,0.4742268041237113,1.0889581194463127,7.0,5.14760635701783,-10,0.9079772405201554,1.0,-0.0,1.0,13.199999999999998,3.6,3.6,15.4,0.8386738860009463,0.2381,0.2569,0.2771,0.4742268041237113,0.2693454172124473,1.1773,1.1646095640693632,1.1519191281387267,0,13,Chievo,4.5,3.6,1.83,,,,5.0,3.4,1.8,35.0,18.0,-0.5,1.82,1.97,4.44,2.04,1.84,3.49,1.84,1.91,2.03,5.0,2.08,1.87,3.64,1.9,31.0,-1.0,0.2263,0.2378,0.2497,0.2809218678089709,29/10/17,I1,0,1,4,H,-0.19480357461042552,,,,3,2.5,8.0,9.0,0.2569,0.0,15.0,7.0,1.0,3.0,H,2.0,0.8400000000000001,0.942,1.1650517667866038,-0.0,-1.0,2.6128,1.1800000000000002,3,1.0,0.5257731958762887,1.6301200127447164,6.0,5.149985752606465,1,1.1901944426166327,3.0,2.5,0.5,11.25,5.5,5.0,13.25,0.9424370062859856,0.5356,0.5053,0.4732,0.5257731958762887,0.4497327149785818,1.8729999999999998,1.728329445755738,1.5836588915114764,0.5,1,7,Sampdoria,4.1,3.5,1.9,4.33,3.5,1.83,1.346153846153846,12.413461538461538,4.173076923076923,1.5865384615384615,14.25,4.894230769230769,0.588,0.5524,0.5151,0.97,0.4802110817941952,4.77,3.64,3.49,2.18,3.64,1.87,3,,,,,,,0.412,0.4476,0.4849,-1.0,0.5197889182058046,,,,4.8,3.5,1.83,4.5,3.4,1.85,11,0.18767051936909498,0.13617948500000002,0.15536285000000002,0.17715132499999992,18,0.6956999999999998,green,1.6442703,1.0718325,-0.57243776,0.07243776321411133,1.1023363446505319,0.9053769137791446,-0.19695943087138723,-0.30304056912861277,1.4037306,1.04033,-0.36340058,-0.13659942150115967,-0.12240074247188704,0.20146311325333868,0.294844250424708,0.5036926363219532,0.20741773,0.20616376,0.5864185,0.4868732,0.2771442,0.2359827,0.14345419262139034,0.10703588128567532,0.15949344459024317,0.5256614517605872,0.25938406935797964,0.21495451365080923,0.13560124316853112
5,5.0,24.0,0.0,13.0,2.0,3.0,-1.0,1.0896,0.9759417127353672,0.5,-1.0,1.9842,-1.0,0,0.0,0.5424164524421594,1.4396671289875171,4.0,4.0986054267409155,-10,0.8859160847147892,0.6,-0.20000000000000004,0.8000000000000002,12.6,4.4,5.8,14.4,0.9456050793619714,0.4539,0.4432,0.433,0.5424164524421594,0.3768575391321577,1.267,1.3326097092972486,1.3982194185944976,0,11,Genoa,2.5,3.1,3.1,,,,2.5,3.25,2.95,35.0,17.0,0.0,1.66,2.19,2.51,1.78,2.11,3.09,3.0,1.7,2.31,2.6,1.8,2.18,3.3,3.2,29.0,-1.0,0.2883,0.2765,0.2659,0.3090945115910442,29/10/17,I1,0,0,1,H,-0.739008524978813,,,,1,1.0,4.0,14.0,0.2569,0.0,7.0,3.0,0.0,0.0,D,4.0,1.1099999999999999,0.7172,0.23693318775655423,-1.0,-3.0,1.7114,2.12,3,1.0,0.4575835475578406,1.2512383594214385,1.0,4.220599104197623,1,0.7356867994968883,1.2,-0.6,1.8,11.6,3.2000000000000006,4.8,13.6,1.1753113467266318,0.2578,0.2803,0.3012,0.4575835475578406,0.3140479492767981,0.8787000000000001,0.9991980498934472,1.119696099786894,-0.0,1,17,Spal,2.5,3.3,2.85,2.45,3.1,3.0,1.3428571428571427,12.41904761904762,4.190476190476191,1.6095238095238098,14.257142857142858,4.914285714285715,0.3627,0.4124,0.4608,-1.0,0.43116883116883115,2.59,2.6,3.17,3.12,3.14,3.16,1,,,,,,,0.6373,0.5876,0.5392,0.6599999999999999,0.5688311688311688,,,,2.55,3.1,3.1,2.5,3.1,3.0,11,0.30627591034605606,0.37844302499999993,0.357197165,0.33786192499999995,18,-0.38829999999999976,green,1.0599021,1.116953,0.057050943,-0.05705094337463379,1.0987552595071293,0.9089889983017609,-0.18976626120536833,0.18976626120536833,1.0123521,1.210421,0.19806886,-0.19806885719299316,-0.021784513120752875,0.37825101272689243,0.29005865117525576,0.3316903360978518,0.3844839,0.24717464,0.36834154,0.25984666,0.30069742,0.43945596,0.294855817746961,0.27341011543007865,0.37047424082826064,0.3199595096474142,0.2793102342572991,0.40073029086466283,0.31151990333458973
6,6.0,19.0,0.0,7.0,3.0,3.0,0.0,0.6411,0.7400928852556284,0.0,1.0,1.5956,-1.0,0,0.5,0.5297157622739017,0.7031040978459691,3.0,4.053545250558379,0,0.642252449783361,0.6,-1.6000000000000003,2.2,9.2,2.7999999999999994,4.8,15.800000000000002,1.1281576704442693,0.2171,0.2351,0.2547,0.5297157622739017,0.16175707772529963,1.0322999999999998,1.011702312261962,0.9911046245239242,0,19,Cagliari,5.25,4.33,1.6,,,,5.0,4.0,1.67,35.0,18.0,-1.0,2.35,1.56,5.01,1.82,2.05,4.2,1.62,2.5,1.62,5.5,1.87,2.1,4.44,1.67,31.0,-1.0,0.2326,0.2474,0.2632,0.21783286467007018,29/10/17,I1,0,1,2,H,-0.39861331160944286,,,,1,0.0,7.0,9.0,0.2569,0.0,19.0,6.0,1.0,1.0,D,4.0,0.0,0.5633,0.3414795736461856,-2.5,-3.0,2.1717,0.5800000000000001,3,0.5,0.47028423772609823,2.079063037483961,2.0,5.856865693736175,0,0.8124350366607103,1.75,0.5,1.25,11.0,3.25,4.75,16.5,1.1601135135371232,0.5503,0.5174,0.4821,0.47028423772609823,0.6204100576046302,1.7875,1.6287232033910224,1.4699464067820447,1.0,1,18,Torino,5.5,4.0,1.6,5.0,4.0,1.61,1.330188679245283,12.42452830188679,4.169811320754717,1.6037735849056605,14.18867924528302,4.89622641509434,0.5353,0.4917,0.4462,0.56,0.6010230179028133,5.25,6.06,4.5,1.58,4.44,1.65,1,,,,,,,0.4647,0.5083,0.5538,-1.0,0.39897698209718674,,,,5.5,4.2,1.62,5.0,4.2,1.62,11,0.0851269382809744,0.12468125,0.14411090000000001,0.16654625,18,0.7552000000000003,green,1.723062,1.050653,-0.67240906,-0.3275909423828125,1.1021205615922918,0.9044466719205713,-0.1976738896717205,-0.8023261103282795,1.576653,0.9508537,-0.6257993,-0.374200701713562,-0.501372584808218,0.14119854697130327,0.22785283908864526,0.6309486139400515,0.15099382,0.26199037,0.5870158,0.6009673,0.24592875,0.15310396,0.07806797760978823,0.09667753901816134,0.09133396428896579,0.6063105698619854,0.2452573189656624,0.14843211117235225,0.08851172951473811
7,7.0,15.0,0.0,7.0,2.0,2.0,-1.0,1.1179,1.0175218813935014,1.5,3.0,2.6389,-1.0,0,0.0,0.4728682170542636,1.6993757481019827,7.0,6.879458936463817,-10,1.1915563590349252,1.0,-1.0,2.0,15.25,6.0,4.25,11.5,0.9388472573365647,0.5155,0.4669,0.4147,0.4728682170542636,0.47427546428946843,2.3065,2.058430021776875,1.8103600435537497,0,2,Atalanta,2.1,3.39,3.6,,,,2.0,3.3,4.0,35.0,17.0,0.5,1.9,1.9,2.04,2.04,1.83,3.42,3.65,2.0,1.97,2.1,2.08,1.86,3.59,4.0,34.0,-1.0,0.2017,0.2129,0.2236,0.2765493552335774,29/10/17,I1,0,1,2,H,0.6665736126080175,,,,1,1.5,5.0,15.0,0.2569,0.0,7.0,4.0,1.0,1.0,D,0.0,0.8300000000000001,0.3324,1.684095494001519,1.5,1.0,2.5512,2.94,3,1.0,0.5271317829457364,1.02407489666444,6.0,3.562743336925399,1,1.1136820054840184,2.0,-0.20000000000000004,2.2,14.800000000000002,5.400000000000001,4.0,12.199999999999998,1.1448426501334632,0.2828,0.3202,0.3617,0.5271317829457364,0.2491751804769542,1.6902000000000004,1.6854705372884393,1.6807410745768783,-0.5,1,9,Udinese,2.1,3.4,3.5,2.05,3.4,3.6,1.3271028037383177,12.373831775700934,4.158878504672897,1.6074766355140186,14.233644859813085,4.906542056074766,0.7614,0.7219,0.6775,0.8999999999999999,0.5,2.08,2.07,3.55,3.94,3.59,3.83,1,,,,,,,0.2386,0.2781,0.3225,-1.0,0.5,,,,2.05,3.4,3.9,2.05,3.4,3.6,11,0.3943375628194026,0.3900580450000001,0.340061825,0.28970149,18,-0.6162999999999998,green,0.9835118,1.450003,0.46649122,0.0335087776184082,1.100264056317334,0.9102808473211933,-0.18998320899614074,0.6899832089961407,1.0046223,1.4607928,0.45617044,0.04382956027984619,0.2557738489647984,0.5461426154858704,0.2146947162102606,0.23916266830386906,0.46961102,0.22694315,0.3034458,0.20104237,0.29837635,0.50058126,0.4385726008761178,0.3528611618825638,0.44445745670149717,0.2478836078498833,0.24667140598929413,0.5054449662926076,0.4105768506880111
8,7.0,9.0,0.0,17.0,4.0,2.0,-0.5,1.597,1.463663505251925,0.0,1.0,2.8788,0.3799999999999999,3,0.25,0.5271317829457364,2.316205533596838,10.0,6.832171441125606,-10,1.1144436682625156,1.6000000000000003,1.0,0.6,13.0,4.6,3.0,13.4,0.6774879695702022,0.8906,0.8079,0.7137,0.5271317829457364,0.7114624505928854,2.5081,2.3564291309641003,2.2047582619282,1,5,Inter,1.39,5.0,7.5,,,,1.42,4.75,7.5,35.0,17.0,1.25,2.24,1.63,1.38,1.83,2.04,4.85,8.07,2.35,1.71,1.43,1.88,2.11,5.25,9.5,29.0,-1.0,0.0993,0.1432,0.1807,0.1818181818181818,30/10/17,I1,0,2,1,A,-0.38230396247162535,,,,-1,0.25,4.0,12.0,0.2569,0.0,10.0,2.0,1.0,0.0,A,4.0,0.52,0.3707,1.0813595427802996,-1.5,-3.0,1.4543,-1.0,0,0.75,0.4728682170542636,0.5019762845849802,4.0,3.6990472102512184,1,0.6506067171018072,0.4000000000000001,-1.8,2.2,12.4,3.4,6.599999999999999,15.800000000000002,1.494137533662743,0.0101,0.0489,0.1056,0.4728682170542636,0.10671936758893281,0.11419999999999997,0.41217134691619756,0.7101426938323951,-1.25,0,1,Verona,1.4,4.8,7.5,1.36,4.75,8.5,1.3240740740740742,12.324074074074074,4.138888888888889,1.6111111111111114,14.166666666666666,4.898148148148148,0.4872,0.523,0.5575,0.6299999999999999,0.578811369509044,1.4,1.38,5.4,9.2,5.25,8.86,-1,,,,,,,0.5128,0.477,0.4425,-1.0,0.42118863049095606,,,,1.36,5.0,9.5,1.4,4.8,7.5,11,0.04732147041822244,0.006035184999999999,0.019646809999999997,0.046559525,18,-2.3939000000000004,red,1.0516584,2.3156018,1.2639434,-0.01394343376159668,1.1006444606914267,0.9085458982985983,-0.1920985623928284,1.4420985623928284,0.8431008,1.6721712,0.82907045,0.42092955112457275,0.6163615599186015,0.7419682004548318,0.17127146779814909,0.08676033174701914,0.8213759,0.10764027,0.0709838,0.0693974,0.23318176,0.69742084,0.03705388237068533,0.01847262781215253,0.048185072520620376,0.07571384213271533,0.17069783131056213,0.7535883141390882,0.033225649349807075
9,2.0,14.0,0.0,10.0,6.0,3.0,0.55,0.241,1.4343754181939155,2.0,1.0,1.358,4.67,3,1.0,0.6182266009852216,0.7948468643655808,4.0,2.7886702109246784,1,0.5896498033066803,0.4000000000000001,-2.2,2.6,8.0,3.0,5.8,14.0,1.2229169785017242,0.0,0.0903,0.2281,0.6182266009852216,0.17306757413709284,0.0,0.383847548109467,0.767695096218934,1,4,Crotone,4.75,3.5,1.8,,,,5.25,3.4,1.78,36.0,18.0,-1.0,1.61,2.29,5.09,1.55,2.51,3.39,1.78,1.65,2.39,5.7,1.59,2.63,3.65,1.8,31.0,-1.0,0.1661,0.2488,0.2945,0.27564414195430237,04/11/17,I1,0,3,2,A,-0.6321509267642864,,,,-1,-2.0,5.0,14.0,0.2569,0.0,15.0,5.0,1.0,2.0,H,2.0,-1.0,1.4025,0.802224491429629,0.75,-1.0,1.7829,-1.0,0,0.0,0.38177339901477836,1.9295089936801166,3.0,3.73960161033448,-10,0.6372029312495414,1.0,-0.6,1.6000000000000003,10.6,2.6,3.6,11.6,0.9787079231821778,0.8339,0.6609,0.4774,0.38177339901477836,0.5512882839086047,1.7988,1.5249417412423072,1.2510834824846142,1.0,0,3,Bologna,4.5,3.6,1.8,5.0,3.3,1.75,1.3302752293577982,12.366972477064218,4.137614678899083,1.6055045871559634,14.128440366972477,4.871559633027523,0.2691,0.2987,0.3284,1.29,0.41282051282051285,5.7,5.67,3.56,1.78,3.5,1.79,-1,,,,,,,0.7309,0.7013,0.6716,-1.0,0.5871794871794872,,,,5.5,3.3,1.8,5.0,3.3,1.8,11,0.4938680044592034,0.847694605,0.6321714500000001,0.411870185,18,1.7988,red,2.0559826,1.13274,-0.92324257,-0.07675743103027344,1.1015130878762023,0.903549149333501,-0.19796393854270133,-0.8020360614572987,1.3762155,0.8055618,-0.5706537,-0.42934632301330566,-0.4360466051669592,0.19814405017379486,0.2695920876030926,0.5322638622231127,0.12653963,0.24377114,0.6296892,0.5109986,0.2674702,0.22153115,0.4631388916501753,0.5797207483853715,0.43356663790386607,0.5576505618395687,0.2602778114002547,0.18207161185901552,0.4899904864353653
