,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,9.0,10.0,1.0,19.0,9.0,1.0,-1.0,0.8639,1.5572327544578877,1.0,2.0,3.0579,-1.0,0,0.0,0.5182291666666667,1.2721039008219428,12.0,7.705977135176241,-10,1.7070918107397084,2.0,0.8000000000000002,1.2,16.8,6.2,4.8,14.199999999999998,0.944882427694935,0.466,0.4662,0.4664,0.5182291666666667,0.3267789836973798,1.6384,1.6042861178276786,1.5701722356553571,0,17,Roma,2.5,3.3,2.9,,,,2.5,3.3,2.9,47.0,28.0,0.0,1.95,1.84,2.56,1.85,1.99,3.31,2.77,2.03,1.91,2.7,1.93,2.06,3.47,2.93,42.0,-1.0,0.2437,0.247,0.2505,0.2917669497298034,31/10/15,I1,0,0,1,H,-0.619886076011925,,,,1,1.0,4.0,10.0,0.568,0.0,10.0,3.0,0.0,1.0,H,4.0,0.99,1.4195,0.9373466784459626,0.5,1.0,1.5391,1.5699999999999998,3,1.0,0.4817708333333334,1.4361291494482542,6.0,6.401046846346611,1,0.7815783533440789,0.8000000000000002,0.0,0.8000000000000002,13.4,3.7999999999999994,3.2000000000000006,11.4,0.9106867985165663,0.2904,0.2868,0.2831,0.4817708333333334,0.3814540665728169,1.2431999999999999,1.2050147250338346,1.1668294500676695,-0.0,1,5,Inter,2.6,3.2,2.6,2.5,3.25,2.75,1.01,11.75,3.44,1.58,14.13,4.76,0.5498,0.5328,0.5154,-1.0,0.5145118733509234,2.67,3.0,3.36,2.57,3.47,2.81,1,,,,,,,0.4502,0.4672,0.4846,0.95,0.48548812664907653,,,,2.6,3.3,2.88,2.62,3.1,2.8,11,0.2446917879727988,0.36029748500000003,0.36299834000000003,0.36573728499999997,16,-0.3952000000000002,green,1.524669,1.1653467,-0.3593223,0.35932230949401855,1.0996424451730267,0.9069880149763729,-0.19265443019665374,0.19265443019665374,1.3334653,1.0994049,-0.2340604,0.2340604066848755,0.2620123821251826,0.3074586505464741,0.2806573226454822,0.4118840268080437,0.2572336,0.347593,0.3951734,0.39735946,0.29434258,0.3082979,0.22020560985969037,0.2159921675296319,0.22911162654017492,0.4014722960136004,0.30753096985826783,0.2909967142599168,0.22145725585623494
1,3.0,14.0,0.0,10.0,5.0,5.0,0.0,0.6276,0.34992808157878535,-0.5,0.0,2.0881,-1.0,0,0.5,0.5168831168831169,0.669299834905713,2.0,5.715460133912417,0,1.0383728130738679,1.0,-0.8000000000000002,1.8,12.0,3.7999999999999994,3.4,10.4,0.8314999499940501,0.1705,0.133,0.0984,0.5168831168831169,0.13509806243200193,0.8331999999999999,0.6906528850400588,0.5481057700801178,0,18,Torino,6.5,3.8,1.57,,,,6.75,3.5,1.57,47.0,28.0,-1.0,1.74,2.07,6.69,1.86,1.99,3.81,1.55,1.81,2.18,7.76,1.91,2.06,4.01,1.65,40.0,-1.0,0.2287,0.2177,0.2036,0.26400564760970724,31/10/15,I1,0,1,2,H,0.488759162963085,,,,1,0.0,7.0,17.0,0.568,0.0,17.0,6.0,0.0,1.0,H,2.0,0.0,1.2549,0.8386872445418704,-1.5,-1.0,1.8531,0.6299999999999999,3,0.5,0.4831168831168831,2.066694517484579,7.0,8.346377085803567,0,1.4515668517177471,1.3999999999999997,0.6,0.8000000000000002,24.2,7.400000000000001,1.3999999999999997,5.599999999999999,0.527850655544009,0.6008,0.6494,0.698,0.4831168831168831,0.6008962899582907,1.7934999999999999,1.8467968543267133,1.9000937086534264,1.0,1,6,Juventus,5.1,3.6,1.65,7.0,3.6,1.53,1.0,11.821782178217822,3.495049504950495,1.574257425742574,14.08910891089109,4.742574257425742,0.4883,0.4658,0.4428,1.0699999999999998,0.45669291338582685,7.55,7.25,3.71,1.63,3.95,1.57,1,,,,,,,0.5117,0.5342,0.5572,-1.0,0.5433070866141733,,,,7.5,3.9,1.53,7.0,3.4,1.6,11,0.08876762892096896,0.09421544500000001,0.07029138500000001,0.050443280000000014,16,0.9602999999999999,green,3.3719888,0.7014018,-2.670587,1.6705870628356934,1.102551547950858,0.9021987003199708,-0.20035284763088723,-0.7996471523691128,1.7136528,0.8043025,-0.90935034,-0.09064966440200806,0.2600967486881908,0.12936223727558077,0.23784814533493825,0.6327896173894809,0.14708899,0.30774185,0.5451692,0.52825135,0.286143,0.18560565,0.07578902676495375,0.11425312307589985,0.12849812218461842,0.5687367139955496,0.27724433361458084,0.15401895735692323,0.10485492977531466
2,4.0,14.0,0.0,8.0,2.0,3.0,-1.0,1.0131,1.3731122777974927,1.25,1.0,1.9254,-1.0,0,0.0,0.5182291666666667,1.3122938858055546,6.0,4.369635387445631,-10,0.556041082796637,0.6,-1.0,1.6000000000000003,7.400000000000001,1.6000000000000003,7.2,17.8,1.294063700614715,0.4914,0.3315,0.1822,0.5182291666666667,0.33565445206660005,1.3138,0.9589209630167888,0.6040419260335774,0,12,Atalanta,2.6,3.1,2.9,,,,2.6,3.0,2.85,47.0,28.0,0.0,1.56,2.39,2.63,1.85,1.99,3.08,2.84,1.61,2.53,2.75,1.88,2.08,3.2,3.05,39.0,-1.0,0.2857,0.3116,0.3023,0.3053305296057546,01/11/15,I1,0,0,3,H,-0.5561252267759479,,,,3,3.0,0.0,23.0,0.568,0.0,10.0,5.0,0.0,0.0,D,5.0,0.99,0.6116,0.8169870510215448,-0.5,-1.0,1.2288,1.73,3,1.0,0.4817708333333334,1.382375584588691,3.0,3.672028823772492,1,0.6026001712876995,0.4000000000000001,-0.6,1.0,10.800000000000002,3.2000000000000006,4.2,12.199999999999998,1.0863260732381819,0.2229,0.357,0.5154,0.4817708333333334,0.3590150183276455,0.7837,1.0072827658395445,1.2308655316790889,-0.0,1,10,Bologna,2.6,3.2,2.6,2.62,3.0,2.8,1.0,11.803921568627452,3.5098039215686274,1.5784313725490196,14.117647058823529,4.754901960784314,0.3497,0.3142,0.2787,1.3900000000000001,0.3949367088607595,2.69,2.92,3.21,2.73,3.19,2.99,3,,,,,,,0.6503,0.6858,0.7213,-1.0,0.6050632911392405,,,,2.7,3.0,3.0,2.7,3.0,2.8,11,0.26176282896081904,0.422679185,0.26163748000000003,0.134035225,16,-0.5301000000000001,green,1.2225292,0.8889538,-0.33357537,0.33357536792755127,1.1002968946423624,0.9025625779262155,-0.19773431671614683,0.19773431671614683,1.130152,1.0301284,-0.10002363,0.10002362728118896,0.21044443730829568,0.29076953800597727,0.32576315015777696,0.38346731183624555,0.2872103,0.3166038,0.39618593,0.39670396,0.30521575,0.29808035,0.23232973990331748,0.22354057835743868,0.2264089880682545,0.3921190682970692,0.3158609019724023,0.29202005953285076,0.22739746244592096
3,6.0,17.0,0.0,11.0,3.0,3.0,0.45499999999999996,0.6411,0.4461034654087977,-1.5,-2.0,1.4447,-1.0,1,0.75,0.5038961038961038,1.272027269683781,2.0,4.4832648815387515,1,0.678368278004271,0.6,-1.2,1.8,9.8,2.0,5.0,15.6,1.0923063284186678,0.3411,0.3126,0.2698,0.5038961038961038,0.32443619320084,1.4447,1.1037054739082675,0.7627109478165347,0,1,Verona,3.25,3.25,2.3,,,,3.0,3.3,2.3,47.0,27.0,-0.25,1.66,2.19,3.28,1.91,1.94,3.22,2.26,1.72,2.36,3.6,1.97,1.99,3.4,2.33,40.0,2.28,0.2392,0.2737,0.3295,0.2987186900812612,01/11/15,I1,1,0,0,D,0.16861833585865132,,,,0,-0.25,5.0,19.0,0.568,0.0,11.0,6.0,0.0,0.0,D,2.0,-0.5,0.0,0.614721801267449,-0.75,-1.0,1.6991,-1.0,1,0.25,0.49610389610389616,1.429254040234957,3.0,4.880256392102124,-10,0.5756277012066391,0.8000000000000002,-0.4000000000000001,1.2,9.2,2.6,3.6,14.0,1.1353545428072218,0.4197,0.4138,0.4008,0.49610389610389616,0.37684511671789866,1.626,1.3135676313492266,1.0011352626984535,0.25,0,13,Carpi,3.1,3.3,2.2,3.3,3.1,2.25,0.9902912621359223,11.766990291262138,3.495145631067961,1.5922330097087378,14.077669902912623,4.757281553398058,0.5925,0.4348,0.2597,-1.0,0.43116883116883115,3.51,3.02,3.28,2.6,3.31,2.31,0,,,,,,,0.4075,0.5652,0.7403,0.6599999999999999,0.5688311688311688,,,,3.5,3.13,2.3,3.3,3.1,2.3,11,0.12363554272638978,0.14624865,0.134443345,0.11668936499999999,16,0.1812999999999998,yellow,0.9962809,1.1118234,0.11554253,-0.36554253101348877,1.0997940703019133,0.9031329917007163,-0.19666107860119708,-0.05333892139880292,1.0880904,1.0635763,-0.02451408,-0.2254859209060669,-0.21478912443945286,0.2634950912347856,0.3385110068247772,0.39799390194043716,0.2679684,0.37229833,0.35973325,0.3806763,0.2949211,0.32440257,0.11391440454330116,0.10060754295917862,0.12507574605143024,0.3794678183304773,0.33524347901099444,0.2852886827903132,0.11269273450653915
4,1.0,11.0,0.0,6.0,1.0,1.0,-1.0,1.0482,1.5552914391648376,0.75,1.0,1.2304,-1.0,0,0.0,0.45219638242894056,0.32894715493323384,6.0,3.857797869203143,-10,0.8865547486707865,0.20000000000000004,-1.2,1.3999999999999997,13.4,3.7999999999999994,7.400000000000001,23.8,1.4391243333758765,0.0,0.0234,0.0355,0.45219638242894056,0.05935132153229601,0.0,0.203993771620699,0.407987543241398,0,4,Frosinone,15.0,6.0,1.22,,,,11.5,6.0,1.22,47.0,27.0,-1.5,2.29,1.59,12.53,2.12,1.75,5.86,1.24,2.42,1.66,15.0,2.17,1.8,6.5,1.28,35.0,-1.0,0.1593,0.1291,0.1142,0.1508931903363458,01/11/15,I1,0,1,4,H,-0.5650219464083719,,,,3,1.5,8.0,11.0,0.568,0.0,31.0,9.0,0.0,4.0,H,0.0,0.75,1.4076,0.9902694927564657,1.5,2.0,2.3215,0.24,3,1.0,0.5478036175710594,2.5201596547304206,6.0,6.058956722274352,1,1.2011330590635838,1.8,1.3999999999999997,0.4000000000000001,18.4,5.400000000000001,1.3999999999999997,6.8,0.4692178341099859,0.8407,0.8476,0.8502,0.5478036175710594,0.7897554881313583,1.8413,2.2835686986489403,2.7258373972978807,1.5,1,3,Fiorentina,10.3,5.5,1.25,13.0,5.75,1.25,0.9807692307692307,11.759615384615385,3.4903846153846154,1.5769230769230769,14.048076923076925,4.769230769230769,0.2805,0.453,0.6061,0.5900000000000001,0.5902061855670103,14.26,16.5,6.49,1.24,6.25,1.27,3,,,,,,,0.7195,0.547,0.3939,-1.0,0.40979381443298973,,,,15.0,6.5,1.22,13.0,5.5,1.25,11,0.023862667069256688,0.012688244999999999,0.011884324999999998,0.011853700000000007,16,1.8413,green,3.5625188,0.9976443,-2.5648746,1.0648746490478516,1.1026819704388922,0.9022025681119945,-0.20047940232689765,-1.2995205976731024,1.9435997,0.84186447,-1.1017352,-0.3982647657394409,-0.2109702381215639,0.09197544523081687,0.199112507711087,0.7089120470580962,0.019495673,0.16119163,0.81931263,0.6326206,0.28014195,0.08723758,0.046595839436657495,0.016514004411687933,0.07128901039838098,0.7202817507286041,0.21348202824931486,0.0662362334397154,0.04131476797537036
5,6.0,16.0,0.0,18.0,8.0,2.0,-1.0,1.446,1.5089206377261706,0.5,2.0,2.6686,-1.0,1,0.0,0.5284974093264249,1.9674137496852178,12.0,7.9527045359278095,-10,1.3442518591652686,1.6000000000000003,0.8000000000000002,0.8000000000000002,16.4,3.7999999999999994,2.6,12.4,0.6549680805882196,0.6333,0.5625,0.4851,0.5284974093264249,0.5725509947116595,1.8469000000000002,1.6117363711869317,1.3765727423738632,0,16,Napoli,1.83,3.6,4.5,,,,1.83,3.25,4.6,47.0,27.0,0.5,1.92,1.86,1.83,1.82,2.04,3.56,4.37,2.02,1.92,1.95,1.9,2.11,3.8,4.8,42.0,2.92,0.2202,0.2488,0.2757,0.24976076555023924,01/11/15,I1,1,0,0,D,-0.5605324916603439,,,,0,0.5,1.0,12.0,0.568,0.0,9.0,1.0,0.0,0.0,D,3.0,1.04,0.8217,0.9483881460658267,0.5,0.0,1.6305,-1.0,1,1.0,0.4715025906735752,0.7828254847645431,5.0,5.2721030105040505,1,0.8371554229819764,1.5,0.5,1.0,12.5,3.5,3.0,14.5,1.043928115567828,0.1465,0.1887,0.2392,0.4715025906735752,0.17768823973810124,0.7525000000000001,0.8148980644356195,0.877296128871239,-0.5,0,15,Genoa,1.9,3.45,3.8,1.8,3.5,4.33,0.9809523809523809,11.704761904761904,3.466666666666667,1.6000000000000003,14.209523809523809,4.809523809523809,0.4814,0.4372,0.3917,-1.0,0.5079365079365078,1.85,1.71,3.92,5.51,3.72,4.76,0,,,,,,,0.5186,0.5628,0.6083,0.9199999999999999,0.49206349206349204,,,,1.8,3.6,4.8,1.85,3.4,4.5,11,0.17969387604326792,0.21126557000000007,0.17600697,0.14626932499999998,16,-1.0944000000000003,yellow,0.8895935,1.8721586,0.98256516,-0.48256516456604004,1.0991556746643898,0.9074418877711101,-0.19171378689327967,0.6917137868932797,0.99671173,1.4313192,0.4346075,0.06539249420166016,0.09151370550963327,0.6293156243210741,0.2080047126884173,0.1626796629905086,0.66050845,0.25783223,0.08165931,0.20606875,0.262683,0.5312482,0.21125141388266439,0.2214698351415732,0.16234451286298368,0.15013590891756554,0.24283998198889725,0.6070240966759028,0.19550953008365304
6,3.0,11.0,0.0,9.0,3.0,2.0,0.8600000000000001,0.7025,1.1232392520776757,0.25,1.0,1.9549,2.97,3,1.0,0.5181347150259067,1.0202832930522838,7.0,6.23197594550936,1,0.8192936960386732,0.8000000000000002,-0.6,1.3999999999999997,11.199999999999998,2.4,3.6,11.4,0.8055383916212205,0.2662,0.2052,0.1356,0.5181347150259067,0.24697892128369078,1.3994,1.0095902054138672,0.6197804108277345,1,11,Milan,4.0,3.3,2.0,,,,4.0,3.25,2.05,47.0,27.0,-0.5,1.82,1.97,3.86,1.86,2.0,3.33,2.01,1.89,2.06,4.27,1.91,2.04,3.5,2.05,42.0,-1.0,0.2169,0.2278,0.2383,0.2793465292012115,01/11/15,I1,0,3,1,A,-0.2913157704456526,,,,-2,-2.5,7.0,21.0,0.568,0.0,10.0,4.0,1.0,0.0,A,2.0,-1.0,0.5555,0.8319234816320231,-1.25,-1.0,2.1487,-1.0,0,0.0,0.48186528497409326,1.700370177746505,6.0,7.212201761909064,-10,1.2998125300869123,2.2,2.0,0.20000000000000004,16.4,6.599999999999999,4.0,9.4,0.7785147994397327,0.5169,0.567,0.6261,0.48186528497409326,0.4736745495150978,2.0141999999999998,1.8368368601057257,1.6594737202114516,0.5,0,0,Lazio,3.6,3.3,2.0,3.8,3.25,2.0,0.9716981132075472,11.764150943396226,3.509433962264151,1.5849056603773584,14.160377358490566,4.773584905660377,0.6629,0.5415,0.3985,0.97,0.4802110817941952,4.17,3.97,3.51,2.07,3.47,2.03,-2,,,,,,,0.3371,0.4585,0.6015,-1.0,0.5197889182058046,,,,4.2,3.3,2.0,4.0,3.1,2.05,11,0.3957041619247024,0.40282402500000003,0.47659801999999996,0.569594285,16,0.6147999999999998,red,1.743976,0.49692816,-1.2470479,0.7470479011535645,1.1033410309330214,0.9018546869556708,-0.20148634397735055,-0.29851365602264945,1.5379486,1.0536462,-0.4843024,-0.015697598457336426,0.1442788822245262,0.20727446717300868,0.3064246760011196,0.48630085682587165,0.25009537,0.280487,0.46941766,0.39433366,0.28852686,0.31713945,0.43245114687270714,0.3913549717531213,0.3108987651937114,0.45001739295229753,0.29181284660102524,0.2581697604466771,0.3764138791376614
7,1.0,12.0,0.0,6.0,2.0,2.0,0.44999999999999996,1.3109,1.4771224751304277,1.5,1.0,1.9275,-1.0,1,0.75,0.5077720207253886,1.1383471596917139,6.0,4.061951599152406,1,0.8180783950246365,1.0,-0.0,1.0,9.0,2.6,3.6,15.0,0.8398482390304952,0.4712,0.3744,0.2847,0.5077720207253886,0.28417254423162874,1.2362,1.0736012304610845,0.911002460922169,0,9,Sassuolo,3.3,3.3,2.25,,,,2.95,3.2,2.4,47.0,27.0,-0.25,1.64,2.24,3.26,1.9,1.96,3.18,2.3,1.71,2.39,3.6,1.96,2.02,3.3,2.4,41.0,2.43,0.2963,0.3038,0.2979,0.2858295269968277,01/11/15,I1,1,0,0,D,-0.5460696276572904,,,,0,-0.25,10.0,14.0,0.568,0.0,14.0,2.0,0.0,0.0,D,1.0,-0.5,0.6913,0.9310528474731373,-1.0,-2.0,1.5177,-1.0,1,0.25,0.4922279792746114,1.5758233133114583,5.0,5.370264441561959,-10,0.881545206368059,1.0,-0.4000000000000001,1.3999999999999997,14.199999999999998,4.4,3.7999999999999994,11.4,1.1240937657733445,0.2326,0.3218,0.4174,0.4922279792746114,0.4299979287715435,0.7748,0.9720801307186173,1.1693602614372347,0.25,0,19,Udinese,3.0,3.2,2.3,3.25,3.1,2.3,0.9906542056074766,11.738317757009346,3.5046728971962615,1.5794392523364487,14.121495327102801,4.766355140186916,0.3263,0.3357,0.3451,-1.0,0.4226804123711341,3.46,3.45,3.43,2.28,3.23,2.37,0,,,,,,,0.6737,0.6643,0.6549,0.6399999999999999,0.577319587628866,,,,3.5,3.0,2.38,3.2,3.1,2.38,11,0.13282612682144723,0.13801898499999998,0.12186529999999998,0.127638425,16,-0.4613999999999999,yellow,1.4882281,0.9871522,-0.50107586,0.2510758638381958,1.100444061572935,0.9039370575288532,-0.19650700404408172,-0.05349299595591828,1.3678253,0.96144813,-0.40637714,0.1563771367073059,0.11798666819652781,0.27497487208548443,0.3221347935618193,0.40289033435269617,0.26530063,0.36404243,0.37065694,0.42869747,0.2883004,0.28300208,0.11896590089662795,0.10388549515011691,0.13193586413721192,0.4007482461879135,0.3248258732299418,0.27442586071392977,0.11795436037798702
8,3.0,10.0,0.0,10.0,3.0,2.0,0.8,0.7014,0.9339610013024712,-0.5,0.0,2.2981,-1.0,1,1.0,0.533678756476684,1.1347776560470737,5.0,5.3535425922786555,1,0.987015185226282,0.75,-1.25,2.0,12.25,3.75,6.0,19.75,1.3186441989402464,0.2276,0.2009,0.1722,0.533678756476684,0.28328266595079343,1.1073999999999997,0.9433293550128531,0.7792587100257065,0,8,Sampdoria,3.8,3.3,2.05,,,,3.6,3.2,2.1,44.0,25.0,-0.5,1.63,2.24,3.72,1.8,2.06,3.26,2.07,1.67,2.33,4.2,1.85,2.12,3.4,2.2,38.0,2.44,0.2289,0.2349,0.241,0.2849296581946934,02/11/15,I1,1,1,1,D,-0.6967622070475897,,,,0,-0.5,4.0,19.0,0.568,0.0,14.0,2.0,1.0,1.0,D,3.0,-1.0,1.1907,0.2371987942548814,-0.25,-1.0,1.969,-1.0,1,0.0,0.46632124352331605,1.5802926857582333,1.0,4.215873032328538,-10,0.8108763246920166,1.2,0.6,0.6,11.4,4.0,2.6,11.6,0.8044067775638838,0.5434,0.5643,0.5867,0.46632124352331605,0.4317876758545133,1.8356,1.7543948801510023,1.6731897603020047,0.5,0,14,Chievo,3.2,3.2,2.2,3.8,3.1,2.0,0.9814814814814815,11.685185185185185,3.490740740740741,1.5648148148148149,14.120370370370372,4.7407407407407405,0.5639,0.5058,0.4439,-1.0,0.42118863049095606,4.12,3.46,3.44,2.27,3.31,2.1,0,,,,,,,0.4361,0.4942,0.5561,0.6299999999999999,0.578811369509044,,,,4.2,3.2,2.05,3.8,3.1,2.1,11,0.1333448329240155,0.173565425,0.17937756500000002,0.18695209,16,0.7282000000000002,yellow,1.6169472,0.94911456,-0.6678326,0.167832612991333,1.1016017896220354,0.9023549206044945,-0.19924686901754085,-0.30075313098245915,1.4051101,1.0178698,-0.3872403,-0.11275970935821533,-0.08189340911644716,0.2290990055112702,0.32586733596824613,0.4450336585204836,0.20460942,0.37896833,0.41642228,0.43864274,0.3013763,0.25998095,0.12527065577118973,0.10763625874939864,0.12999877313097175,0.4333662254863658,0.3354039923922983,0.23122979205544333,0.12063674876609007
9,4.0,15.0,0.0,11.0,5.0,3.0,0.8999999999999999,0.8079,1.5054394408563718,0.5,0.0,1.791,2.26,3,1.0,0.5077720207253886,1.1979391307272842,7.0,4.649805106752111,1,1.2616645804137394,1.0,-0.8000000000000002,1.8,14.6,5.0,3.6,9.2,0.8191604370148178,0.2833,0.3917,0.5012,0.5077720207253886,0.300620054792063,1.0691,1.3653085945241759,1.6615171890483518,1,2,Empoli,3.4,3.2,2.25,,,,3.25,3.1,2.25,44.0,24.0,-0.25,1.69,2.15,3.28,1.9,1.96,3.18,2.27,1.79,2.29,3.65,2.06,2.03,3.35,2.38,39.0,-1.0,0.2655,0.2617,0.2437,0.29607896635109526,02/11/15,I1,0,1,0,A,-0.42220899329163863,,,,-1,-1.25,7.0,25.0,0.568,0.0,16.0,4.0,0.0,0.0,D,6.0,-1.0,0.7219,1.0832304475647332,-0.5,-2.0,1.6628,-1.0,0,0.0,0.4922279792746114,1.5059819029216202,4.0,3.692658389535309,-10,0.8716239001346096,1.2,-0.4000000000000001,1.6000000000000003,13.0,4.2,4.8,13.0,1.3415400664971369,0.4512,0.3465,0.2551,0.4922279792746114,0.40330097885684163,1.4229,1.2682388465181675,1.113577693036335,0.25,0,7,Palermo,3.4,3.2,2.1,3.2,3.1,2.3,0.981651376146789,11.6697247706422,3.4862385321100917,1.5596330275229358,14.119266055045872,4.715596330275229,0.4541,0.49,0.5246,-1.0,0.44010416666666663,3.39,3.26,3.31,2.43,3.32,2.36,-1,,,,,,,0.5459,0.51,0.4754,0.69,0.5598958333333334,,,,3.4,3.1,2.38,3.3,3.1,2.3,11,0.3258919936529717,0.358620165,0.24498474499999998,0.156938725,16,0.3538000000000001,red,1.2959265,1.1915267,-0.1043998,-0.14560019969940186,1.0997893419347555,0.9059996446301042,-0.19378969730465134,-0.05621030269534866,1.2942219,1.1257865,-0.16843534,-0.08156466484069824,-0.09445838907848292,0.2763714050092185,0.31744572461182197,0.4061828703789596,0.24873973,0.3533811,0.39787918,0.38370305,0.28722134,0.32907563,0.3443114338388117,0.3613499268591642,0.29868378855946753,0.39592170222297923,0.3193493880845915,0.2847289245935905,0.33418336346046124
