,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,6,14,0,9,2,6,0.5800000000000001,1.4028,0.892018569175504,1.0,1.0,2.1814,-1.0,1,0.75,0.4461538461538462,1.0217225765219402,4.0,4.484211582834217,1,0.841804366267646,1.0,-0.0,1.0,9.6,3.2000000000000006,4.6,10.2,0.7782998355089301,0.309,0.2944,0.2772,0.4461538461538462,0.24860282019553717,1.3686,1.1990069642400298,1.0294139284800594,0,16,Getafe,3.79,3.5,2.0,,,,3.7,3.6,2.0,36,19.0,-0.25,1.99,1.81,3.77,2.16,1.74,3.5,2.0,2.05,1.88,4.0,2.21,1.78,3.62,2.06,32,2.55,0.2366,0.2512,0.2692,0.2759141159353286,03/11/17,SP1,1,2,2,D,-0.13800084791010514,,,,0,-0.25,4,10,0.3482,0,15,4,2,0,A,2,-0.5,0.8128,0.7540177212653989,-0.75,-1.0,2.7596,-1.0,1,0.25,0.5538461538461539,1.7023633075427314,4.0,5.30491510635475,-10,1.1809348452170558,2.6,1.0,1.6000000000000003,13.199999999999998,5.400000000000001,3.6,9.6,1.0023491709021832,0.4544,0.4544,0.4536,0.5538461538461539,0.47548306386913425,1.7049999999999998,1.5510322607921907,1.3970645215843818,0.25,0,10,Betis,3.8,3.4,2.0,3.7,3.5,2.0,1.22,10.71,3.99,1.5200000000000002,14.050000000000002,5.05,0.5931,0.5186,0.4372,0.81,0.5236842105263159,3.92,3.94,3.55,2.06,3.59,2.05,0,,,,,,,0.4069,0.4814,0.5628,-1.0,0.47631578947368425,3.8,3.5,2.05,3.75,3.4,2.0,11,0.14394375311777688,0.15098018,0.14657536000000002,0.14129640000000002,18,0.3363999999999998,yellow,1.4985418,1.062881,-0.43566084,0.18566083908081055,1.1012672620202302,0.9032218138493744,-0.1980454481708558,-0.05195455182914421,1.288611,0.99012166,-0.2984894,0.048489391803741455,0.06073189301846926,0.26247775421259356,0.23380410891708198,0.5037181368703245,0.30415422,0.28480017,0.41104564,0.31289488,0.27438468,0.41272044,0.16131326643429883,0.13073414424102925,0.13412068475386896,0.4092195527829925,0.2643296527264398,0.32645080442467517,0.13701538180171763
1,3,12,0,8,3,0,0.8700000000000001,1.2556,0.9078244842248334,0.0,1.0,1.8973,-1.0,0,1.0,0.5155440414507771,0.3693676350583573,6.0,6.609207070597172,1,0.9343794130146152,0.4000000000000001,-1.0,1.3999999999999997,12.4,4.4,3.4,14.800000000000002,0.8767925727403434,0.0133,0.0502,0.1099,0.5155440414507771,0.07995747776356205,0.1602999999999999,0.4133194141146509,0.6663388282293019,0,4,Sevilla,12.0,7.5,1.19,,,,12.0,7.75,1.19,36,19.0,-2.0,3.5,1.29,11.51,1.87,1.99,7.25,1.21,3.85,1.32,14.0,1.93,2.06,8.2,1.24,27,-1.0,0.0971,0.1457,0.1937,0.12949520176767115,04/11/17,SP1,0,1,2,H,0.16943275443762318,,,,1,-1.0,3,10,0.3482,0,18,6,0,1,H,1,-1.0,1.737,1.0772572386624566,0.75,2.0,3.5183,0.24,3,0.0,0.4844559585492228,2.501137163173971,10.0,9.282833886933258,-10,1.5380482422731876,3.6,3.4,0.20000000000000004,16.0,7.0,2.2,9.6,0.5866111941106134,0.8896,0.8041,0.6964,0.4844559585492228,0.7905473204687667,2.6108999999999996,2.3300830278329805,2.049266055665961,2.0,1,6,Barcelona,11.0,7.0,1.22,10.0,6.5,1.22,1.2156862745098038,10.676470588235295,3.9607843137254903,1.5196078431372548,14.088235294117647,5.049019607843137,0.5237,0.5169,0.5102,0.29000000000000004,0.7306889352818372,13.75,12.26,7.57,1.24,8.15,1.21,1,,,,,,,0.4763,0.4831,0.4898,-1.0,0.26931106471816285,13.0,7.5,1.22,11.0,7.0,1.2,11,0.025131811606562013,0.006182525000000006,0.02044842499999999,0.052125484999999985,18,2.4505999999999997,green,2.4405527,0.80899286,-1.6315598,-0.3684401512145996,1.1116142139833785,0.9005602554998389,-0.21105395848353958,-1.7889460415164604,2.7044554,0.7079732,-1.9964821,-0.0035178661346435547,-0.7203013529552346,0.04870859180012074,0.10181235027727106,0.8494790579226082,0.12453259,0.09086954,0.7845979,0.89286894,0.08265591,0.024475144,0.012514540459508153,0.030953220725272096,0.006038049091731779,0.8423152892240705,0.09177926514684036,0.06590544128291716,0.014603997888028679
2,4,10,0,11,3,2,0.53,1.8571,0.869830718938218,-1.0,0.0,2.3142,0.75,3,0.75,0.4677002583979328,1.9492514060396129,6.0,6.897893888277549,1,1.1125390238585315,1.6666666666666667,1.0,0.6666666666666666,10.166666666666666,4.333333333333333,4.666666666666667,12.0,0.7738678167605185,0.7287,0.6215,0.5168,0.4677002583979328,0.5610559819255984,1.9844,1.8725964645380653,1.7607929290761306,1,19,Ath Madrid,1.8,3.6,4.75,,,,1.78,3.6,4.75,36,18.0,0.75,1.77,2.04,1.8,2.06,1.81,3.57,4.64,1.83,2.16,1.86,2.11,1.84,3.9,5.0,31,-1.0,0.1896,0.2198,0.2353,0.2660834602628177,04/11/17,SP1,0,1,0,A,0.49863065371547877,,,,-1,-0.25,4,17,0.3482,0,14,1,0,0,D,4,-0.5,0.3298,1.3684613726536967,2.25,2.0,2.0026,-1.0,0,0.25,0.5322997416020672,0.7846651336975698,7.0,5.115233896902564,-10,0.9730093622519616,1.2,-0.8000000000000002,2.0,13.6,5.599999999999999,4.8,12.4,1.30412807321285,0.0817,0.1586,0.2479,0.5322997416020672,0.17286055781158405,0.4937000000000002,0.8207235875922079,1.1477471751844155,-0.75,0,7,La Coruna,1.7,3.9,4.7,1.8,3.5,4.5,1.2135922330097086,10.650485436893204,3.9514563106796117,1.5242718446601942,14.12621359223301,5.058252427184466,0.4506,0.5047,0.556,-1.0,0.4645669291338583,1.85,1.75,3.69,5.68,3.68,4.78,-1,,,,,,,0.5494,0.4953,0.444,0.77,0.5354330708661418,1.83,3.7,4.6,1.75,3.5,5.0,11,0.11127631172511636,0.040139289999999994,0.08417025999999998,0.147468325,18,-1.4906999999999997,red,1.0021391,2.147562,1.1454229,-0.39542293548583984,1.0996106738460394,0.9090337496845328,-0.19057692416150662,0.9405769241615066,0.86014336,1.6022458,0.74210244,0.007897555828094482,0.1843505148345871,0.6023904233419914,0.18577723081852343,0.21183234583948513,0.6333454,0.16525044,0.20140411,0.14731584,0.25873184,0.59395236,0.10148315909701,0.08749958539110436,0.09328834111075346,0.18685076677671555,0.2032531694436913,0.6098960687466469,0.0935471450498509
3,7,13,0,13,6,2,-1.0,1.4536,1.699948556923453,-0.0,-1.0,1.681,-1.0,0,0.0,0.49095607235142114,0.6202665777677236,7.0,4.117771665201751,-10,1.0723641387522693,1.2,0.6,0.6,11.0,4.6,3.7999999999999994,11.4,0.6859259705584894,0.0677,0.1722,0.3324,0.49095607235142114,0.13085408468814924,0.5411000000000001,0.8717944846497478,1.2024889692994956,0,0,Leganes,6.5,4.33,1.5,,,,6.5,4.33,1.5,36,20.0,-1.0,1.91,1.89,6.63,1.97,1.9,4.16,1.51,1.98,1.96,7.23,2.01,1.93,4.5,1.55,35,-1.0,0.1543,0.2234,0.2661,0.22770432370327595,04/11/17,SP1,0,0,3,H,0.04182995423296609,,,,3,2.0,4,11,0.3482,0,13,7,0,1,H,1,0.8999999999999999,1.1399,1.741778511156419,0.25,1.0,3.4625,0.53,3,1.0,0.5090439276485788,2.1520290985290003,12.0,6.889509729932792,1,1.302641196734365,2.6,2.2,0.4000000000000001,15.4,6.2,4.2,12.6,0.9255536827157854,0.778,0.6044,0.4015,0.5090439276485788,0.6414415916085747,2.3570999999999995,1.8529823176155773,1.348864635231155,1.0,1,1,Valencia,7.0,4.5,1.45,6.5,4.0,1.5,1.2115384615384615,10.653846153846153,3.942307692307692,1.5096153846153844,14.125,5.019230769230769,0.5536,0.5124,0.4693,0.8899999999999999,0.5026315789473684,7.23,7.5,4.31,1.53,4.4,1.53,3,,,,,,,0.4464,0.4876,0.5307,-1.0,0.4973684210526315,7.0,4.33,1.53,6.5,4.0,1.53,11,0.07284346185388273,0.026933644999999992,0.09307609999999997,0.23434600500000002,18,1.8159999999999994,green,2.0809617,1.0089254,-1.0720363,0.0720362663269043,1.1057788415678502,0.9030795049458545,-0.20269933662199568,-0.7973006633780043,1.9688084,0.85649264,-1.1123158,0.11231577396392822,-0.20431620769572392,0.19498989908586462,0.2009109925973794,0.6040991083167561,0.27456692,0.21059266,0.5148404,0.6269901,0.21402788,0.158982,0.09737928839055163,0.15538340346065604,0.08220584453653146,0.5819765374191128,0.20851051051578195,0.20951293716394412,0.10931964617557473
4,6,17,0,14,5,3,-1.0,1.1386,0.7235467102485295,-0.75,-2.0,1.8437,-1.0,0,0.0,0.4639175257731959,1.1243898029289456,3.0,4.1462423330893685,-10,1.0506954749365265,1.2,-0.4000000000000001,1.6000000000000003,10.4,4.6,5.0,13.199999999999998,0.9853729632719286,0.2782,0.2886,0.2994,0.4639175257731959,0.2798770565901283,1.2833999999999999,1.2765227455357155,1.2696454910714312,0,5,Ath Bilbao,3.5,3.5,2.1,,,,3.6,3.4,2.1,36,19.0,-0.25,1.86,1.93,3.56,2.08,1.8,3.41,2.09,1.93,2.0,3.81,2.13,1.84,3.53,2.2,32,-1.0,0.2336,0.2389,0.2442,0.2847586331585608,05/11/17,SP1,0,1,3,H,-0.036902666838940945,,,,2,1.75,3,13,0.3482,0,11,5,1,3,H,2,0.8,0.5603,0.6866440434095885,-1.25,-1.0,2.5603,1.25,3,1.0,0.5360824742268042,1.590851563912493,4.0,5.825434646076102,1,1.0811857244399716,1.3999999999999997,-0.20000000000000004,1.6000000000000003,15.800000000000002,5.8,4.0,8.4,1.0069881659004096,0.4881,0.4725,0.4565,0.5360824742268042,0.4353643102513107,1.7698999999999998,1.6966613761056926,1.6234227522113853,0.25,1,2,Celta,3.3,3.35,2.2,3.5,3.4,2.05,1.2,10.676190476190476,3.961904761904762,1.5238095238095237,14.114285714285714,5.038095238095238,0.5886,0.5708,0.5524,0.9299999999999999,0.4907651715039578,3.81,3.5,3.44,2.25,3.52,2.11,2,,,,,,,0.4114,0.4292,0.4476,-1.0,0.5092348284960422,3.7,3.5,2.1,3.4,3.4,2.1,11,0.19857231447176601,0.16974625000000002,0.18077310500000007,0.19248637,18,0.48649999999999993,green,1.774436,1.184588,-0.58984804,0.33984804153442383,1.1015403623277429,0.9033652085586981,-0.19817515376904482,-0.05182484623095518,1.429048,0.9498351,-0.47921282,0.22921282052993774,0.17241200527780212,0.265116991326948,0.2565574403111565,0.47832556836189544,0.3153541,0.23862626,0.4460196,0.47109374,0.25475568,0.27415058,0.17121561585759623,0.20317126845598132,0.17745018410022073,0.46514630076746716,0.24997979089632394,0.2848738934350477,0.18361081161673568
5,2,16,0,10,5,4,0.81,0.8703,1.9316173365616423,3.0,1.0,2.0086,1.85,3,1.0,0.5347043701799487,1.3237394774512743,7.0,3.623906178260072,1,1.0945548106209695,1.25,-0.25,1.5,11.0,4.75,5.0,12.5,0.9488591229556778,0.2548,0.308,0.3622,0.5347043701799487,0.3442131202940428,0.893,1.0411256597593268,1.1892513195186536,1,3,Girona,3.0,3.29,2.39,,,,3.1,3.2,2.4,36,18.0,-0.25,1.72,2.11,3.05,1.81,2.08,3.24,2.41,1.8,2.18,3.3,1.84,2.12,3.4,2.5,31,-1.0,0.283,0.2828,0.2786,0.291100116569146,05/11/17,SP1,0,2,1,A,-1.3281086849260701,,,,-1,-1.25,7,10,0.3482,0,7,4,0,0,D,3,-1.0,1.1156,0.6035086516355721,0.75,0.0,1.8307,-1.0,0,0.0,0.4652956298200514,1.3851604059795795,3.0,4.970931223387906,-10,0.8110114612660604,1.3333333333333333,0.3333333333333333,1.0,13.0,3.3333333333333335,3.5,10.5,0.9068558777537364,0.4622,0.4092,0.3593,0.4652956298200514,0.36468676313681114,1.3086,1.245971257955464,1.1833425159109283,0.25,0,8,Levante,3.3,3.35,2.2,3.0,3.2,2.4,1.1981132075471699,10.70754716981132,3.971698113207547,1.5377358490566035,14.084905660377359,5.037735849056604,0.3777,0.4005,0.4231,1.1099999999999999,0.44908616187989553,3.14,2.85,3.37,2.69,3.31,2.5,-1,,,,,,,0.6223,0.5995,0.5769,-1.0,0.5509138381201044,3.1,3.4,2.45,3.1,3.1,2.4,11,0.28152643340084005,0.38447593999999996,0.32315432,0.26800645,18,0.41559999999999997,red,1.2511239,1.1866496,-0.064474344,-0.18552565574645996,1.0997847356892936,0.9050234371907194,-0.19476129849857415,-0.055238701501425846,1.2740738,0.9929389,-0.28113496,0.031134963035583496,-0.0698764647374341,0.3333382743077007,0.27527978540158615,0.39138194029071327,0.32817873,0.25311282,0.41870847,0.45293283,0.2545681,0.29249895,0.29880883984437906,0.31333031989093607,0.3528528625713534,0.42100774945331415,0.2609869027160815,0.318005318028282,0.3211821153436997
6,2,9,0,2,1,1,0.0,0.0,0.0,-2.25,-2.0,1.717,-1.0,0,0.5,0.48062015503875977,0.16771127903301775,0.0,3.9505284987069764,0,0.7929135920427612,0.6,-1.3999999999999997,2.0,9.4,3.6,8.0,19.4,1.4418237872880586,0.0188,0.0351,0.0534,0.48062015503875977,0.03306103155444645,0.2834000000000001,0.484396776557688,0.6853935531153759,0,13,Las Palmas,19.0,13.0,1.08,,,,29.0,13.5,1.06,36,18.0,-3.0,5.97,1.12,25.28,2.01,1.86,13.27,1.07,7.0,1.13,36.0,2.04,1.91,17.0,1.09,26,-1.0,0.0909,0.106,0.1194,0.06852818436967839,05/11/17,SP1,0,0,3,H,0.8749287451592878,,,,3,0.0,9,9,0.3482,0,27,9,0,1,H,2,0.0,1.4336,0.8749287451592878,-3.0,-1.0,2.6003,0.09000000000000008,3,0.5,0.5193798449612403,2.763760536597304,9.0,10.286551961853165,0,1.3841971710943874,1.6000000000000003,0.8000000000000002,0.8000000000000002,20.8,7.599999999999999,2.7999999999999994,8.2,0.7169819458370341,0.8903,0.8588,0.8273,0.5193798449612403,0.8984107840758753,2.9484999999999997,3.003717377772145,3.058934755544291,3.0,1,17,Real Madrid,26.0,12.0,1.07,26.0,13.0,1.08,1.205607476635514,10.700934579439254,3.9813084112149535,1.5327102803738317,14.018691588785046,5.02803738317757,0.6267,0.6769,0.722,0.1200000000000001,0.842031029619182,31.0,29.62,14.29,1.09,17.0,1.07,3,,,,,,,0.3733,0.3231,0.278,-1.0,0.15796897038081809,26.0,15.0,1.06,21.0,12.0,1.08,11,0.005706700299761267,0.006193765000000003,0.010588239999999999,0.01633308999999999,18,2.6651,green,3.9432118,1.173588,-2.7696238,-0.2303762435913086,1.1085740584990833,0.902431782386958,-0.20614227611212532,-2.7938577238878746,3.078586,0.6010188,-2.4775672,-0.522432804107666,-1.1822222571956165,0.056784191847377166,0.10991756953090627,0.8332982386217165,0.01779411,0.047162704,0.93504316,0.8704414,0.10005051,0.029508108,0.01550696084519096,0.0022680114852047517,0.008828082767537992,0.879594257310551,0.08571026089221305,0.03469547000048331,0.007850659664870072
7,4,12,0,10,2,4,-1.0,0.3245,0.8829005343906985,1.25,1.0,1.4449,-1.0,0,0.0,0.5064599483204134,0.7068274596457061,3.0,3.3978912495169573,-10,0.6823631535947712,0.0,-2.2,2.2,10.2,3.4,5.599999999999999,14.4,1.149524915572251,0.0347,0.0522,0.0713,0.5064599483204134,0.1562301037414329,0.31679999999999997,0.446302699149077,0.575805398298154,0,9,Malaga,6.0,4.33,1.53,,,,6.0,4.4,1.53,36,19.0,-1.0,2.07,1.74,5.91,1.91,1.96,4.22,1.55,2.17,1.8,7.2,1.95,2.01,4.4,1.6,31,-1.0,0.1301,0.1429,0.1543,0.23813714842140746,05/11/17,SP1,0,0,2,H,0.7665844479367171,,,,2,1.0,6,18,0.3482,0,14,3,0,0,D,2,0.96,1.1281,1.6494849823274156,1.0,0.0,2.3761,0.6200000000000001,3,1.0,0.4935400516795866,2.0550353919328868,10.0,6.06249835987597,1,1.3318143377443548,2.5,2.25,0.25,16.25,6.75,3.0,10.5,0.7075274764883329,0.8352,0.8049,0.7744,0.4935400516795866,0.6056327478371597,2.3998,2.3937630270921733,2.3877260541843466,1.0,1,18,Villarreal,7.2,4.4,1.45,5.8,4.0,1.53,1.1926605504587156,10.605504587155963,3.9633027522935778,1.5596330275229358,14.100917431192661,5.073394495412844,0.5104,0.54,0.5686,-1.0,0.5433070866141733,6.09,6.28,4.12,1.62,4.37,1.6,2,,,,,,,0.4896,0.46,0.4314,1.0699999999999998,0.45669291338582685,5.75,4.3,1.55,6.0,4.2,1.53,11,0.08996668744676407,0.01418156499999999,0.020394425000000015,0.027989525000000005,18,2.083,green,2.530637,0.8992547,-1.6313823,0.6313823461532593,1.1083612902929647,0.9000129797916543,-0.20834831050131042,-0.7916516894986896,1.6800045,0.9048867,-0.77511775,-0.22488224506378174,-0.12838386280307068,0.1986082253192935,0.23584287606565166,0.565548898615055,0.16858275,0.20831133,0.6231059,0.48778924,0.25383103,0.25837976,0.11409649332953549,0.08523466470770036,0.1645599713756356,0.5588146752243613,0.23266174641876755,0.20852357835687116,0.11906328676406996
8,9,6,0,14,3,2,-0.5,1.4891,0.8685092686641532,0.0,3.0,2.6097,-1.0,1,0.25,0.4987080103359174,1.5020269138422022,9.0,10.362583710641136,-10,1.6985650890015447,2.2,1.2,1.0,17.2,6.599999999999999,4.2,10.6,0.7545250316256995,0.2254,0.3938,0.5403,0.4987080103359174,0.4038863141437266,0.6867000000000001,1.2213392458121772,1.7559784916243542,0,17,Real Madrid,2.25,3.39,3.2,,,,2.25,3.3,3.3,35,18.0,0.25,1.92,1.88,2.25,1.94,1.93,3.39,3.22,1.98,1.95,2.4,1.98,1.99,3.58,3.34,32,2.38,0.3179,0.2828,0.2356,0.29036797141102244,18/11/17,SP1,1,0,0,D,0.29990489218068517,,,,0,0.25,7,21,0.3578,0,7,1,0,0,D,6,0.46499999999999997,1.923,1.1684141608448384,0.25,1.0,2.2451,-1.0,1,0.75,0.5012919896640827,1.2076051147467755,8.0,6.846887232362441,1,0.8874085216749814,1.25,0.75,0.5,13.25,4.5,3.75,11.75,0.8759688880495051,0.4566,0.3234,0.2242,0.5012919896640827,0.305745714445251,1.1138,1.0786835410745017,1.0435670821490035,-0.25,0,19,Ath Madrid,2.4,3.3,2.95,2.2,3.3,3.2,1.1801801801801801,10.63063063063063,3.954954954954955,1.5585585585585584,14.0990990990991,5.045045045045045,0.2695,0.404,0.5304,-1.0,0.5052631578947367,2.28,2.43,3.38,3.21,3.58,3.32,0,,,,,,,0.7305,0.596,0.4696,0.9199999999999999,0.49473684210526314,2.3,3.5,3.25,2.3,3.2,3.2,12,0.12830229832712098,0.129666905,0.12983300000000003,0.17104084,18,0.4270999999999998,yellow,1.1723329,1.8727071,0.70037425,-0.4503742456436157,1.1002698080190185,0.909848731505071,-0.19042107651394757,0.4404210765139476,1.0837588,1.4611082,0.37734938,-0.1273493766784668,-0.04576751526937831,0.42799338839718276,0.2738992557154779,0.2981073558873395,0.5138411,0.28790465,0.1982543,0.16795741,0.26787248,0.5641701,0.13602316807292125,0.15166869540407935,0.17324880077795712,0.2214396894159072,0.27655879607553896,0.5020015343767689,0.15052052830874765
9,3,10,0,11,7,2,1.0499999999999998,1.6882,1.107993679699001,-1.0,1.0,3.467,0.4099999999999999,3,1.0,0.47028423772609823,2.282104592013528,10.0,9.025322240751962,1,1.553058290442929,2.0,1.6000000000000003,0.4000000000000001,14.199999999999998,6.599999999999999,3.4,11.800000000000002,0.6325223754003044,0.7856,0.6182,0.4108,0.47028423772609823,0.69533960756049,2.0416,1.5403278189137284,1.0390556378274567,1,6,Barcelona,1.33,5.25,9.5,,,,1.3,5.25,10.5,35,18.0,1.5,2.23,1.64,1.34,2.05,1.82,5.09,9.1,2.33,1.71,1.37,2.13,1.9,5.6,10.6,31,-1.0,0.1675,0.2528,0.3234,0.19608576933205818,18/11/17,SP1,0,3,0,A,0.38765269273221015,,,,-3,-1.5,6,25,0.3578,0,18,7,1,0,A,1,-1.0,1.4254,1.4956463724312112,-2.0,-3.0,1.6456,-1.0,0,0.0,0.5297157622739017,0.521809638654414,6.0,4.011643467731512,-10,0.7793991485816537,0.6,0.20000000000000004,0.4000000000000001,12.199999999999998,4.8,1.8,9.0,0.5727374204322879,0.047,0.129,0.2658,0.5297157622739017,0.10857462310745192,0.31520000000000004,0.5437007519898854,0.7722015039797708,-1.5,0,0,Leganes,1.3,5.5,9.5,1.36,4.8,9.0,1.168141592920354,10.663716814159292,3.9557522123893807,1.5663716814159292,14.026548672566372,5.035398230088496,0.419,0.3461,0.2724,0.6399999999999999,0.5762273901808785,1.37,1.41,5.0,9.03,5.35,9.5,-3,,,,,,,0.581,0.6539,0.7276,-1.0,0.42377260981912146,1.36,5.4,9.0,1.36,4.8,8.5,12,0.052303201752160765,0.024109625000000006,0.08120612,0.20890314,18,-1.7264,red,0.69313407,1.4959741,0.80284,0.697160005569458,1.1003273270410439,0.9091269489364963,-0.1912003781045476,1.6912003781045475,0.751002,1.7620301,1.011028,0.4889719486236572,0.9591107774325542,0.5435516554733091,0.25880374107665927,0.19764460345003165,0.5445521,0.30210492,0.15334302,0.11968472,0.2477112,0.6326041,0.12370424024703851,0.11547345512250695,0.07465209513989729,0.15689078128964754,0.2695399525890983,0.5735692884729959,0.10322894402502089
