,AC,AF,AR,AS,AST,AY,A_Ahc_PL,A_Def_Rat,A_Form_Tot4,A_GoalDiff_Ahc_last,A_GoalDiff_last,A_Off_Rat,A_PL,A_Pts,A_Pts_Ahc,A_Pts_Ahc_Exp,A_Pts_Exp,A_Pts_Tot4,A_Pts_Tot_Exp4,A_Win_Ahc,A_att_Poi_mix,A_avgG,A_avgGD,A_avgG_c,A_avgS,A_avgST,A_avgST_c,A_avgS_c,A_def_Poi_mix,A_pred_Mas,A_pred_PoiMas,A_pred_Poi_mix,A_prob_ahc_odds,A_prob_odds,A_xG_Mas,A_xG_PoiMas,A_xG_Poi_mix,Away,AwayId,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,D_PL,D_pred_Mas,D_pred_PoiMas,D_pred_Poi_mix,D_prob_odds,Date,Div,Draw,FTAG,FTHG,FTR,Form_Diff_Tot4,GBA,GBD,GBH,GoalDiff,GoalDiff_Ahc,HC,HF,HFA,HR,HS,HST,HTAG,HTHG,HTR,HY,H_Ahc_PL,H_Def_Rat,H_Form_Tot4,H_GoalDiff_Ahc_last,H_GoalDiff_last,H_Off_Rat,H_PL,H_Pts,H_Pts_Ahc,H_Pts_Ahc_Exp,H_Pts_Exp,H_Pts_Tot4,H_Pts_Tot_Exp4,H_Win_Ahc,H_att_Poi_mix,H_avgG,H_avgGD,H_avgG_c,H_avgS,H_avgST,H_avgST_c,H_avgS_c,H_def_Poi_mix,H_pred_Mas,H_pred_PoiMas,H_pred_Poi_mix,H_prob_ahc_odds,H_prob_odds,H_xG_Mas,H_xG_PoiMas,H_xG_Poi_mix,Handicap,Home,HomeId,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Lg_AG,Lg_AS,Lg_AST,Lg_HG,Lg_HS,Lg_HST,O_pred_Mas,O_pred_PoiMas,O_pred_Poi_mix,Over_PL,Over_prob_odds,PSA,PSCA,PSCD,PSCH,PSD,PSH,Result,SBA,SBD,SBH,SJA,SJD,SJH,U_pred_Mas,U_pred_PoiMas,U_pred_Poi_mix,Under_PL,Under_prob_odds,VCA,VCD,VCH,WHA,WHD,WHH,round,rps_Book,rps_Mas,rps_PoiMas,rps_Poi_mix,season,xGD_Mas,Res,H_xgb_xG,A_xgb_xG,XGB_hc,Hc_Diff_xgb,H_svr_xG,A_svr_xG,SVR_hc,Hc_Diff_svr,H_ann_xG,A_ann_xG,ANN_hc,Hc_Diff_ann,Hc_Diff_avg,A_pred_Rdf,D_pred_Rdf,H_pred_Rdf,A_pred_Xgb,D_pred_Xgb,H_pred_Xgb,H_pred_Ann,D_pred_Ann,A_pred_Ann,rps_Rdf,rps_Xgb,rps_ANN,H_pred_avg,D_pred_avg,A_pred_avg,rps_avg
0,2,20,1,7,4,4,-0.5,0.4502,0.49535924190833797,0.5,0.0,1.4439,-1.0,0,0.25,0.49740932642487046,0.7872882418370912,2.0,4.03747387914907,-10,0.47461609262219645,0.4000000000000001,-1.3999999999999997,1.8,6.2,1.6000000000000003,4.2,16.0,1.0164218296027414,0.0846,0.1039,0.1262,0.49740932642487046,0.17847035319034296,0.5364,0.5864595423734267,0.6365190847468535,0,7,Sp Gijon,5.25,3.6,1.73,,,,5.25,3.6,1.72,49,31.0,-0.75,1.7,2.14,5.38,1.94,1.92,3.64,1.71,1.8,2.25,5.83,2.01,1.97,3.8,1.77,45,-1.0,0.1838,0.2026,0.2216,0.2518771822660624,04/11/16,SP1,0,2,3,H,0.9692611952618035,,,,1,0.25,9,12,0.2833,0,22,7,1,1,D,5,0.45999999999999996,0.9075,1.4646204371701415,-0.0,-2.0,2.2284,0.72,3,0.75,0.5025906735751295,1.9608345758968466,7.0,4.779395276994094,1,1.057088890146205,1.8,0.8000000000000002,1.0,16.4,4.6,3.6,10.6,0.9579457927626799,0.7316,0.6934,0.6523,0.5025906735751295,0.5696524645435947,2.0615,1.9279142668522393,1.7943285337044785,0.75,1,1,Malaga,4.8,3.6,1.75,5.25,3.6,1.67,1.3999999999999997,9.83,3.6,1.67,13.83,5.03,0.481,0.4599,0.4383,1.1400000000000001,0.44270833333333337,5.83,5.49,3.89,1.72,3.79,1.71,1,,,,,,,0.519,0.5401,0.5617,-1.0,0.5572916666666667,5.75,3.75,1.7,4.75,3.6,1.75,11,0.10852533412064384,0.03959785999999999,0.05240977999999999,0.06839825000000001,17,1.5251000000000001,green,1.600614,1.1479263,-0.45268762,-0.2973123788833618,1.1030984436225322,0.9004253445451923,-0.20267309907733988,-0.5473269009226601,1.5866616,0.7238509,-0.8628107,0.11281067132949829,-0.24394286949217456,0.19367540953050022,0.24173061289881928,0.5645939775706804,0.263821,0.24274082,0.49343818,0.56531054,0.24097544,0.19371404,0.11354428431226407,0.16310319420725616,0.11324002555029189,0.5411142332156987,0.2418156257553076,0.217070150963101,0.12884779654178166
1,6,7,0,13,5,2,0.0,0.8389,0.9579564232567809,0.0,0.0,1.3612,-1.0,1,0.5,0.4817708333333334,1.321592666945597,4.0,4.175555278810211,0,0.5319869567052666,0.20000000000000004,-1.6000000000000003,1.8,10.800000000000002,0.8000000000000002,5.2,15.800000000000002,1.0794546786686205,0.4355,0.3689,0.2938,0.4817708333333334,0.33884284831432643,1.3612,1.0894484956364932,0.8176969912729865,0,0,La Coruna,2.8,3.2,2.6,,,,2.9,3.2,2.55,50,30.0,0.0,1.59,2.34,2.86,1.99,1.85,3.11,2.64,1.66,2.45,3.0,2.05,1.9,3.25,2.75,46,2.21,0.2712,0.2987,0.3288,0.30506412200261784,05/11/16,SP1,1,1,1,D,-0.6579581513225081,,,,0,0.0,7,11,0.2833,0,14,6,0,0,D,1,0.0,0.0,0.2999982719342728,2.5,-1.0,1.6211,-1.0,1,0.5,0.5182291666666667,1.3733432110517851,1.0,3.3333525341742365,0,0.5341773079338498,0.6,-0.6,1.2,11.0,2.0,5.0,9.4,1.093262482822342,0.2933,0.3324,0.3774,0.5182291666666667,0.3560930296830558,1.0655000000000001,1.0180244209352793,0.9705488418705587,-0.0,0,3,Granada,2.75,3.25,2.6,2.8,3.0,2.62,1.405940594059406,9.801980198019802,3.603960396039604,1.683168316831683,13.91089108910891,5.0495049504950495,0.4373,0.3524,0.2662,-1.0,0.40458015267175573,2.95,2.89,3.21,2.75,3.16,2.74,0,,,,,,,0.5627,0.6476,0.7338,0.5900000000000001,0.5954198473282442,2.88,3.2,2.7,2.9,3.2,2.5,11,0.12080836082131163,0.13784257,0.123288485,0.11437460000000002,17,-0.29569999999999985,yellow,1.6640016,1.159697,-0.5043045,0.5043045282363892,1.1008449622178071,0.9028007254433922,-0.19804423677441496,0.19804423677441496,1.106102,1.0556421,-0.05045986,0.050459861755371094,0.2509362089220584,0.3079643251973023,0.2921805975107853,0.39985507729191255,0.32455042,0.2594739,0.41597572,0.39577672,0.2747482,0.32947505,0.12736305421517552,0.13918437758955493,0.13259651811904138,0.4038691719457132,0.2754675645718477,0.3206632634824392,0.13296761829766213
2,4,20,0,13,5,4,-0.5,0.9883,1.092162218672467,1.25,1.0,2.3365,-1.0,0,0.25,0.5677749360613811,1.0188838020055897,5.0,4.578074497099474,-10,1.1566044744837636,1.6000000000000003,-0.20000000000000004,1.8,9.8,4.8,5.0,13.199999999999998,0.9948745410036719,0.3211,0.3565,0.3919,0.5677749360613811,0.253042946874906,1.6408,1.7762427434569565,1.911685486913913,0,12,Eibar,4.0,3.5,1.91,,,,3.9,3.5,1.95,50,28.0,-0.75,2.08,1.74,3.88,1.69,2.22,3.55,1.96,2.2,1.85,4.2,1.74,2.3,3.71,2.05,47,-1.0,0.2163,0.2157,0.2136,0.25975496138087173,05/11/16,SP1,0,0,1,H,-0.5450284641939872,,,,1,0.25,7,10,0.2833,0,16,6,0,0,D,1,0.6100000000000001,0.6957,0.5471337544784799,-0.25,0.0,2.7004,1.0099999999999998,3,0.75,0.43222506393861887,1.721361236613538,3.0,5.483119941776499,1,1.150216052817032,2.2,1.0,1.2,11.800000000000002,6.8,4.6,12.800000000000002,1.1789508754990359,0.4626,0.4279,0.3945,0.43222506393861887,0.48720209174422213,1.9954,1.9569099713717617,1.9184199427435236,0.75,1,18,Las Palmas,3.8,3.3,2.05,3.8,3.5,1.91,1.4019607843137252,9.833333333333334,3.6176470588235294,1.6764705882352942,13.911764705882353,5.0588235294117645,0.7036,0.7201,0.7359,-1.0,0.544502617801047,4.04,3.87,3.77,2.01,3.71,1.99,1,,,,,,,0.2964,0.2799,0.2641,1.08,0.4554973821989528,3.9,3.7,2.0,3.75,3.4,2.0,11,0.16349621383731885,0.195951985,0.22715968500000006,0.26010792999999993,17,0.3546,green,1.7816453,1.427435,-0.35421026,-0.3957897424697876,1.1019852393905496,0.9039715628773232,-0.19801367651322643,-0.5519863234867736,1.6637311,1.154248,-0.5094831,-0.24051690101623535,-0.39609765565759886,0.3179001528378082,0.22435331737450956,0.4577465297876823,0.31633136,0.23843962,0.44522902,0.4633637,0.26227003,0.27436623,0.19754966656580128,0.20391818171123166,0.1816276776437551,0.4554464201827522,0.2416876567584018,0.3028659131247386,0.1941331843210333
3,4,10,0,12,3,2,0.9299999999999999,1.0354,0.3449326769505894,-1.0,-3.0,1.7051,2.17,3,1.0,0.49870129870129865,1.2456843414971126,1.0,2.899116456117166,1,0.6223244723664478,1.0,-0.8000000000000002,1.8,6.2,2.0,5.400000000000001,18.2,1.158923758483776,0.3308,0.296,0.2628,0.49870129870129865,0.3091625924102423,1.1607,1.08834730191795,1.0159946038359,1,16,Alaves,3.4,3.2,2.25,,,,3.4,3.25,2.25,50,29.0,-0.25,1.62,2.29,3.42,1.93,1.92,3.17,2.26,1.67,2.4,3.55,1.98,1.98,3.3,2.35,45,-1.0,0.2719,0.2686,0.2635,0.31819656426638576,05/11/16,SP1,0,1,0,A,0.9022888557696322,,,,-1,-1.25,3,18,0.2833,0,10,4,0,0,D,5,-1.0,0.5444,1.2472215327202216,1.5,0.0,2.0518,-1.0,0,0.0,0.5012987012987012,1.4361190942365016,5.0,4.008910902215482,-10,0.7548701692424188,0.8000000000000002,-0.8000000000000002,1.6000000000000003,10.4,4.8,4.4,11.4,1.1759144008492664,0.3974,0.4354,0.4737,0.5012987012987012,0.37264084332337194,1.2997,1.3802964052300086,1.4608928104600172,0.25,0,14,Osasuna,3.45,3.2,2.2,3.4,3.1,2.25,1.3883495145631068,9.864077669902912,3.631067961165049,1.6699029126213591,13.932038834951456,5.067961165048544,0.446,0.4481,0.4502,-1.0,0.4143222506393862,3.54,3.17,3.08,2.63,3.25,2.32,-1,,,,,,,0.554,0.5519,0.5498,0.6200000000000001,0.5856777493606138,3.5,3.25,2.3,3.1,3.1,2.4,11,0.3080587609190454,0.30294462499999997,0.34259458,0.3839277650000001,17,0.139,red,1.1480286,0.90730125,-0.24072737,-0.009272634983062744,1.1006042135952985,0.9016358067988475,-0.198968406796451,-0.051031593203549,1.0474501,0.8342779,-0.21317214,-0.03682786226272583,-0.03237736348311252,0.2829032711585531,0.2749279655473227,0.44216876329412425,0.34283894,0.24856876,0.40859228,0.4843956,0.2590577,0.2565467,0.35487046687407947,0.2994041447832948,0.3936809456635304,0.44505221347487756,0.26085147484993915,0.29409630670812953,0.3481857449547339
4,6,20,0,9,2,4,-1.0,1.5973,1.0237622470183398,0.0,2.0,2.9904,-1.0,0,0.0,0.41265822784810124,2.0178388718359357,9.0,8.791103624119842,-10,1.2307866332722095,1.3999999999999997,1.0,0.4000000000000001,11.6,5.2,3.7999999999999994,12.0,0.6660895982346792,0.5466,0.509,0.4687,0.41265822784810124,0.5901508074202588,1.8274000000000001,1.6581814793547451,1.4889629587094901,0,5,Ath Madrid,1.67,3.6,5.75,,,,1.75,3.6,5.0,49,32.0,1.0,1.74,2.08,1.72,2.32,1.63,3.65,5.13,1.85,2.14,1.82,2.42,1.67,3.85,5.75,44,-1.0,0.2295,0.2443,0.2596,0.247386449575159,05/11/16,SP1,0,0,2,H,0.45543091438578553,,,,2,3.0,6,18,0.2833,0,12,3,0,0,D,2,0.6299999999999999,1.163,1.4791931614041254,1.75,2.0,2.4001,5.03,3,1.0,0.5873417721518986,0.7347746785889051,9.0,6.08439805890986,1,0.9694206378176304,1.8,0.8000000000000002,1.0,13.199999999999998,4.6,3.4,9.0,0.8737193822025433,0.2239,0.2467,0.2716,0.5873417721518986,0.16246274300458202,1.0861,1.0770115987705218,1.0679231975410435,-1.0,1,6,Sociedad,1.7,3.7,5.0,1.7,3.6,5.0,1.3846153846153844,9.884615384615385,3.625,1.653846153846154,13.894230769230768,5.0576923076923075,0.5572,0.515,0.4707,-1.0,0.4554973821989528,1.75,1.66,3.96,6.03,3.82,5.37,2,,,,,,,0.4428,0.485,0.5293,0.74,0.544502617801047,1.75,3.6,5.5,1.8,3.5,4.6,11,0.5248733161770963,0.450551385,0.413270945,0.3751699999999999,17,-0.7413000000000001,green,0.87362456,1.2300713,0.35644674,0.6435532569885254,1.099151089493664,0.9082404464283427,-0.19091064306532135,1.1909106430653214,0.86290836,1.722369,0.8594606,0.14053940773010254,0.6583344359279831,0.6086004058859483,0.15402842415652057,0.23737116995753102,0.5852834,0.16252239,0.25219423,0.0827171,0.2118104,0.70547247,0.4759985932282431,0.45088505760582376,0.6695496896516056,0.19076083134711205,0.17612040325430164,0.6331187579480058,0.5278537015909236
5,3,15,0,13,4,1,-1.0,0.3973,0.8931648860465862,-0.0,0.0,2.1159,-1.0,0,0.0,0.5090909090909091,1.20681619574716,4.0,4.478456399808989,-10,0.9101265224935945,1.2,-0.0,1.2,10.0,3.0,3.7999999999999994,11.800000000000002,0.7827710313027068,0.2672,0.3332,0.4157,0.5090909090909091,0.3102242936207399,1.601,1.5268490375035433,1.4526980750070868,0,9,Valencia,3.2,3.4,2.25,,,,3.2,3.4,2.25,50,29.0,-0.25,2.08,1.73,3.14,1.89,1.96,3.45,2.26,2.2,1.8,3.3,1.95,2.01,3.68,2.32,45,-1.0,0.202,0.229,0.2562,0.2761433148849403,06/11/16,SP1,0,1,2,H,0.6052470271322086,,,,1,0.75,4,19,0.2833,0,7,4,1,1,D,6,0.96,0.5149,1.4984119131787947,0.25,0.0,2.406,1.37,3,1.0,0.49090909090909085,1.5170404893678997,7.0,4.671612617621213,1,0.9724886370637007,2.0,0.0,2.0,11.6,4.8,3.6,11.199999999999998,1.163859075465473,0.5307,0.4378,0.328,0.49090909090909085,0.4136323914943198,2.2920000000000003,1.7767383447877425,1.2614766895754848,0.25,1,8,Celta,3.15,3.3,2.3,3.0,3.5,2.25,1.3714285714285712,9.876190476190477,3.6095238095238096,1.6571428571428573,13.876190476190478,5.038095238095238,0.7458,0.6413,0.5098,0.73,0.5459317585301837,3.23,3.16,3.55,2.37,3.68,2.28,1,,,,,,,0.2542,0.3587,0.4902,-1.0,0.4540682414698162,3.13,3.6,2.3,3.1,3.4,2.25,11,0.2200330423285788,0.14584589000000003,0.21354554000000003,0.31223681999999997,17,0.6910000000000003,green,1.3628416,1.051718,-0.3111236,0.06112360954284668,1.099768654760673,0.9036249560691142,-0.1961436986915589,-0.0538563013084411,1.2671529,0.9812383,-0.2859146,0.035914599895477295,0.014393969376627624,0.2890656283579641,0.24116903234862885,0.4697653392934072,0.24907866,0.28474385,0.46617752,0.42709997,0.26704097,0.30585912,0.18235386645631013,0.1735033007128468,0.21088210250466322,0.4543476117976264,0.26431794858423735,0.28133446942045864,0.18844279783310228
6,3,11,0,4,0,2,0.0,1.1405,0.7036315513522798,-1.5,0.0,2.0959,-1.0,1,0.5,0.5234374999999999,1.2801572427663759,4.0,5.684793401194941,0,0.971511016218858,1.2,-0.20000000000000004,1.3999999999999997,10.0,3.6,4.0,16.0,0.9435331287065591,0.3554,0.4168,0.4815,0.5234374999999999,0.3258216391644193,1.2075999999999998,1.3071168120487535,1.4066336240975073,0,17,Ath Bilbao,2.5,3.2,3.0,,,,2.5,3.3,2.85,50,30.0,0.0,1.67,2.19,2.56,1.83,2.01,3.21,2.88,1.72,2.3,2.7,1.88,2.08,3.4,3.0,45,2.24,0.2735,0.2752,0.2712,0.3026923252731179,06/11/16,SP1,1,0,0,D,0.5302915557748046,,,,0,0.0,5,13,0.2833,0,6,3,0,0,D,1,0.0,0.8883,1.2339231071270844,1.25,1.0,2.0975,-1.0,1,0.5,0.4765625,1.4171504319605066,6.0,4.862539622885956,0,0.5902107863148446,1.0,-0.8000000000000002,1.8,9.6,2.4,3.6,9.4,1.0584519029183654,0.3711,0.3079,0.2473,0.4765625,0.3714860355624629,1.2403,1.08246831908589,0.92463663817178,-0.0,0,11,Espanol,2.5,3.3,2.85,2.5,3.2,2.8,1.3679245283018868,9.90566037735849,3.6132075471698113,1.6603773584905663,13.81132075471698,5.028301886792453,0.4428,0.4276,0.4122,-1.0,0.43264248704663216,2.65,3.01,3.24,2.64,3.34,2.92,0,,,,,,,0.5572,0.5724,0.5878,0.6699999999999999,0.5673575129533679,2.6,3.4,2.88,2.25,3.3,3.2,11,0.12208080758285221,0.13201218499999995,0.13430401,0.14649977,17,0.03270000000000017,yellow,0.90587,0.8983261,-0.0075439215,0.00754392147064209,1.0995875228558891,0.9030900290554322,-0.1964974938004569,0.1964974938004569,1.1375304,0.7977903,-0.33974016,0.33974015712738037,0.18126052413282645,0.31872477280666783,0.2788352206540255,0.4024400065393066,0.37792715,0.29228956,0.3297833,0.47420356,0.2605687,0.26522765,0.13177171983200964,0.1257929763672303,0.1476073823474331,0.4021422846466573,0.27723116130273034,0.3206265242482899,0.13225990213160171
7,2,20,0,7,3,5,0.0,0.5241,0.636597391823794,-1.75,-2.0,1.5251,-1.0,0,0.5,0.5168831168831169,0.1835410304403507,3.0,4.712554651544002,0,0.9803986652006215,1.0,-0.4000000000000001,1.3999999999999997,11.0,3.6,4.0,12.199999999999998,0.8452345934981862,0.0084,0.0692,0.2079,0.5168831168831169,0.03765638853314944,0.19279999999999986,0.6836465831765092,1.1744931663530185,0,13,Leganes,23.0,13.0,1.07,,,,31.0,12.5,1.07,50,31.0,-3.0,4.6,1.18,27.03,1.86,1.99,12.49,1.08,5.25,1.22,36.0,1.91,2.08,17.0,1.1,36,-1.0,0.0725,0.138,0.2094,0.07057186484090237,06/11/16,SP1,0,0,3,H,0.33754301683045485,,,,3,0.0,2,7,0.2833,0,17,7,0,2,H,3,0.0,1.3323,0.9741404086542489,1.0,3.0,3.5706,0.10000000000000009,3,0.5,0.4831168831168831,2.7458871047187468,10.0,10.265460616519086,0,1.5038217712458117,2.2,1.0,1.2,22.0,7.599999999999999,3.2000000000000006,8.6,0.884022987793909,0.9191,0.7928,0.5827,0.4831168831168831,0.8917717466259482,3.3298,2.710276001393603,2.0907520027872053,3.0,1,15,Real Madrid,36.0,13.0,1.05,29.0,12.0,1.08,1.355140186915888,9.850467289719626,3.579439252336448,1.644859813084112,13.738317757009346,5.009345794392523,0.6833,0.6591,0.6335,0.17999999999999994,0.795847750865052,22.5,26.05,13.9,1.1,15.0,1.1,3,,,,,,,0.3167,0.3409,0.3665,-1.0,0.20415224913494812,29.0,13.0,1.09,29.0,12.0,1.06,11,0.006565679212878737,0.0033076849999999977,0.02386024000000001,0.10868085,17,3.1370000000000005,green,3.343014,0.8982476,-2.4447665,-0.5552334785461426,1.109900414906614,0.9008303848560605,-0.20907003005055358,-2.7909299699494463,3.4495826,0.6750847,-2.774498,-0.22550201416015625,-1.1905551542185817,0.07602314200983484,0.1156528770046631,0.8083239809855022,0.034424737,0.05465493,0.9109203,0.9637325,0.029295633,0.0069718002,0.021259607193146814,0.004560126168299157,0.000681970066964176,0.8943255946432286,0.06653447980242304,0.03913989311327881,0.006349506859953586
8,5,12,0,14,7,6,0.0,0.8494,0.8927083914123172,-2.5,1.0,3.5396,0.72,3,0.5,0.4779220779220779,1.9315602342633356,9.0,10.081679624139603,0,1.7226140282839686,3.4,2.0,1.3999999999999997,12.6,5.8,5.2,11.0,0.8986149912511725,0.499,0.4586,0.4149,0.4779220779220779,0.5703678196729823,2.5933,2.34495962386674,2.0966192477334795,1,2,Barcelona,1.62,4.2,5.25,,,,1.62,4.33,5.0,50,33.0,1.0,2.9,1.39,1.64,2.01,1.84,4.31,4.89,3.1,1.45,1.75,2.08,1.88,4.51,5.5,37,-1.0,0.1922,0.1994,0.2067,0.22045677524438867,06/11/16,SP1,0,2,1,A,0.5959543408335825,,,,-1,0.0,3,18,0.2833,0,15,4,1,1,D,4,0.0,0.9463,1.4886627322458996,-0.5,0.0,2.6151,-1.0,0,0.5,0.522077922077922,0.8479829904922754,10.0,6.717438264148192,0,1.342849897004426,2.4,1.2,1.2,15.199999999999998,7.599999999999999,3.6,8.0,0.9065407734081322,0.3088,0.342,0.3784,0.522077922077922,0.2091754050826289,2.049,2.0245009429270384,2.0000018858540773,-1.0,0,4,Sevilla,1.65,3.8,5.3,1.62,4.33,4.5,1.3425925925925926,9.824074074074074,3.574074074074074,1.6574074074074074,13.768518518518519,5.027777777777778,0.8418,0.8112,0.7757,0.3899999999999999,0.675990675990676,1.69,1.72,4.45,4.69,4.51,4.84,-1,,,,,,,0.1582,0.1888,0.2243,-1.0,0.324009324009324,1.62,4.5,4.8,1.53,4.4,5.5,11,0.11416908023201441,0.17317922,0.20503898,0.24276428499999997,17,-0.5443000000000002,red,0.94142866,2.0742934,1.1328647,-0.13286471366882324,1.1016197187140717,0.9069925001482562,-0.19462721856581555,1.1946272185658156,1.0607324,1.7566147,0.6958823,0.30411767959594727,0.45529339483097986,0.5316681299743321,0.16908724267813657,0.29924462734753127,0.49965,0.18549791,0.31485203,0.089928836,0.21475732,0.6953138,0.15444104373905093,0.17474093077286534,0.050460425450165936,0.23467516402103583,0.18978082524250975,0.575543980934132,0.11761765971499757
9,1,12,0,7,3,2,-1.0,0.5122,0.713556883372737,-1.25,-1.0,1.7432,-1.0,0,0.0,0.4857142857142857,0.723037345483878,3.0,4.2042899030278225,-10,0.9609512904398401,1.3999999999999997,-0.8000000000000002,2.2,8.6,3.6,7.400000000000001,18.8,1.3976441479746824,0.0,0.0557,0.1172,0.4857142857142857,0.15867652081652822,0.0,0.42367869852429435,0.8473573970485887,0,10,Betis,7.0,4.2,1.5,,,,7.0,4.0,1.53,50,33.0,-1.0,1.85,1.95,6.89,1.98,1.87,4.08,1.52,1.92,2.02,7.5,2.04,1.94,4.38,1.64,46,-1.0,0.1217,0.1555,0.175,0.2470077830342933,06/11/16,SP1,0,0,2,H,0.35068898730207576,,,,2,1.0,10,16,0.2833,0,15,7,0,1,H,0,0.8700000000000001,1.8415,1.0642458706748128,-1.25,-1.0,2.3485,0.6499999999999999,3,1.0,0.5142857142857141,2.0299548714818285,7.0,6.577427446875099,1,1.0227510019141652,2.4,1.8,0.6,11.6,4.6,2.0,8.8,0.6538444081342816,0.8783,0.7889,0.7078,0.5142857142857141,0.5943156961491785,2.1196,2.2400731719215767,2.3605463438431533,1.0,1,19,Villarreal,6.5,4.2,1.5,6.5,4.0,1.5,1.348623853211009,9.862385321100918,3.6055045871559632,1.651376146788991,13.779816513761467,5.018348623853211,0.3557,0.4975,0.6217,-1.0,0.48684210526315796,7.36,6.18,3.97,1.65,4.31,1.53,2,,,,,,,0.6443,0.5025,0.3783,0.8500000000000001,0.513157894736842,7.0,4.2,1.5,6.0,4.0,1.55,11,0.09487899632468191,0.0074054450000000036,0.023827284999999986,0.049558340000000006,17,2.1196,green,1.1522464,0.7822144,-0.37003195,-0.6299680471420288,1.104000315310883,0.900114718860661,-0.20388559645022208,-0.7961144035497779,1.4150851,0.6422126,-0.77287245,-0.2271275520324707,-0.5510700009080924,0.20996375921154445,0.21312594999720846,0.576910290791247,0.22932579,0.2286245,0.54204977,0.5136125,0.2546286,0.23175889,0.11154484111029532,0.13115435646354756,0.14514248794545104,0.5441908550506346,0.2321263471903079,0.2236828126602187,0.12889798531639554
